Date,Kinder Morgan
2010-05-08,19
2010-05-09,19
2010-05-10,19
2010-05-11,19
2010-05-12,20
2010-05-13,22
2010-05-14,20
2010-05-15,21
2010-05-16,20
2010-05-17,19
2010-05-18,19
2010-05-19,19
2010-05-20,18
2010-05-21,17
2010-05-22,17
2010-05-23,17
2010-05-24,17
2010-05-25,17
2010-05-26,19
2010-05-27,19
2010-05-28,18
2010-05-29,19
2010-05-30,18
2010-05-31,17
2010-06-01,17
2010-06-02,16
2010-06-03,16
2010-06-04,15
2010-06-05,15
2010-06-06,15
2010-06-07,15
2010-06-08,15
2010-06-09,16
2010-06-10,16
2010-06-11,17
2010-06-12,17
2010-06-13,17
2010-06-14,17
2010-06-15,17
2010-06-16,20
2010-06-17,18
2010-06-18,20
2010-06-19,19
2010-06-20,18
2010-06-21,18
2010-06-22,18
2010-06-23,17
2010-06-24,17
2010-06-25,17
2010-06-26,18
2010-06-27,17
2010-06-28,17
2010-06-29,17
2010-06-30,18
2010-07-01,18
2010-07-02,19
2010-07-03,19
2010-07-04,18
2010-07-05,18
2010-07-06,17
2010-07-07,17
2010-07-08,16
2010-07-09,16
2010-07-10,16
2010-07-11,16
2010-07-12,16
2010-07-13,17
2010-07-14,18
2010-07-15,18
2010-07-16,18
2010-07-17,19
2010-07-18,19
2010-07-19,19
2010-07-20,19
2010-07-21,20
2010-07-22,22
2010-07-23,20
2010-07-24,21
2010-07-25,21
2010-07-26,21
2010-07-27,21
2010-07-28,22
2010-07-29,23
2010-07-30,22
2010-07-31,23
2010-08-01,22
2010-08-02,21
2010-08-03,21
2010-08-04,20
2010-08-05,19
2010-08-06,20
2010-08-07,18
2010-08-08,17
2010-08-09,17
2010-08-10,17
2010-08-11,18
2010-08-12,17
2010-08-13,17
2010-08-14,17
2010-08-15,17
2010-08-16,17
2010-08-17,18
2010-08-18,18
2010-08-19,18
2010-08-20,19
2010-08-21,19
2010-08-22,19
2010-08-23,19
2010-08-24,19
2010-08-25,19
2010-08-26,19
2010-08-27,19
2010-08-28,19
2010-08-29,18
2010-08-30,18
2010-08-31,18
2010-09-01,17
2010-09-02,16
2010-09-03,17
2010-09-04,16
2010-09-05,16
2010-09-06,16
2010-09-07,16
2010-09-08,17
2010-09-09,17
2010-09-10,17
2010-09-11,18
2010-09-12,18
2010-09-13,19
2010-09-14,19
2010-09-15,20
2010-09-16,22
2010-09-17,21
2010-09-18,23
2010-09-19,21
2010-09-20,20
2010-09-21,20
2010-09-22,19
2010-09-23,19
2010-09-24,18
2010-09-25,18
2010-09-26,18
2010-09-27,17
2010-09-28,17
2010-09-29,17
2010-09-30,17
2010-10-01,19
2010-10-02,17
2010-10-03,17
2010-10-04,17
2010-10-05,18
2010-10-06,18
2010-10-07,19
2010-10-08,20
2010-10-09,21
2010-10-10,19
2010-10-11,19
2010-10-12,18
2010-10-13,18
2010-10-14,18
2010-10-15,17
2010-10-16,17
2010-10-17,17
2010-10-18,18
2010-10-19,20
2010-10-20,19
2010-10-21,22
2010-10-22,20
2010-10-23,21
2010-10-24,21
2010-10-25,19
2010-10-26,18
2010-10-27,17
2010-10-28,16
2010-10-29,16
2010-10-30,15
2010-10-31,15
2010-11-01,15
2010-11-02,17
2010-11-03,16
2010-11-04,17
2010-11-05,17
2010-11-06,19
2010-11-07,18
2010-11-08,19
2010-11-09,19
2010-11-10,19
2010-11-11,21
2010-11-12,20
2010-11-13,22
2010-11-14,20
2010-11-15,19
2010-11-16,18
2010-11-17,18
2010-11-18,18
2010-11-19,16
2010-11-20,17
2010-11-21,15
2010-11-22,15
2010-11-23,14
2010-11-24,15
2010-11-25,15
2010-11-26,13
2010-11-27,13
2010-11-28,13
2010-11-29,13
2010-11-30,14
2010-12-01,14
2010-12-02,16
2010-12-03,15
2010-12-04,16
2010-12-05,16
2010-12-06,16
2010-12-07,18
2010-12-08,17
2010-12-09,17
2010-12-10,17
2010-12-11,18
2010-12-12,17
2010-12-13,17
2010-12-14,17
2010-12-15,17
2010-12-16,18
2010-12-17,17
2010-12-18,17
2010-12-19,16
2010-12-20,15
2010-12-21,15
2010-12-22,13
2010-12-23,12
2010-12-24,11
2010-12-25,11
2010-12-26,11
2010-12-27,11
2010-12-28,11
2010-12-29,11
2010-12-30,11
2010-12-31,11
2011-01-01,11
2011-01-02,11
2011-01-03,12
2011-01-04,12
2011-01-05,14
2011-01-06,13
2011-01-07,14
2011-01-08,15
2011-01-09,15
2011-01-10,15
2011-01-11,16
2011-01-12,16
2011-01-13,16
2011-01-14,17
2011-01-15,17
2011-01-16,17
2011-01-17,18
2011-01-18,19
2011-01-19,19
2011-01-20,21
2011-01-21,23
2011-01-22,22
2011-01-23,21
2011-01-24,21
2011-01-25,21
2011-01-26,21
2011-01-27,22
2011-01-28,21
2011-01-29,21
2011-01-30,22
2011-01-31,24
2011-02-01,26
2011-02-02,28
2011-02-03,29
2011-02-04,32
2011-02-05,37
2011-02-06,38
2011-02-07,40
2011-02-08,43
2011-02-09,47
2011-02-10,52
2011-02-11,54
2011-02-12,69
2011-02-13,53
2011-02-14,48
2011-02-15,45
2011-02-16,42
2011-02-17,35
2011-02-18,30
2011-02-19,28
2011-02-20,25
2011-02-21,26
2011-02-22,24
2011-02-23,25
2011-02-24,24
2011-02-25,23
2011-02-26,23
2011-02-27,22
2011-02-28,21
2011-03-01,21
2011-03-02,21
2011-03-03,20
2011-03-04,19
2011-03-05,19
2011-03-06,19
2011-03-07,20
2011-03-08,21
2011-03-09,21
2011-03-10,22
2011-03-11,24
2011-03-12,24
2011-03-13,23
2011-03-14,23
2011-03-15,23
2011-03-16,22
2011-03-17,21
2011-03-18,22
2011-03-19,22
2011-03-20,21
2011-03-21,22
2011-03-22,22
2011-03-23,25
2011-03-24,23
2011-03-25,25
2011-03-26,25
2011-03-27,24
2011-03-28,24
2011-03-29,23
2011-03-30,23
2011-03-31,23
2011-05-01,19
2011-05-02,19
2011-05-03,18
2011-05-04,18
2011-05-05,18
2011-05-06,17
2011-05-07,17
2011-05-08,17
2011-05-09,17
2011-05-10,18
2011-05-11,18
2011-05-12,20
2011-05-13,19
2011-05-14,20
2011-05-15,19
2011-05-16,19
2011-05-17,20
2011-05-18,18
2011-05-19,19
2011-05-20,18
2011-05-21,18
2011-05-22,18
2011-05-23,18
2011-05-24,19
2011-05-25,19
2011-05-26,20
2011-05-27,20
2011-05-28,23
2011-05-29,20
2011-05-30,19
2011-05-31,19
2011-06-01,18
2011-06-02,17
2011-06-03,18
2011-06-04,16
2011-06-05,16
2011-06-06,16
2011-06-07,16
2011-06-08,16
2011-06-09,17
2011-06-10,17
2011-06-11,17
2011-06-12,17
2011-06-13,17
2011-06-14,18
2011-06-15,17
2011-06-16,19
2011-06-17,17
2011-06-18,18
2011-06-19,18
2011-06-20,18
2011-06-21,18
2011-06-22,19
2011-06-23,19
2011-06-24,20
2011-06-25,21
2011-06-26,18
2011-06-27,17
2011-06-28,17
2011-06-29,15
2011-06-30,14
2011-07-01,13
2011-07-02,12
2011-07-03,12
2011-07-04,13
2011-07-05,14
2011-07-06,15
2011-07-07,15
2011-07-08,17
2011-07-09,17
2011-07-10,17
2011-07-11,17
2011-07-12,17
2011-07-13,18
2011-07-14,18
2011-07-15,18
2011-07-16,19
2011-07-17,19
2011-07-18,19
2011-07-19,20
2011-07-20,20
2011-07-21,21
2011-07-22,22
2011-07-23,22
2011-07-24,21
2011-07-25,21
2011-07-26,20
2011-07-27,21
2011-07-28,19
2011-07-29,21
2011-07-30,19
2011-07-31,18
2011-08-01,18
2011-08-02,19
2011-08-03,18
2011-08-04,18
2011-08-05,18
2011-08-06,18
2011-08-07,18
2011-08-08,19
2011-08-09,20
2011-08-10,20
2011-08-11,21
2011-08-12,21
2011-08-13,22
2011-08-14,21
2011-08-15,21
2011-08-16,20
2011-08-17,20
2011-08-18,20
2011-08-19,19
2011-08-20,20
2011-08-21,19
2011-08-22,19
2011-08-23,19
2011-08-24,19
2011-08-25,19
2011-08-26,19
2011-08-27,19
2011-08-28,18
2011-08-29,18
2011-08-30,18
2011-08-31,17
2011-09-01,18
2011-09-02,17
2011-09-03,17
2011-09-04,17
2011-09-05,16
2011-09-06,16
2011-09-07,15
2011-09-08,16
2011-09-09,15
2011-09-10,15
2011-09-11,15
2011-09-12,15
2011-09-13,15
2011-09-14,16
2011-09-15,16
2011-09-16,17
2011-09-17,18
2011-09-18,17
2011-09-19,17
2011-09-20,17
2011-09-21,17
2011-09-22,18
2011-09-23,17
2011-09-24,17
2011-09-25,16
2011-09-26,16
2011-09-27,16
2011-09-28,16
2011-09-29,16
