Date,Force10 Networks
2011-02-01,45
2011-02-02,45
2011-02-03,45
2011-02-04,45
2011-02-05,45
2011-02-06,46
2011-02-07,46
2011-02-08,46
2011-02-09,46
2011-02-10,46
2011-02-11,47
2011-02-12,47
2011-02-13,47
2011-02-14,47
2011-02-15,48
2011-02-16,48
2011-02-17,48
2011-02-18,48
2011-02-19,48
2011-02-20,49
2011-02-21,49
2011-02-22,49
2011-02-23,49
2011-02-24,49
2011-02-25,50
2011-02-26,50
2011-02-27,50
2011-02-28,50
2011-03-01,51
2011-03-02,50
2011-03-03,50
2011-03-04,50
2011-03-05,50
2011-03-06,50
2011-03-07,50
2011-03-08,49
2011-03-09,49
2011-03-10,49
2011-03-11,49
2011-03-12,49
2011-03-13,49
2011-03-14,48
2011-03-15,48
2011-03-16,48
2011-03-17,48
2011-03-18,48
2011-03-19,48
2011-03-20,47
2011-03-21,47
2011-03-22,47
2011-03-23,47
2011-03-24,47
2011-03-25,47
2011-03-26,46
2011-03-27,46
2011-03-28,46
2011-03-29,46
2011-03-30,46
2011-03-31,46
2011-04-01,46
2011-04-02,45
2011-04-03,45
2011-04-04,44
2011-04-05,44
2011-04-06,44
2011-04-07,43
2011-04-08,43
2011-04-09,43
2011-04-10,42
2011-04-11,42
2011-04-12,41
2011-04-13,41
2011-04-14,41
2011-04-15,40
2011-04-16,40
2011-04-17,40
2011-04-18,39
2011-04-19,39
2011-04-20,39
2011-04-21,38
2011-04-22,38
2011-04-23,37
2011-04-24,37
2011-04-25,37
2011-04-26,36
2011-04-27,36
2011-04-28,36
2011-04-29,35
2011-04-30,35
2011-05-01,35
2011-05-02,34
2011-05-03,34
2011-05-04,34
2011-05-05,34
2011-05-06,34
2011-05-07,34
2011-05-08,34
2011-05-09,43
2011-05-10,34
2011-05-11,34
2011-05-12,33
2011-05-13,33
2011-05-14,33
2011-05-15,33
2011-05-16,33
2011-05-17,33
2011-05-18,33
2011-05-19,33
2011-05-20,33
2011-05-21,33
2011-05-22,33
2011-05-23,32
2011-05-24,32
2011-05-25,32
2011-05-26,32
