Date,Bazaarvoice
2011-02-12,31
2011-02-13,32
2011-02-14,33
2011-02-15,35
2011-02-16,36
2011-02-17,38
2011-02-18,39
2011-02-19,41
2011-02-20,40
2011-02-21,40
2011-02-22,40
2011-02-23,40
2011-02-24,40
2011-02-25,40
2011-02-26,40
2011-02-27,39
2011-02-28,38
2011-03-01,37
2011-03-02,36
2011-03-03,35
2011-03-04,34
2011-03-05,33
2011-03-06,33
2011-03-07,33
2011-03-08,33
2011-03-09,33
2011-03-10,33
2011-03-11,33
2011-03-12,33
2011-03-13,32
2011-03-14,31
2011-03-15,30
2011-03-16,30
2011-03-17,29
2011-03-18,28
2011-03-19,28
2011-03-20,27
2011-03-21,27
2011-03-22,26
2011-03-23,26
2011-03-24,25
2011-03-25,25
2011-03-26,25
2011-03-27,26
2011-05-01,22
2011-05-02,22
2011-05-03,22
2011-05-04,22
2011-05-05,22
2011-05-06,22
2011-05-07,22
2011-05-08,22
2011-05-09,22
2011-05-10,22
2011-05-11,23
2011-05-12,23
2011-05-13,23
2011-05-14,24
2011-05-15,25
2011-05-16,26
2011-05-17,27
2011-05-18,28
2011-05-19,29
2011-05-20,30
2011-05-21,31
2011-05-22,30
2011-05-23,29
2011-05-24,28
2011-05-25,27
2011-05-26,26
2011-05-27,26
2011-05-28,25
2011-05-29,24
2011-05-30,24
2011-05-31,24
2011-06-01,23
2011-06-02,23
2011-06-03,23
2011-06-04,23
2011-06-05,23
2011-06-06,23
2011-06-07,23
2011-06-08,23
2011-06-09,23
2011-06-10,23
2011-06-11,24
2011-06-12,25
2011-06-13,27
2011-06-14,29
2011-06-15,31
2011-06-16,33
2011-06-17,35
2011-06-18,37
2011-06-19,36
2011-06-20,35
2011-06-21,34
2011-06-22,33
2011-06-23,32
2011-06-24,32
2011-06-25,31
2011-06-26,31
2011-06-27,31
2011-06-28,31
2011-06-29,31
2011-06-30,31
2011-07-01,31
2011-07-02,31
2011-07-03,29
2011-07-04,27
2011-07-05,26
2011-07-06,24
2011-07-07,23
2011-07-08,21
2011-07-09,20
2011-07-10,20
2011-07-11,21
2011-07-12,21
2011-07-13,22
2011-07-14,22
2011-07-15,23
2011-07-16,24
2011-07-17,26
2011-07-18,29
2011-07-19,32
2011-07-20,35
2011-07-21,38
2011-07-22,41
2011-07-23,44
2011-07-24,42
2011-07-25,40
2011-07-26,39
2011-07-27,37
2011-07-28,35
2011-07-29,33
2011-07-30,32
2011-07-31,32
2011-08-07,32
2011-08-08,30
2011-08-09,28
2011-08-10,27
2011-08-11,25
2011-08-12,23
2011-08-13,22
2011-08-14,22
2011-08-15,22
2011-08-16,22
2011-08-17,22
2011-08-18,22
2011-08-19,22
2011-08-20,23
2011-08-21,26
2011-08-22,29
2011-08-23,32
2011-08-24,35
2011-08-25,38
2011-08-26,41
2011-08-27,44
2011-08-28,43
2011-08-29,41
2011-08-30,40
2011-08-31,39
2011-09-01,37
2011-09-02,36
2011-09-03,35
2011-09-04,33
2011-09-05,31
2011-09-06,29
2011-09-07,27
2011-09-08,25
2011-09-09,23
2011-09-10,22
2011-09-11,22
2011-09-12,22
2011-09-13,22
2011-09-14,23
2011-09-15,23
2011-09-16,23
2011-09-17,24
2011-09-18,24
2011-09-19,25
2011-09-20,25
2011-09-21,26
2011-09-22,26
2011-09-23,27
2011-09-24,28
2011-09-25,27
2011-09-26,26
2011-09-27,25
