Date,Frac Tech Services
2010-11-01,43
2010-11-02,43
2010-11-03,43
2010-11-04,44
2010-11-05,44
2010-11-06,44
2010-11-07,45
2010-11-08,45
2010-11-09,45
2010-11-10,46
2010-11-11,46
2010-11-12,46
2010-11-13,47
2010-11-14,47
2010-11-15,47
2010-11-16,48
2010-11-17,48
2010-11-18,48
2010-11-19,49
2010-11-20,49
2010-11-21,49
2010-11-22,50
2010-11-23,50
2010-11-24,50
2010-11-25,51
2010-11-26,51
2010-11-27,51
2010-11-28,52
2010-11-29,52
2010-11-30,52
2010-12-01,53
2010-12-02,53
2010-12-03,54
2010-12-04,54
2010-12-05,55
2010-12-06,55
2010-12-07,56
2010-12-08,57
2010-12-09,57
2010-12-10,58
2010-12-11,58
2010-12-12,59
2010-12-13,59
2010-12-14,60
2010-12-15,61
2010-12-16,61
2010-12-17,62
2010-12-18,62
2010-12-19,63
2010-12-20,64
2010-12-21,64
2010-12-22,65
2010-12-23,65
2010-12-24,66
2010-12-25,66
2010-12-26,67
2010-12-27,68
2010-12-28,68
2010-12-29,69
2010-12-30,69
2010-12-31,70
2011-01-01,71
2011-01-02,70
2011-01-03,70
2011-01-04,70
2011-01-05,70
2011-01-06,70
2011-01-07,70
2011-01-08,70
2011-01-09,69
2011-01-10,69
2011-01-11,69
2011-01-12,69
2011-01-13,69
2011-01-14,69
2011-01-15,69
2011-01-16,69
2011-01-17,68
2011-01-18,68
2011-01-19,68
2011-01-20,68
2011-01-21,68
2011-01-22,68
2011-01-23,68
2011-01-24,68
2011-01-25,67
2011-01-26,67
2011-01-27,67
2011-01-28,67
2011-01-29,67
2011-01-30,67
2011-01-31,67
2011-02-01,67
2011-02-02,66
2011-02-03,65
2011-02-04,64
2011-02-05,64
2011-02-06,63
2011-02-07,62
2011-02-08,61
2011-02-09,61
2011-02-10,60
2011-02-11,59
2011-02-12,58
2011-02-13,58
2011-02-14,57
2011-02-15,56
2011-02-16,55
2011-02-17,55
2011-02-18,54
2011-02-19,53
2011-02-20,52
2011-02-21,52
2011-02-22,51
2011-02-23,50
2011-02-24,49
2011-02-25,49
2011-02-26,48
2011-02-27,47
2011-02-28,46
2011-03-01,46
2011-03-02,47
2011-03-03,48
2011-03-04,49
2011-03-05,51
2011-03-06,52
2011-03-07,53
2011-03-08,55
2011-03-09,56
2011-03-10,57
2011-03-11,59
2011-03-12,60
2011-03-13,61
2011-03-14,63
2011-03-15,64
2011-03-16,65
2011-03-17,67
2011-03-18,68
2011-03-19,69
2011-03-20,71
2011-03-21,72
2011-03-22,73
2011-03-23,75
2011-03-24,76
2011-03-25,77
2011-03-26,79
2011-03-27,80
2011-03-28,81
2011-03-29,83
2011-03-30,84
2011-03-31,85
2011-04-01,87
2011-04-02,86
2011-04-03,86
2011-04-04,85
2011-04-05,85
2011-04-06,84
2011-04-07,84
2011-04-08,83
2011-04-09,83
2011-04-10,82
2011-04-11,82
2011-04-12,81
2011-04-13,81
2011-04-14,80
2011-04-15,80
2011-04-16,80
2011-04-17,79
2011-04-18,79
2011-04-19,78
2011-04-20,78
2011-04-21,77
2011-04-22,77
2011-04-23,76
2011-04-24,76
2011-04-25,75
2011-04-26,75
2011-04-27,74
2011-04-28,74
2011-04-29,73
2011-04-30,73
2011-05-01,73
2011-05-02,73
2011-05-03,73
2011-05-04,73
2011-05-05,73
2011-05-06,73
2011-05-07,73
2011-05-08,73
2011-05-09,73
2011-05-10,73
2011-05-11,73
2011-05-12,73
2011-05-13,73
2011-05-14,73
2011-05-15,73
2011-05-16,73
2011-05-17,73
2011-05-18,73
2011-05-19,73
2011-05-20,73
2011-05-21,73
2011-05-22,73
2011-05-23,73
2011-05-24,73
2011-05-25,73
2011-05-26,73
2011-05-27,73
2011-05-28,73
2011-05-29,73
2011-05-30,73
2011-05-31,73
2011-06-01,74
2011-06-02,73
2011-06-03,73
2011-06-04,73
2011-06-05,72
2011-06-06,72
2011-06-07,72
2011-06-08,71
2011-06-09,71
2011-06-10,71
2011-06-11,71
2011-06-12,70
2011-06-13,70
2011-06-14,70
2011-06-15,69
2011-06-16,69
2011-06-17,69
2011-06-18,68
2011-06-19,68
2011-06-20,68
2011-06-21,68
2011-06-22,67
2011-06-23,67
2011-06-24,67
2011-06-25,66
2011-06-26,66
2011-06-27,66
2011-06-28,65
2011-06-29,65
2011-06-30,65
2011-07-01,65
2011-07-02,65
2011-07-03,66
2011-07-04,67
2011-07-05,67
2011-07-06,68
2011-07-07,69
2011-07-08,70
2011-07-09,70
2011-07-10,71
2011-07-11,72
2011-07-12,73
2011-07-13,73
2011-07-14,74
2011-07-15,75
2011-07-16,76
2011-07-17,76
2011-07-18,77
2011-07-19,78
2011-07-20,79
2011-07-21,79
2011-07-22,80
2011-07-23,81
2011-07-24,82
2011-07-25,82
2011-07-26,83
2011-07-27,84
2011-07-28,85
2011-07-29,85
2011-07-30,86
2011-07-31,87
2011-08-01,88
2011-08-02,87
2011-08-03,87
2011-08-04,86
2011-08-05,86
2011-08-06,85
2011-08-07,85
2011-08-08,84
2011-08-09,84
2011-08-10,83
2011-08-11,83
2011-08-12,82
2011-08-13,82
2011-08-14,81
2011-08-15,81
2011-08-16,80
2011-08-17,80
2011-08-18,79
2011-08-19,79
2011-08-20,78
2011-08-21,78
2011-08-22,77
2011-08-23,77
2011-08-24,76
2011-08-25,76
2011-08-26,75
2011-08-27,75
2011-08-28,74
2011-08-29,74
2011-08-30,73
2011-08-31,73
2011-09-01,73
2011-09-02,73
2011-09-03,74
2011-09-04,75
2011-09-05,76
2011-09-06,77
2011-09-07,78
2011-09-08,79
2011-09-09,80
2011-09-10,81
2011-09-11,82
2011-09-12,82
2011-09-13,83
2011-09-14,84
2011-09-15,85
2011-09-16,86
2011-09-17,87
2011-09-18,88
2011-09-19,89
2011-09-20,90
2011-09-21,91
2011-09-22,91
2011-09-23,92
2011-09-24,93
2011-09-25,94
2011-09-26,95
2011-09-27,96
2011-09-28,97
2011-09-29,98
2011-09-30,99
2011-10-01,100
2011-10-02,98
2011-10-03,96
2011-10-04,95
2011-10-05,93
2011-10-06,92
2011-10-07,90
2011-10-08,88
2011-10-09,87
2011-10-10,85
2011-10-11,84
2011-10-12,82
2011-10-13,81
2011-10-14,79
2011-10-15,77
2011-10-16,76
2011-10-17,74
2011-10-18,73
2011-10-19,71
2011-10-20,69
2011-10-21,68
2011-10-22,66
2011-10-23,65
2011-10-24,63
2011-10-25,62
2011-10-26,60
2011-10-27,58
2011-10-28,57
2011-10-29,55
2011-10-30,54
2011-10-31,52
2011-11-01,51
2011-11-02,50
2011-11-03,50
2011-11-04,50
2011-11-05,50
2011-11-06,50
2011-11-07,49
2011-11-08,49
2011-11-09,49
2011-11-10,49
2011-11-11,49
2011-11-12,48
2011-11-13,48
2011-11-14,48
