Date,BioAmber
2011-05-01,45
2011-05-02,45
2011-05-03,45
2011-05-04,45
2011-05-05,45
2011-05-06,45
2011-05-07,46
2011-05-08,46
2011-05-09,46
2011-05-10,46
2011-05-11,46
2011-05-12,47
2011-05-13,47
2011-05-14,47
2011-05-15,47
2011-05-16,47
2011-05-17,48
2011-05-18,48
2011-05-19,48
2011-05-20,48
2011-05-21,48
2011-05-22,49
2011-05-23,49
2011-05-24,49
2011-05-25,49
2011-05-26,49
2011-05-27,50
2011-05-28,50
2011-05-29,50
2011-05-30,50
2011-05-31,50
2011-06-01,51
2011-06-02,50
2011-06-03,50
2011-06-04,50
2011-06-05,49
2011-06-06,49
2011-06-07,49
2011-06-08,49
2011-06-09,48
2011-06-10,48
2011-06-11,48
2011-06-12,48
2011-06-13,47
2011-06-14,47
2011-06-15,47
2011-06-16,47
2011-06-17,46
2011-06-18,46
2011-06-19,46
2011-06-20,45
2011-06-21,45
2011-06-22,45
2011-06-23,45
2011-06-24,44
2011-06-25,44
2011-06-26,44
2011-06-27,44
2011-06-28,43
2011-06-29,43
2011-06-30,43
2011-07-01,43
2011-07-02,43
2011-07-03,43
2011-07-04,43
2011-07-05,44
2011-07-06,44
2011-07-07,44
2011-07-08,45
2011-07-09,45
2011-07-10,45
2011-07-11,45
2011-07-12,46
2011-07-13,46
2011-07-14,46
2011-07-15,47
2011-07-16,47
2011-07-17,47
2011-07-18,47
2011-07-19,48
2011-07-20,48
2011-07-21,48
2011-07-22,49
2011-07-23,49
2011-07-24,49
2011-07-25,49
2011-07-26,50
2011-07-27,50
2011-07-28,50
2011-07-29,51
2011-07-30,51
2011-07-31,51
2011-08-01,52
2011-08-02,52
2011-08-03,52
2011-08-04,52
2011-08-05,52
2011-08-06,52
2011-08-07,52
2011-08-08,52
2011-08-09,53
2011-08-10,53
2011-08-11,53
2011-08-12,53
2011-08-13,53
2011-08-14,53
2011-08-15,53
2011-08-16,53
2011-08-17,54
2011-08-18,54
2011-08-19,54
2011-08-20,54
2011-08-21,54
2011-08-22,54
2011-08-23,54
2011-08-24,54
2011-08-25,55
2011-08-26,55
2011-08-27,55
2011-08-28,55
2011-08-29,55
2011-08-30,55
2011-08-31,55
2011-09-01,56
2011-09-02,55
2011-09-03,55
2011-09-04,55
2011-09-05,54
2011-09-06,54
2011-09-07,54
2011-09-08,54
2011-09-09,53
2011-09-10,53
2011-09-11,53
2011-09-12,53
2011-09-13,52
2011-09-14,52
2011-09-15,52
2011-09-16,52
2011-09-17,51
2011-09-18,51
2011-09-19,51
2011-09-20,50
2011-09-21,50
2011-09-22,50
2011-09-23,50
2011-09-24,49
2011-09-25,49
2011-09-26,49
2011-09-27,49
2011-09-28,48
2011-09-29,48
2011-09-30,48
2011-10-01,48
2011-10-02,49
2011-10-03,51
2011-10-04,53
2011-10-05,54
2011-10-06,56
2011-10-07,58
2011-10-08,59
2011-10-09,61
2011-10-10,63
2011-10-11,64
2011-10-12,66
2011-10-13,68
2011-10-14,69
2011-10-15,71
2011-10-16,73
2011-10-17,74
2011-10-18,76
2011-10-19,78
2011-10-20,79
2011-10-21,81
2011-10-22,83
2011-10-23,84
2011-10-24,86
2011-10-25,88
2011-10-26,89
2011-10-27,91
2011-10-28,93
2011-10-29,94
2011-10-30,96
2011-10-31,98
2011-11-01,100
2011-11-02,98
2011-11-03,96
2011-11-04,95
2011-11-05,93
2011-11-06,91
2011-11-07,90
2011-11-08,88
2011-11-09,86
2011-11-10,85
2011-11-11,83
2011-11-12,81
2011-11-13,80
2011-11-14,78
2011-11-15,76
2011-11-16,75
2011-11-17,73
2011-11-18,71
2011-11-19,70
2011-11-20,68
2011-11-21,66
2011-11-22,65
2011-11-23,63
2011-11-24,61
2011-11-25,60
2011-11-26,58
2011-11-27,56
2011-11-28,55
2011-11-29,53
2011-11-30,51
2011-12-01,50
2011-12-02,50
2011-12-03,50
2011-12-04,50
2011-12-05,51
2011-12-06,51
2011-12-07,51
2011-12-08,52
2011-12-09,52
2011-12-10,52
2011-12-11,53
2011-12-12,53
2011-12-13,53
2011-12-14,54
2011-12-15,54
2011-12-16,54
2011-12-17,55
2011-12-18,55
2011-12-19,55
2011-12-20,56
2011-12-21,56
2011-12-22,56
2011-12-23,57
2011-12-24,57
2011-12-25,57
2011-12-26,58
2011-12-27,58
2011-12-28,58
2011-12-29,59
