Date,Biohorizons
2011-09-10,37
2011-09-11,38
2011-09-12,39
2011-09-13,40
2011-09-14,41
2011-09-15,42
2011-09-16,43
2011-09-17,44
2011-09-18,44
2011-09-19,43
2011-09-20,43
2011-09-21,43
2011-09-22,43
2011-09-23,43
2011-09-24,43
2011-09-25,45
2011-09-26,48
2011-09-27,51
2011-09-28,53
2011-09-29,56
2011-09-30,59
2011-10-01,62
2011-10-02,60
2011-10-03,59
2011-10-04,57
2011-10-05,56
2011-10-06,54
2011-10-07,53
2011-10-08,52
2011-10-09,58
2011-10-10,66
2011-10-11,73
2011-10-12,81
2011-10-13,88
2011-10-14,95
2011-10-15,102
2011-10-16,96
2011-10-17,86
2011-10-18,80
2011-10-19,73
2011-10-20,67
2011-10-21,60
2011-10-22,54
2011-10-23,54
2011-10-24,55
2011-10-25,55
2011-10-26,56
2011-10-27,56
2011-10-28,57
2011-10-29,57
2011-10-30,54
2011-10-31,50
2011-11-01,46
2011-11-02,43
2011-11-03,39
2011-11-04,36
2011-11-05,33
2011-11-06,34
2011-11-07,35
2011-11-08,37
2011-11-09,38
2011-11-10,39
2011-11-11,40
2011-11-12,42
2011-11-13,45
2011-11-14,48
2011-11-15,52
2011-11-16,55
2011-11-17,58
2011-11-18,61
2011-11-19,65
2011-11-20,61
2011-11-21,60
2011-11-22,56
2011-11-23,53
2011-11-24,50
2011-11-25,48
2011-11-26,46
2011-11-27,41
2011-12-04,38
2011-12-05,38
2011-12-06,38
2011-12-07,38
2011-12-08,38
2011-12-09,38
2011-12-10,38
2011-12-11,41
2011-12-12,44
2011-12-13,47
2011-12-14,51
2011-12-15,54
2011-12-16,57
2011-12-17,61
2011-12-18,57
2011-12-19,53
2011-12-20,50
2011-12-21,46
2011-12-22,43
2011-12-23,39
2011-12-24,36
2011-12-25,36
2011-12-26,37
2011-12-27,37
2011-12-28,38
2011-12-29,38
2011-12-30,39
2011-12-31,40
2012-01-01,40
2012-01-02,41
2012-01-03,41
2012-01-04,42
2012-01-05,42
2012-01-06,43
2012-01-07,44
2012-01-08,44
2012-01-09,44
2012-01-10,44
2012-01-11,44
2012-01-12,44
2012-01-13,44
2012-01-14,44
2012-01-15,45
2012-01-16,46
2012-01-17,47
2012-01-18,48
2012-01-19,49
2012-01-20,50
2012-01-21,52
2012-01-22,55
2012-01-23,59
2012-01-24,63
2012-01-25,67
2012-01-26,71
2012-01-27,75
2012-01-28,79
2012-01-29,76
2012-01-30,74
2012-01-31,72
2012-02-01,69
2012-02-02,67
2012-02-03,64
2012-02-04,62
2012-02-05,61
2012-02-06,59
2012-02-07,58
2012-02-08,57
2012-02-09,56
2012-02-10,55
2012-02-11,54
2012-02-12,57
2012-02-13,60
2012-02-14,63
2012-02-15,67
2012-02-16,70
2012-02-17,73
2012-02-18,76
2012-02-19,71
2012-02-20,66
2012-02-21,61
2012-02-22,57
2012-02-23,52
2012-02-24,47
2012-02-25,43
2012-02-26,46
2012-03-04,62
2012-03-05,59
2012-03-06,56
2012-03-07,53
2012-03-08,50
2012-03-09,47
2012-03-10,44
2012-03-11,46
2012-03-12,48
2012-03-13,50
2012-03-14,53
2012-03-15,55
2012-03-16,57
2012-03-17,59
2012-03-18,57
2012-03-19,53
2012-03-20,50
2012-03-21,48
2012-03-22,45
2012-03-23,42
2012-03-24,40
2012-03-25,40
2012-03-26,40
2012-03-27,41
2012-03-28,41
2012-03-29,42
2012-03-30,42
2012-03-31,43
2012-04-01,44
2012-04-02,45
2012-04-03,47
2012-04-04,48
2012-04-05,50
2012-04-06,51
2012-04-07,53
2012-04-08,58
2012-04-09,64
2012-04-10,70
2012-04-11,75
2012-04-12,81
2012-04-13,87
2012-04-14,93
2012-04-15,87
2012-04-16,82
2012-04-17,77
2012-04-18,71
2012-04-19,66
2012-04-20,61
2012-04-21,56
2012-04-22,54
2012-04-23,52
2012-04-24,50
2012-04-25,48
2012-04-26,46
2012-04-27,44
2012-04-28,43
2012-04-29,45
2012-04-30,48
2012-05-01,51
2012-05-02,53
2012-05-03,56
2012-05-04,59
2012-05-05,62
2012-05-06,64
2012-05-07,67
2012-05-08,70
2012-05-09,72
2012-05-10,75
2012-05-11,78
2012-05-12,81
2012-05-13,80
2012-05-14,79
2012-05-15,78
2012-05-16,77
2012-05-17,76
2012-05-18,75
2012-05-19,74
