Date,Och-Ziff Capital
2007-01-01,0
2007-01-02,1
2007-01-03,3
2007-01-04,4
2007-01-05,6
2007-01-06,8
2007-01-07,9
2007-01-08,11
2007-01-09,13
2007-01-10,14
2007-01-11,16
2007-01-12,18
2007-01-13,19
2007-01-14,21
2007-01-15,23
2007-01-16,24
2007-01-17,26
2007-01-18,27
2007-01-19,29
2007-01-20,31
2007-01-21,32
2007-01-22,34
2007-01-23,36
2007-01-24,37
2007-01-25,39
2007-01-26,41
2007-01-27,42
2007-01-28,44
2007-01-29,46
2007-01-30,47
2007-01-31,49
2007-02-01,51
2007-02-02,51
2007-02-03,51
2007-02-04,51
2007-02-05,51
2007-02-06,51
2007-02-07,51
2007-02-08,52
2007-02-09,52
2007-02-10,52
2007-02-11,52
2007-02-12,52
2007-02-13,52
2007-02-14,52
2007-02-15,53
2007-02-16,53
2007-02-17,53
2007-02-18,53
2007-02-19,53
2007-02-20,53
2007-02-21,53
2007-02-22,54
2007-02-23,54
2007-02-24,54
2007-02-25,54
2007-02-26,54
2007-02-27,54
2007-02-28,54
2007-03-01,55
2007-03-02,54
2007-03-03,54
2007-03-04,54
2007-03-05,54
2007-03-06,54
2007-03-07,53
2007-03-08,53
2007-03-09,53
2007-03-10,53
2007-03-11,53
2007-03-12,52
2007-03-13,52
2007-03-14,52
2007-03-15,52
2007-03-16,52
2007-03-17,51
2007-03-18,51
2007-03-19,51
2007-03-20,51
2007-03-21,51
2007-03-22,50
2007-03-23,50
2007-03-24,50
2007-03-25,50
2007-03-26,50
2007-03-27,49
2007-03-28,49
2007-03-29,49
2007-03-30,49
2007-03-31,49
2007-04-01,49
2007-04-02,48
2007-04-03,47
2007-04-04,46
2007-04-05,46
2007-04-06,45
2007-04-07,44
2007-04-08,44
2007-04-09,43
2007-04-10,42
2007-04-11,42
2007-04-12,41
2007-04-13,40
2007-04-14,39
2007-04-15,39
2007-04-16,38
2007-04-17,37
2007-04-18,37
2007-04-19,36
2007-04-20,35
2007-04-21,35
2007-04-22,34
2007-04-23,33
2007-04-24,32
2007-04-25,32
2007-04-26,31
2007-04-27,30
2007-04-28,30
2007-04-29,29
2007-04-30,28
2007-05-01,28
2007-05-02,28
2007-05-03,28
2007-05-04,29
2007-05-05,29
2007-05-06,30
2007-05-07,30
2007-05-08,31
2007-05-09,31
2007-05-10,32
2007-05-11,32
2007-05-12,32
2007-05-13,33
2007-05-14,33
2007-05-15,34
2007-05-16,34
2007-05-17,35
2007-05-18,35
2007-05-19,36
2007-05-20,36
2007-05-21,37
2007-05-22,37
2007-05-23,37
2007-05-24,38
2007-05-25,38
2007-05-26,39
2007-05-27,39
2007-05-28,40
2007-05-29,40
2007-05-30,41
2007-05-31,41
2007-06-01,42
2007-06-02,43
2007-06-03,45
2007-06-04,47
2007-06-05,49
2007-06-06,51
2007-06-07,53
2007-06-08,55
2007-06-09,57
2007-06-10,59
2007-06-11,61
2007-06-12,63
2007-06-13,65
2007-06-14,67
2007-06-15,69
2007-06-16,71
2007-06-17,72
2007-06-18,74
2007-06-19,76
2007-06-20,78
2007-06-21,80
2007-06-22,82
2007-06-23,84
2007-06-24,86
2007-06-25,88
2007-06-26,90
2007-06-27,92
2007-06-28,94
2007-06-29,96
2007-06-30,98
2007-07-01,100
2007-07-02,98
2007-07-03,97
2007-07-04,95
2007-07-05,94
2007-07-06,93
2007-07-07,91
2007-07-08,90
2007-07-09,89
2007-07-10,87
2007-07-11,86
2007-07-12,85
2007-07-13,83
2007-07-14,82
2007-07-15,81
2007-07-16,79
2007-07-17,78
2007-07-18,76
2007-07-19,75
2007-07-20,74
2007-07-21,72
2007-07-22,71
2007-07-23,70
2007-07-24,68
2007-07-25,67
2007-07-26,66
2007-07-27,64
2007-07-28,63
2007-07-29,62
2007-07-30,60
2007-07-31,59
2007-08-01,58
2007-08-02,57
2007-08-03,57
2007-08-04,56
2007-08-05,56
2007-08-06,55
2007-08-07,55
2007-08-08,54
2007-08-09,54
2007-08-10,53
2007-08-11,53
2007-08-12,53
2007-08-13,52
2007-08-14,52
2007-08-15,51
2007-08-16,51
2007-08-17,50
2007-08-18,50
2007-08-19,49
2007-08-20,49
2007-08-21,48
2007-08-22,48
2007-08-23,48
2007-08-24,47
2007-08-25,47
2007-08-26,46
2007-08-27,46
2007-08-28,45
2007-08-29,45
2007-08-30,44
2007-08-31,44
2007-09-01,44
2007-09-02,45
2007-09-03,46
2007-09-04,47
2007-09-05,49
2007-09-06,50
2007-09-07,51
2007-09-08,52
2007-09-09,54
2007-09-10,55
2007-09-11,56
2007-09-12,57
2007-09-13,59
2007-09-14,60
2007-09-15,61
2007-09-16,63
2007-09-17,64
2007-09-18,65
2007-09-19,66
2007-09-20,68
2007-09-21,69
2007-09-22,70
2007-09-23,71
2007-09-24,73
2007-09-25,74
2007-09-26,75
2007-09-27,76
2007-09-28,78
2007-09-29,79
2007-09-30,80
2007-10-01,82
2007-10-02,81
2007-10-03,81
2007-10-04,80
2007-10-05,80
2007-10-06,80
2007-10-07,79
2007-10-08,79
2007-10-09,79
2007-10-10,78
2007-10-11,78
2007-10-12,78
2007-10-13,77
2007-10-14,77
2007-10-15,77
2007-10-16,76
2007-10-17,76
2007-10-18,75
2007-10-19,75
2007-10-20,75
2007-10-21,74
2007-10-22,74
2007-10-23,74
2007-10-24,73
2007-10-25,73
2007-10-26,73
2007-10-27,72
2007-10-28,72
2007-10-29,72
2007-10-30,71
2007-10-31,71
2007-11-01,71
2007-11-02,69
2007-11-03,68
2007-11-04,67
2007-11-05,65
2007-11-06,64
2007-11-07,63
2007-11-08,62
2007-11-09,60
2007-11-10,59
2007-11-11,58
2007-11-12,57
2007-11-13,55
2007-11-14,54
2007-11-15,53
2007-11-16,52
2007-11-17,50
2007-11-18,49
2007-11-19,48
2007-11-20,46
2007-11-21,45
2007-11-22,44
2007-11-23,43
2007-11-24,41
2007-11-25,40
2007-11-26,39
2007-11-27,38
2007-11-28,36
2007-11-29,35
2007-11-30,34
2007-12-01,33
2007-12-02,33
2007-12-03,33
2007-12-04,33
2007-12-05,33
2007-12-06,33
2007-12-07,33
2007-12-08,33
2007-12-09,33
2007-12-10,33
2007-12-11,33
2007-12-12,33
2007-12-13,33
2007-12-14,33
2007-12-15,33
2007-12-16,33
2007-12-17,34
2007-12-18,34
2007-12-19,34
2007-12-20,34
2007-12-21,34
2007-12-22,34
2007-12-23,34
2007-12-24,34
2007-12-25,34
2007-12-26,34
2007-12-27,34
2007-12-28,34
2007-12-29,34
2007-12-30,34
2007-12-31,34
2008-01-01,35
2008-01-02,35
2008-01-03,35
2008-01-04,36
2008-01-05,36
2008-01-06,36
2008-01-07,37
2008-01-08,37
2008-01-09,37
2008-01-10,38
2008-01-11,38
2008-01-12,38
2008-01-13,39
2008-01-14,39
2008-01-15,39
2008-01-16,40
2008-01-17,40
2008-01-18,41
2008-01-19,41
2008-01-20,41
2008-01-21,42
2008-01-22,42
2008-01-23,42
2008-01-24,43
2008-01-25,43
2008-01-26,43
2008-01-27,44
2008-01-28,44
2008-01-29,44
2008-01-30,45
2008-01-31,45
2008-02-01,46
2008-02-02,46
2008-02-03,46
2008-02-04,46
2008-02-05,46
2008-02-06,46
2008-02-07,46
2008-02-08,46
2008-02-09,46
2008-02-10,46
2008-02-11,47
2008-02-12,47
2008-02-13,47
2008-02-14,47
2008-02-15,47
2008-02-16,47
2008-02-17,47
2008-02-18,47
2008-02-19,47
2008-02-20,47
2008-02-21,48
2008-02-22,48
2008-02-23,48
2008-02-24,48
2008-02-25,48
2008-02-26,48
2008-02-27,48
2008-02-28,48
2008-02-29,48
2008-03-01,49
2008-03-02,48
2008-03-03,47
2008-03-04,46
2008-03-05,46
2008-03-06,45
2008-03-07,44
2008-03-08,43
2008-03-09,43
2008-03-10,42
2008-03-11,41
2008-03-12,40
2008-03-13,40
2008-03-14,39
2008-03-15,38
2008-03-16,37
2008-03-17,37
2008-03-18,36
2008-03-19,35
2008-03-20,34
2008-03-21,34
2008-03-22,33
2008-03-23,32
2008-03-24,31
2008-03-25,31
2008-03-26,30
2008-03-27,29
2008-03-28,28
2008-03-29,28
2008-03-30,27
2008-03-31,26
2008-04-01,26
2008-04-02,26
2008-04-03,26
2008-04-04,26
2008-04-05,26
2008-04-06,26
2008-04-07,26
2008-04-08,26
2008-04-09,26
2008-04-10,26
2008-04-11,26
2008-04-12,26
2008-04-13,26
2008-04-14,26
2008-04-15,26
2008-04-16,26
2008-04-17,26
2008-04-18,26
2008-04-19,26
2008-04-20,26
2008-04-21,26
2008-04-22,26
2008-04-23,26
2008-04-24,26
2008-04-25,26
2008-04-26,26
2008-04-27,26
2008-04-28,26
2008-04-29,26
2008-04-30,26
2008-05-01,26
2008-05-02,26
2008-05-03,26
2008-05-04,27
2008-05-05,27
2008-05-06,28
2008-05-07,28
2008-05-08,28
2008-05-09,29
2008-05-10,29
2008-05-11,30
2008-05-12,30
2008-05-13,31
2008-05-14,31
2008-05-15,31
2008-05-16,32
2008-05-17,32
2008-05-18,33
2008-05-19,33
2008-05-20,33
2008-05-21,34
2008-05-22,34
2008-05-23,35
2008-05-24,35
2008-05-25,36
2008-05-26,36
2008-05-27,36
2008-05-28,37
2008-05-29,37
2008-05-30,38
2008-05-31,38
2008-06-01,39
2008-06-02,38
2008-06-03,37
2008-06-04,37
2008-06-05,36
2008-06-06,35
2008-06-07,35
2008-06-08,34
2008-06-09,33
2008-06-10,33
2008-06-11,32
2008-06-12,31
2008-06-13,31
2008-06-14,30
2008-06-15,29
2008-06-16,29
2008-06-17,28
2008-06-18,27
2008-06-19,27
2008-06-20,26
2008-06-21,25
2008-06-22,25
2008-06-23,24
2008-06-24,23
2008-06-25,23
2008-06-26,22
2008-06-27,21
2008-06-28,21
2008-06-29,20
2008-06-30,19
2008-07-01,19
2008-07-02,19
2008-07-03,19
2008-07-04,20
2008-07-05,20
2008-07-06,21
2008-07-07,21
2008-07-08,22
2008-07-09,22
2008-07-10,23
2008-07-11,23
2008-07-12,23
2008-07-13,24
2008-07-14,24
2008-07-15,25
2008-07-16,25
2008-07-17,26
2008-07-18,26
2008-07-19,27
2008-07-20,27
2008-07-21,28
2008-07-22,28
2008-07-23,28
2008-07-24,29
