Date,TomoTherapy
2006-08-06,42
2006-08-07,40
2006-08-08,38
2006-08-09,37
2006-08-10,35
2006-08-11,33
2006-08-12,32
2006-08-13,32
2006-08-14,32
2006-08-15,32
2006-08-16,32
2006-08-17,32
2006-08-18,32
2006-08-19,32
2006-08-20,31
2006-08-21,37
2006-08-22,29
2006-08-23,28
2006-08-24,27
2006-08-25,26
2006-08-26,25
2006-08-27,25
2006-08-28,25
2006-08-29,25
2006-08-30,25
2006-08-31,25
2006-09-01,25
2006-09-02,25
2006-09-03,25
2006-09-04,25
2006-09-05,25
2006-09-06,25
2006-09-07,25
2006-09-08,25
2006-09-09,26
2006-09-10,26
2006-09-11,26
2006-09-12,26
2006-09-13,27
2006-09-14,27
2006-09-15,27
2006-09-16,28
2006-09-17,28
2006-09-18,28
2006-09-19,28
2006-09-20,29
2006-09-21,29
2006-09-22,29
2006-09-23,30
2006-09-24,30
2006-09-25,30
2006-09-26,30
2006-09-27,31
2006-09-28,31
2006-09-29,31
2006-09-30,32
2006-10-01,32
2006-10-02,32
2006-10-03,32
2006-10-04,32
2006-10-05,32
2006-10-06,32
2006-10-07,33
2006-10-08,33
2006-10-09,33
2006-10-10,33
2006-10-11,33
2006-10-12,33
2006-10-13,33
2006-10-14,34
2006-10-15,34
2006-10-16,34
2006-10-17,34
2006-10-18,34
2006-10-19,34
2006-10-20,35
2006-10-21,35
2006-10-22,34
2006-10-23,34
2006-10-24,34
2006-10-25,33
2006-10-26,33
2006-10-27,33
2006-10-28,33
2006-10-29,32
2006-11-05,29
2006-11-06,35
2006-11-07,28
2006-11-08,28
2006-11-09,27
2006-11-10,27
2006-11-11,27
2006-11-12,27
2006-11-13,27
2006-11-14,27
2006-11-15,27
2006-11-16,27
2006-11-17,27
2006-11-18,27
2006-11-19,27
2006-11-20,27
2006-11-21,27
2006-11-22,27
2006-11-23,27
2006-11-24,27
2006-11-25,27
2006-11-26,27
2006-11-27,27
2006-11-28,27
2006-11-29,28
2006-11-30,28
2006-12-01,28
2006-12-02,29
2006-12-03,23
2006-12-04,19
2006-12-05,15
2006-12-06,11
2006-12-07,7
2006-12-08,3
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,3
2007-01-08,6
2007-01-09,9
2007-01-10,13
2007-01-11,16
2007-01-12,19
2007-01-13,23
2007-01-14,22
2007-01-15,21
2007-01-16,21
2007-01-17,20
2007-01-18,20
2007-01-19,19
2007-01-20,19
2007-01-21,20
2007-01-22,22
2007-01-23,23
2007-01-24,25
2007-01-25,27
2007-01-26,28
2007-01-27,30
2007-01-28,28
2007-02-04,19
2007-02-05,19
2007-02-06,19
2007-02-07,19
2007-02-08,19
2007-02-09,19
2007-02-10,19
2007-02-11,20
2007-02-12,22
2007-02-13,24
2007-02-14,25
2007-02-15,27
2007-02-16,29
2007-02-17,31
2007-02-18,32
2007-02-19,34
2007-02-20,35
2007-02-21,36
2007-02-22,38
2007-02-23,39
2007-02-24,41
2007-02-25,39
2007-02-26,38
2007-02-27,37
2007-02-28,36
2007-03-01,34
2007-03-02,33
2007-03-03,32
2007-03-04,30
2007-03-05,28
2007-03-06,26
2007-03-07,25
2007-03-08,23
2007-03-09,21
2007-03-10,20
2007-03-11,21
2007-03-12,22
2007-03-13,23
2007-03-14,24
2007-03-15,25
2007-03-16,26
2007-03-17,27
2007-03-18,26
2007-03-19,25
2007-03-20,25
2007-03-21,24
2007-03-22,24
2007-03-23,23
2007-03-24,23
2007-03-25,22
2007-05-06,52
2007-05-07,60
2007-05-08,69
2007-05-09,77
2007-05-10,85
2007-05-11,94
2007-05-12,102
2007-05-13,93
2007-05-14,81
2007-05-15,72
2007-05-16,63
2007-05-17,53
2007-05-18,44
2007-05-19,35
2007-05-20,35
2007-05-21,35
2007-05-22,35
2007-05-23,36
2007-05-24,36
2007-05-25,36
2007-05-26,36
2007-05-27,34
2007-05-28,30
2007-05-29,28
2007-05-30,25
2007-05-31,23
2007-06-01,20
2007-06-02,18
2007-06-03,18
2007-06-04,18
2007-06-05,19
2007-06-06,19
2007-06-07,20
2007-06-08,20
2007-06-09,21
2007-06-10,22
2007-06-11,23
2007-06-12,24
2007-06-13,26
2007-06-14,27
2007-06-15,28
2007-06-16,30
2007-06-17,29
2007-06-18,30
2007-06-19,29
2007-06-20,29
2007-06-21,29
2007-06-22,29
2007-06-23,29
2007-06-24,27
2007-06-25,25
2007-06-26,24
2007-06-27,22
2007-06-28,21
2007-06-29,19
2007-06-30,18
2007-07-01,18
2007-07-02,18
2007-07-03,19
2007-07-04,19
2007-07-05,20
2007-07-06,20
2007-07-07,21
2007-07-08,22
2007-07-09,23
2007-07-10,24
2007-07-11,25
2007-07-12,26
2007-07-13,27
2007-07-14,29
2007-07-15,29
2007-07-16,29
2007-07-17,30
2007-07-18,30
2007-07-19,31
2007-07-20,31
2007-07-21,32
2007-07-22,31
2007-07-23,31
2007-07-24,31
2007-07-25,30
2007-07-26,30
2007-07-27,30
2007-07-28,30
2007-07-29,32
2007-08-05,41
2007-08-06,37
2007-08-07,33
2007-08-08,29
2007-08-09,25
2007-08-10,21
2007-08-11,18
2007-08-12,18
2007-08-13,19
2007-08-14,20
2007-08-15,20
2007-08-16,21
2007-08-17,22
2007-08-18,23
2007-08-19,26
2007-08-20,29
2007-08-21,32
2007-08-22,35
2007-08-23,38
2007-08-24,41
2007-08-25,44
2007-08-26,42
2007-08-27,40
2007-08-28,38
2007-08-29,36
2007-08-30,34
2007-08-31,32
2007-09-01,30
2007-09-02,29
2007-09-03,28
2007-09-04,28
2007-09-05,27
2007-09-06,27
2007-09-07,26
2007-09-08,26
2007-09-09,25
2007-09-10,24
2007-09-11,23
2007-09-12,22
2007-09-13,21
2007-09-14,20
2007-09-15,20
2007-09-16,20
2007-09-17,20
2007-09-18,20
2007-09-19,20
2007-09-20,20
2007-09-21,20
2007-09-22,21
2007-09-23,21
2007-09-24,22
2007-09-25,22
2007-09-26,23
2007-09-27,24
2007-09-28,24
2007-09-29,25
2007-09-30,24
2007-10-01,22
2007-10-02,21
2007-10-03,20
2007-10-04,19
2007-10-05,18
2007-10-06,17
2007-10-07,18
2007-10-08,19
2007-10-09,20
2007-10-10,22
2007-10-11,23
2007-10-12,24
2007-10-13,26
2007-10-14,26
2007-10-15,26
2007-10-16,27
2007-10-17,27
2007-10-18,28
2007-10-19,28
2007-10-20,29
2007-10-21,29
2007-10-22,29
2007-10-23,29
2007-10-24,29
2007-10-25,29
2007-10-26,29
2007-10-27,29
2007-10-28,28
2007-11-04,27
2007-11-05,28
2007-11-06,28
2007-11-07,29
2007-11-08,30
2007-11-09,30
2007-11-10,31
2007-11-11,31
2007-11-12,31
2007-11-13,31
2007-11-14,32
2007-11-15,32
2007-11-16,32
2007-11-17,32
2007-11-18,31
2007-11-19,28
2007-11-20,27
2007-11-21,25
2007-11-22,24
2007-11-23,22
2007-11-24,21
2007-11-25,21
2007-11-26,21
2007-11-27,21
2007-11-28,21
2007-11-29,21
2007-11-30,21
2007-12-01,21
2007-12-02,21
2007-12-03,22
2007-12-04,22
2007-12-05,23
2007-12-06,23
2007-12-07,24
2007-12-08,25
2007-12-09,26
2007-12-10,27
2007-12-11,28
2007-12-12,29
2007-12-13,30
2007-12-14,31
2007-12-15,32
2007-12-16,30
2007-12-17,29
2007-12-18,28
2007-12-19,26
2007-12-20,25
2007-12-21,24
2007-12-22,23
2007-12-23,22
2007-12-24,22
2007-12-25,21
2007-12-26,21
2007-12-27,20
2007-12-28,20
2007-12-29,20
2007-12-30,19
2007-12-31,19
2008-01-01,19
2008-01-02,18
2008-01-03,18
2008-01-04,18
2008-01-05,18
2008-01-06,19
2008-01-07,21
2008-01-08,23
2008-01-09,24
2008-01-10,26
2008-01-11,28
2008-01-12,30
2008-01-13,28
2008-01-14,27
2008-01-15,26
2008-01-16,25
2008-01-17,24
2008-01-18,23
2008-01-19,22
2008-01-20,22
2008-01-21,22
2008-01-22,22
2008-01-23,22
2008-01-24,22
2008-01-25,22
2008-01-26,23
2008-01-27,23
2008-02-03,25
2008-02-04,25
2008-02-05,25
2008-02-06,24
2008-02-07,24
2008-02-08,24
2008-02-09,24
2008-02-10,23
2008-02-11,23
2008-02-12,23
2008-02-13,22
2008-02-14,22
2008-02-15,22
2008-02-16,22
2008-02-17,22
2008-02-18,23
2008-02-19,23
2008-02-20,24
2008-02-21,24
2008-02-22,25
2008-02-23,26
2008-02-24,25
2008-02-25,25
2008-02-26,25
2008-02-27,25
2008-02-28,25
2008-02-29,25
2008-03-01,25
2008-03-02,25
2008-03-03,25
2008-03-04,25
2008-03-05,25
2008-03-06,25
2008-03-07,25
2008-03-08,25
2008-03-09,24
2008-03-10,23
2008-03-11,23
2008-03-12,22
2008-03-13,22
2008-03-14,21
2008-03-15,21
2008-03-16,21
2008-03-17,21
2008-03-18,21
2008-03-19,21
2008-03-20,21
2008-03-21,21
2008-03-22,22
2008-03-23,22
2008-03-24,22
2008-03-25,22
2008-03-26,22
2008-03-27,22
2008-03-28,22
2008-03-29,22
2008-03-30,21
2008-03-31,21
2008-04-01,21
2008-04-02,20
2008-04-03,20
2008-04-04,20
2008-04-05,20
2008-04-06,21
2008-04-07,22
2008-04-08,23
2008-04-09,24
2008-04-10,25
2008-04-11,26
2008-04-12,28
2008-04-13,28
2008-04-14,28
2008-04-15,28
2008-04-16,28
2008-04-17,28
2008-04-18,28
2008-04-19,28
2008-04-20,28
2008-04-21,29
2008-04-22,30
2008-04-23,31
2008-04-24,31
2008-04-25,32
2008-04-26,33
