Date,West Corporation
2009-04-01,57
2009-04-02,57
2009-04-03,62
2009-04-04,59
2009-04-05,61
2009-04-06,63
2009-04-07,65
2009-04-08,71
2009-04-09,74
2009-04-10,76
2009-04-11,75
2009-04-12,74
2009-04-13,73
2009-04-14,72
2009-04-15,71
2009-04-16,74
2009-04-17,69
2009-04-18,68
2009-04-19,67
2009-04-20,66
2009-04-21,68
2009-04-22,64
2009-04-23,63
2009-04-24,67
2009-04-25,62
2009-04-26,63
2009-04-27,62
2009-04-28,62
2009-04-29,62
2009-04-30,68
2009-05-01,65
2009-05-02,63
2009-05-03,62
2009-05-04,61
2009-05-05,61
2009-05-06,63
2009-05-07,60
2009-05-08,62
2009-05-09,59
2009-05-10,59
2009-05-11,60
2009-05-12,63
2009-05-13,61
2009-05-14,68
2009-05-15,62
2009-05-16,70
2009-05-17,61
2009-05-18,60
2009-05-19,59
2009-05-20,65
2009-05-21,56
2009-05-22,58
2009-05-23,56
2009-05-24,54
2009-05-25,54
2009-05-26,54
2009-05-27,54
2009-05-28,56
2009-05-29,54
2009-05-30,54
2009-05-31,54
2009-06-01,54
2009-06-02,58
2009-06-03,55
2009-06-04,59
2009-06-05,57
2009-06-06,56
2009-06-07,56
2009-06-08,56
2009-06-09,65
2009-06-10,57
2009-06-11,57
2009-06-12,57
2009-06-13,58
2009-06-14,59
2009-06-15,61
2009-06-16,63
2009-06-17,69
2009-06-18,67
2009-06-19,76
2009-06-20,72
2009-06-21,70
2009-06-22,70
2009-06-23,70
2009-06-24,69
2009-06-25,73
2009-06-26,69
2009-06-27,69
2009-06-28,67
2009-06-29,66
2009-06-30,67
2009-07-01,63
2009-07-02,70
2009-07-03,60
2009-07-04,59
2009-07-05,60
2009-07-06,61
2009-07-07,62
2009-07-08,66
2009-07-09,67
2009-07-10,66
2009-07-11,68
2009-07-12,67
2009-07-13,66
2009-07-14,65
2009-07-15,65
2009-07-16,67
2009-07-17,63
2009-07-18,62
2009-07-19,62
2009-07-20,63
2009-07-21,64
2009-07-22,70
2009-07-23,66
2009-07-24,67
2009-07-25,72
2009-07-26,67
2009-07-27,66
2009-07-28,65
2009-07-29,68
2009-07-30,63
2009-07-31,62
2009-08-01,61
2009-08-02,63
2009-08-03,65
2009-08-04,67
2009-08-05,69
2009-08-06,71
2009-08-07,76
2009-08-08,80
2009-08-09,73
2009-08-10,71
2009-08-11,71
2009-08-12,68
2009-08-13,69
2009-08-14,64
2009-08-15,70
2009-08-16,63
2009-08-17,64
2009-08-18,66
2009-08-19,65
2009-08-20,70
2009-08-21,70
2009-08-22,68
2009-08-23,66
2009-08-24,66
2009-08-25,66
2009-08-26,68
2009-08-27,66
2009-08-28,70
2009-08-29,66
2009-08-30,65
2009-08-31,64
2009-09-01,69
2009-09-02,62
2009-09-03,61
2009-09-04,60
2009-09-05,65
2009-09-06,59
2009-09-07,58
2009-09-08,57
2009-09-09,58
