Date,Vanguard Health Systems
2010-10-09,48
2010-10-10,47
2010-10-11,46
2010-10-12,45
2010-10-13,45
2010-10-14,44
2010-10-15,43
2010-10-16,43
2010-10-17,43
2010-10-18,43
2010-10-19,43
2010-10-20,43
2010-10-21,43
2010-10-22,43
2010-10-23,43
2010-10-24,44
2010-10-25,45
2010-10-26,46
2010-10-27,47
2010-10-28,48
2010-10-29,49
2010-10-30,50
2010-10-31,48
2010-11-01,46
2010-11-02,44
2010-11-03,43
2010-11-04,41
2010-11-05,39
2010-11-06,38
2010-11-07,38
2010-11-08,38
2010-11-09,38
2010-11-10,38
2010-11-11,38
2010-11-12,38
2010-11-13,38
2010-11-14,38
2010-11-15,38
2010-11-16,38
2010-11-17,39
2010-11-18,39
2010-11-19,39
2010-11-20,40
2010-11-21,40
2010-11-22,40
2010-11-23,41
2010-11-24,41
2010-11-25,42
2010-11-26,42
2010-11-27,43
2010-11-28,43
2010-11-29,43
2010-11-30,43
2010-12-01,44
2010-12-02,44
2010-12-03,44
2010-12-04,45
2010-12-05,47
2010-12-06,49
2010-12-07,51
2010-12-08,53
2010-12-09,55
2010-12-10,57
2010-12-11,59
2010-12-12,60
2010-12-13,62
2010-12-14,64
2010-12-15,66
2010-12-16,68
2010-12-17,70
2010-12-18,72
2010-12-19,69
2010-12-20,66
2010-12-21,63
2010-12-22,61
2010-12-23,58
2010-12-24,55
2010-12-25,53
2010-12-26,53
2011-01-02,53
2011-01-03,53
2011-01-04,53
2011-01-05,53
2011-01-06,53
2011-01-07,53
2011-01-08,53
2011-01-09,52
2011-01-10,51
2011-01-11,50
2011-01-12,49
2011-01-13,48
2011-01-14,47
2011-01-15,47
2011-01-16,48
2011-01-17,51
2011-01-18,53
2011-01-19,55
2011-01-20,56
2011-01-21,58
2011-01-22,60
2011-01-23,57
2011-01-24,54
2011-01-25,51
2011-01-26,48
2011-01-27,45
2011-01-28,42
2011-01-29,39
2011-01-30,40
2011-01-31,40
2011-02-01,41
2011-02-02,41
2011-02-03,42
2011-02-04,43
2011-02-05,44
2011-02-06,44
2011-02-07,45
2011-02-08,46
2011-02-09,46
2011-02-10,47
2011-02-11,48
2011-02-12,49
2011-02-13,48
2011-02-14,47
2011-02-15,46
2011-02-16,45
2011-02-17,44
2011-02-18,43
2011-02-19,42
2011-02-20,41
2011-02-21,41
2011-02-22,41
2011-02-23,41
2011-02-24,41
2011-02-25,41
2011-02-26,41
2011-02-27,41
2011-02-28,41
2011-03-01,42
2011-03-02,42
2011-03-03,43
2011-03-04,43
2011-03-05,44
2011-03-06,46
2011-03-07,48
2011-03-08,50
2011-03-09,53
2011-03-10,55
2011-03-11,57
2011-03-12,59
2011-03-13,56
2011-03-14,52
2011-03-15,48
2011-03-16,45
2011-03-17,41
2011-03-18,38
2011-03-19,35
2011-03-20,38
2011-03-21,41
2011-03-22,44
2011-03-23,48
2011-03-24,51
2011-03-25,54
2011-03-26,58
2011-03-27,55
2011-04-03,42
2011-04-04,43
2011-04-05,44
2011-04-06,45
2011-04-07,46
2011-04-08,47
2011-04-09,49
2011-04-10,50
2011-04-11,51
2011-04-12,52
2011-04-13,53
2011-04-14,54
2011-04-15,55
2011-04-16,56
2011-04-17,56
2011-04-18,55
2011-04-19,55
2011-04-20,55
2011-04-21,55
2011-04-22,55
2011-04-23,55
2011-04-24,55
2011-04-25,55
2011-04-26,55
2011-04-27,56
2011-04-28,56
2011-04-29,56
2011-04-30,57
2011-05-01,57
2011-05-02,57
2011-05-03,57
2011-05-04,58
2011-05-05,58
2011-05-06,58
2011-05-07,59
2011-05-08,56
2011-05-09,54
2011-05-10,51
2011-05-11,49
2011-05-12,46
2011-05-13,43
2011-05-14,41
2011-05-15,41
2011-05-16,41
2011-05-17,41
2011-05-18,41
2011-05-19,41
2011-05-20,41
2011-05-21,41
2011-05-22,41
2011-05-23,42
2011-05-24,43
2011-05-25,43
2011-05-26,44
2011-05-27,45
2011-05-28,46
2011-05-29,46
2011-05-30,47
2011-05-31,48
2011-06-01,49
2011-06-02,50
2011-06-03,51
2011-06-04,52
2011-06-05,52
2011-06-06,53
2011-06-07,54
2011-06-08,55
2011-06-09,56
2011-06-10,57
2011-06-11,58
2011-06-12,62
2011-06-13,66
2011-06-14,70
2011-06-15,74
2011-06-16,78
2011-06-17,82
2011-06-18,86
2011-06-19,88
2011-06-20,91
2011-06-21,93
2011-06-22,95
2011-06-23,97
2011-06-24,99
2011-06-25,101
2011-06-26,94
2011-07-03,44
2011-07-04,43
2011-07-05,43
2011-07-06,42
2011-07-07,42
2011-07-08,41
2011-07-09,41
2011-07-10,41
2011-07-11,41
2011-07-12,41
2011-07-13,41
2011-07-14,41
2011-07-15,41
2011-07-16,41
2011-07-17,41
2011-07-18,41
2011-07-19,41
2011-07-20,41
2011-07-21,41
2011-07-22,41
2011-07-23,41
2011-07-24,41
2011-07-25,41
2011-07-26,41
2011-07-27,41
2011-07-28,41
2011-07-29,41
2011-07-30,41
2011-07-31,44
2011-08-01,48
2011-08-02,51
2011-08-03,55
2011-08-04,58
2011-08-05,62
2011-08-06,65
2011-08-07,64
2011-08-08,63
2011-08-09,62
2011-08-10,61
2011-08-11,60
2011-08-12,59
2011-08-13,58
2011-08-14,55
2011-08-15,52
2011-08-16,49
2011-08-17,46
2011-08-18,43
2011-08-19,40
2011-08-20,37
2011-08-21,37
2011-08-22,38
2011-08-23,38
2011-08-24,39
2011-08-25,39
2011-08-26,40
2011-08-27,41
2011-08-28,41
2011-08-29,42
2011-08-30,43
2011-08-31,44
2011-09-01,45
2011-09-02,45
2011-09-03,46
2011-09-04,45
2011-09-05,43
2011-09-06,42
2011-09-07,41
2011-09-08,40
2011-09-09,39
2011-09-10,38
2011-09-11,38
2011-09-12,39
2011-09-13,40
2011-09-14,41
2011-09-15,42
2011-09-16,43
2011-09-17,44
2011-09-18,43
2011-09-19,43
2011-09-20,42
2011-09-21,42
2011-09-22,41
2011-09-23,41
2011-09-24,41
2011-09-25,40
2011-10-02,39
2011-10-03,41
2011-10-04,43
2011-10-05,45
2011-10-06,48
2011-10-07,50
2011-10-08,52
2011-10-09,52
2011-10-10,51
2011-10-11,51
2011-10-12,50
2011-10-13,50
2011-10-14,50
2011-10-15,50
2011-10-16,51
2011-10-17,52
2011-10-18,53
2011-10-19,54
2011-10-20,55
2011-10-21,56
2011-10-22,58
2011-10-23,59
2011-10-24,60
2011-10-25,61
2011-10-26,62
2011-10-27,63
2011-10-28,64
2011-10-29,66
2011-10-30,66
2011-10-31,66
2011-11-01,66
2011-11-02,67
2011-11-03,67
2011-11-04,67
2011-11-05,67
2011-11-06,64
2011-11-07,60
2011-11-08,57
2011-11-09,54
2011-11-10,51
