Date,CardioNet
2008-02-12,54
2008-02-13,55
2008-02-14,56
2008-02-15,57
2008-02-16,58
2008-02-17,58
2008-02-18,71
2008-02-19,60
2008-02-20,60
2008-02-21,61
2008-02-22,62
2008-02-23,63
2008-02-24,63
2008-02-25,65
2008-02-26,66
2008-02-27,67
2008-02-28,67
2008-02-29,68
2008-03-01,69
2008-03-02,67
2008-03-03,63
2008-03-04,60
2008-03-05,58
2008-03-06,55
2008-03-07,52
2008-03-08,50
2008-03-09,51
2008-03-10,52
2008-03-11,53
2008-03-12,54
2008-03-13,55
2008-03-14,56
2008-03-15,58
2008-03-16,64
2008-03-17,71
2008-03-18,77
2008-03-19,83
2008-03-20,90
2008-03-21,96
2008-03-22,103
2008-03-23,98
2008-03-24,90
2008-03-25,85
2008-03-26,81
2008-03-27,76
2008-03-28,71
2008-03-29,66
2008-03-30,62
2008-03-31,57
2008-04-01,53
2008-04-02,48
2008-04-03,44
2008-04-04,40
2008-04-05,36
2008-04-06,37
2008-04-07,38
2008-04-08,40
2008-04-09,41
2008-04-10,43
2008-04-11,44
2008-04-12,46
2008-04-13,46
2008-04-14,46
2008-04-15,46
2008-04-16,46
2008-04-17,46
2008-04-18,46
2008-04-19,47
2008-04-20,47
2008-04-21,47
2008-04-22,47
2008-04-23,47
2008-04-24,47
2008-04-25,47
2008-04-26,47
2008-04-27,47
2008-05-04,49
2008-05-05,47
2008-05-06,45
2008-05-07,42
2008-05-08,40
2008-05-09,38
2008-05-10,36
2008-05-11,36
2008-05-12,44
2008-05-13,36
2008-05-14,36
2008-05-15,36
2008-05-16,36
2008-05-17,36
2008-05-18,36
2008-05-19,36
2008-05-20,36
2008-05-21,36
2008-05-22,36
2008-05-23,36
2008-05-24,36
2008-05-25,36
2008-05-26,36
2008-05-27,36
2008-05-28,36
2008-05-29,36
2008-05-30,36
2008-05-31,36
2008-06-01,37
2008-06-02,38
2008-06-03,39
2008-06-04,40
2008-06-05,41
2008-06-06,42
2008-06-07,43
2008-06-08,44
2008-06-09,45
2008-06-10,46
2008-06-11,47
2008-06-12,48
2008-06-13,49
2008-06-14,50
2008-06-15,51
2008-06-16,52
2008-06-17,53
2008-06-18,54
2008-06-19,55
2008-06-20,56
2008-06-21,58
2008-06-22,56
2008-06-23,55
2008-06-24,54
2008-06-25,52
2008-06-26,51
2008-06-27,50
2008-06-28,49
2008-06-29,49
2008-06-30,49
2008-07-01,49
2008-07-02,49
2008-07-03,49
2008-07-04,49
2008-07-05,49
2008-07-06,48
2008-07-07,47
2008-07-08,46
2008-07-09,46
2008-07-10,45
2008-07-11,44
2008-07-12,44
2008-07-13,44
2008-07-14,44
2008-07-15,44
2008-07-16,44
2008-07-17,44
2008-07-18,44
2008-07-19,44
2008-07-20,44
2008-07-21,45
2008-07-22,45
2008-07-23,45
2008-07-24,46
2008-07-25,47
2008-07-26,48
2008-07-27,46
2008-08-03,54
2008-08-04,51
2008-08-05,48
2008-08-06,45
2008-08-07,42
2008-08-08,39
2008-08-09,36
2008-08-10,36
2008-08-11,36
2008-08-12,36
2008-08-13,36
2008-08-14,36
2008-08-15,36
2008-08-16,37
2008-08-17,39
2008-08-18,43
2008-08-19,46
2008-08-20,48
2008-08-21,51
2008-08-22,54
2008-08-23,57
2008-08-24,57
2008-08-25,56
2008-08-26,56
2008-08-27,55
2008-08-28,55
2008-08-29,55
2008-08-30,55
2008-08-31,52
2008-09-01,49
2008-09-02,47
2008-09-03,44
2008-09-04,42
2008-09-05,39
2008-09-06,37
2008-09-07,38
2008-09-08,40
2008-09-09,42
2008-09-10,44
2008-09-11,45
2008-09-12,47
2008-09-13,49
2008-09-14,49
2008-09-15,49
2008-09-16,49
2008-09-17,49
2008-09-18,49
2008-09-19,49
2008-09-20,50
2008-09-21,50
2008-09-22,50
2008-09-23,50
2008-09-24,50
2008-09-25,50
2008-09-26,50
2008-09-27,51
2008-09-28,51
2008-09-29,52
2008-09-30,52
2008-10-01,52
2008-10-02,52
2008-10-03,52
2008-10-04,53
2008-10-05,54
2008-10-06,55
2008-10-07,56
2008-10-08,58
2008-10-09,59
2008-10-10,61
2008-10-11,63
2008-10-12,59
2008-10-13,56
2008-10-14,53
2008-10-15,50
2008-10-16,46
2008-10-17,43
2008-10-18,40
2008-10-19,38
2008-10-20,37
2008-10-21,35
2008-10-22,34
2008-10-23,32
2008-10-24,31
2008-10-25,30
2008-10-26,30
2008-11-02,30
2008-11-03,30
2008-11-04,30
2008-11-05,31
2008-11-06,31
2008-11-07,31
2008-11-08,32
2008-11-09,34
2008-11-10,36
2008-11-11,39
2008-11-12,41
2008-11-13,44
2008-11-14,46
2008-11-15,49
2008-11-16,51
2008-11-17,54
2008-11-18,56
2008-11-19,59
2008-11-20,61
2008-11-21,64
2008-11-22,66
2008-11-23,62
2008-11-24,58
2008-11-25,54
2008-11-26,50
2008-11-27,46
2008-11-28,42
2008-11-29,39
2008-11-30,39
2008-12-01,39
2008-12-02,39
2008-12-03,39
2008-12-04,39
2008-12-05,39
2008-12-06,39
2008-12-07,38
2008-12-08,37
2008-12-09,36
2008-12-10,35
2008-12-11,34
2008-12-12,33
2008-12-13,33
2008-12-14,33
2008-12-15,33
2008-12-16,33
2008-12-17,33
2008-12-18,33
2008-12-19,33
2008-12-20,33
2008-12-21,33
2008-12-22,33
2008-12-23,33
2008-12-24,33
2008-12-25,33
2008-12-26,33
2008-12-27,34
2008-12-28,34
2008-12-29,34
2008-12-30,34
2008-12-31,34
2009-01-01,34
2009-01-02,34
2009-01-03,34
2009-01-04,34
2009-01-05,34
2009-01-06,34
2009-01-07,34
2009-01-08,34
2009-01-09,34
2009-01-10,35
2009-01-11,35
2009-01-12,35
2009-01-13,35
2009-01-14,36
2009-01-15,36
2009-01-16,36
2009-01-17,37
2009-01-18,38
2009-01-19,39
2009-01-20,40
2009-01-21,41
2009-01-22,42
2009-01-23,44
2009-01-24,45
2009-01-25,45
