Date,General Motors Company
2010-02-13,89
2010-02-14,84
2010-02-15,79
2010-02-16,75
2010-02-17,70
2010-02-18,65
2010-02-19,60
2010-02-20,56
2010-02-21,57
2010-02-22,59
2010-02-23,60
2010-02-24,62
2010-02-25,63
2010-02-26,65
2010-02-27,67
2010-02-28,67
2010-03-01,67
2010-03-02,67
2010-03-03,68
2010-03-04,68
2010-03-05,68
2010-03-06,69
2010-03-07,68
2010-03-08,69
2010-03-09,68
2010-03-10,68
2010-03-11,68
2010-03-12,68
2010-03-13,67
2010-03-14,66
2010-03-15,63
2010-03-16,61
2010-03-17,59
2010-03-18,57
2010-03-19,55
2010-03-20,54
2010-03-21,54
2010-03-22,55
2010-03-23,56
2010-03-24,56
2010-03-25,57
2010-03-26,58
2010-03-27,59
2010-03-28,62
2010-05-02,93
2010-05-03,88
2010-05-04,81
2010-05-05,75
2010-05-06,69
2010-05-07,62
2010-05-08,56
2010-05-09,52
2010-05-10,47
2010-05-11,43
2010-05-12,38
2010-05-13,34
2010-05-14,30
2010-05-15,26
2010-05-16,29
2010-05-17,33
2010-05-18,37
2010-05-19,40
2010-05-20,44
2010-05-21,48
2010-05-22,52
2010-05-23,50
2010-05-24,48
2010-05-25,46
2010-05-26,44
2010-05-27,42
2010-05-28,41
2010-05-29,39
2010-05-30,38
2010-05-31,37
2010-06-01,37
2010-06-02,36
2010-06-03,36
2010-06-04,35
2010-06-05,35
2010-06-06,36
2010-06-07,37
2010-06-08,39
2010-06-09,40
2010-06-10,42
2010-06-11,43
2010-06-12,45
2010-06-13,46
2010-06-14,47
2010-06-15,48
2010-06-16,49
2010-06-17,50
2010-06-18,51
2010-06-19,52
2010-06-20,50
2010-06-21,47
2010-06-22,44
2010-06-23,42
2010-06-24,39
2010-06-25,37
2010-06-26,35
2010-06-27,34
2010-06-28,34
2010-06-29,34
2010-06-30,33
2010-07-01,33
2010-07-02,33
2010-07-03,33
2010-07-04,33
2010-07-05,34
2010-07-06,35
2010-07-07,36
2010-07-08,36
2010-07-09,37
2010-07-10,38
2010-07-11,36
2010-07-12,34
2010-07-13,32
2010-07-14,30
2010-07-15,28
2010-07-16,26
2010-07-17,25
2010-07-18,25
2010-07-19,26
2010-07-20,27
2010-07-21,28
2010-07-22,29
2010-07-23,30
2010-07-24,31
2010-07-25,34
2010-08-01,52
2010-08-02,51
2010-08-03,50
2010-08-04,50
2010-08-05,49
2010-08-06,48
2010-08-07,48
2010-08-08,47
2010-08-09,47
2010-08-10,46
2010-08-11,46
2010-08-12,45
2010-08-13,45
2010-08-14,45
2010-08-15,46
2010-08-16,48
2010-08-17,50
2010-08-18,51
2010-08-19,53
2010-08-20,55
2010-08-21,57
2010-08-22,55
2010-08-23,55
2010-08-24,54
2010-08-25,53
2010-08-26,52
2010-08-27,51
2010-08-28,50
2010-08-29,48
2010-08-30,45
2010-08-31,44
2010-09-01,42
2010-09-02,41
2010-09-03,39
2010-09-04,38
2010-09-05,37
2010-09-06,37
2010-09-07,37
2010-09-08,37
2010-09-09,37
2010-09-10,37
2010-09-11,37
2010-09-12,36
2010-09-13,35
2010-09-14,35
2010-09-15,34
2010-09-16,33
2010-09-17,32
2010-09-18,32
2010-09-19,31
2010-09-20,30
2010-09-21,30
2010-09-22,29
2010-09-23,29
2010-09-24,28
2010-09-25,28
2010-09-26,30
2010-09-27,32
2010-09-28,34
2010-09-29,37
2010-09-30,39
2010-10-01,41
2010-10-02,44
2010-10-03,45
2010-10-04,47
2010-10-05,49
2010-10-06,51
2010-10-07,53
2010-10-08,54
2010-10-09,56
2010-10-10,54
2010-10-11,51
2010-10-12,48
2010-10-13,46
2010-10-14,43
2010-10-15,41
2010-10-16,39
2010-10-17,41
2010-10-18,44
2010-10-19,47
2010-10-20,49
2010-10-21,52
2010-10-22,55
2010-10-23,58
2010-10-24,57
2010-10-25,56
2010-10-26,55
2010-10-27,54
2010-10-28,53
2010-10-29,52
2010-10-30,52
2010-10-31,53
2010-11-07,58
2010-11-08,54
2010-11-09,51
2010-11-10,47
2010-11-11,44
2010-11-12,40
2010-11-13,37
2010-11-14,41
2010-11-15,45
2010-11-16,50
2010-11-17,54
2010-11-18,58
2010-11-19,63
2010-11-20,67
2010-11-21,66
2010-11-22,65
2010-11-23,64
2010-11-24,63
2010-11-25,63
2010-11-26,62
2010-11-27,61
2010-11-28,59
2010-11-29,56
2010-11-30,54
2010-12-01,51
2010-12-02,49
2010-12-03,46
2010-12-04,44
2010-12-05,43
2010-12-06,43
2010-12-07,43
2010-12-08,42
2010-12-09,42
2010-12-10,42
2010-12-11,42
2010-12-12,41
2010-12-13,42
2010-12-14,41
2010-12-15,41
2010-12-16,41
2010-12-17,41
2010-12-18,40
2010-12-19,39
2010-12-20,36
2010-12-21,35
2010-12-22,33
2010-12-23,32
2010-12-24,30
2010-12-25,29
2010-12-26,30
2010-12-27,31
2010-12-28,32
2010-12-29,33
2010-12-30,34
2010-12-31,35
2011-01-01,36
2011-01-02,36
2011-01-03,36
2011-01-04,36
2011-01-05,37
2011-01-06,37
2011-01-07,37
2011-01-08,38
2011-01-09,40
2011-01-10,44
2011-01-11,47
2011-01-12,50
2011-01-13,52
2011-01-14,55
2011-01-15,58
2011-01-16,55
2011-01-17,52
2011-01-18,49
2011-01-19,46
2011-01-20,43
2011-01-21,40
2011-01-22,37
2011-01-23,38
2011-01-24,39
2011-01-25,41
2011-01-26,42
2011-01-27,44
2011-01-28,45
2011-01-29,47
2011-01-30,48
2011-02-06,57
2011-02-07,55
2011-02-08,54
2011-02-09,52
2011-02-10,50
2011-02-11,49
2011-02-12,47
2011-02-13,47
2011-02-14,46
2011-02-15,46
2011-02-16,46
2011-02-17,46
2011-02-18,46
2011-02-19,46
2011-02-20,45
2011-02-21,44
2011-02-22,43
2011-02-23,43
2011-02-24,42
2011-02-25,41
2011-02-26,41
2011-02-27,40
2011-02-28,40
2011-03-01,40
2011-03-02,39
2011-03-03,39
2011-03-04,38
2011-03-05,38
2011-03-06,38
2011-03-07,39
2011-03-08,39
2011-03-09,39
2011-03-10,40
2011-03-11,40
2011-03-12,41
2011-03-13,39
2011-03-14,37
2011-03-15,35
2011-03-16,33
2011-03-17,31
2011-03-18,29
2011-03-19,28
2011-03-20,28
2011-03-21,29
2011-03-22,30
2011-03-23,30
2011-03-24,31
2011-03-25,32
2011-03-26,33
2011-03-27,32
2011-05-01,50
2011-05-02,51
2011-05-03,53
2011-05-04,54
2011-05-05,56
2011-05-06,57
2011-05-07,59
2011-05-08,57
2011-05-09,57
2011-05-10,56
2011-05-11,55
2011-05-12,53
2011-05-13,52
2011-05-14,51
2011-05-15,49
2011-05-16,45
2011-05-17,43
2011-05-18,40
2011-05-19,38
2011-05-20,35
2011-05-21,33
2011-05-22,31
2011-05-23,30
2011-05-24,29
2011-05-25,28
2011-05-26,27
2011-05-27,26
2011-05-28,25
2011-05-29,27
2011-05-30,29
2011-05-31,31
2011-06-01,34
2011-06-02,36
2011-06-03,38
2011-06-04,41
2011-06-05,38
2011-06-06,36
2011-06-07,34
2011-06-08,32
2011-06-09,30
2011-06-10,28
2011-06-11,26
2011-06-12,26
2011-06-13,26
2011-06-14,26
2011-06-15,26
2011-06-16,26
2011-06-17,26
2011-06-18,27
2011-06-19,28
2011-06-20,30
2011-06-21,32
2011-06-22,33
2011-06-23,35
2011-06-24,37
2011-06-25,39
2011-06-26,38
2011-06-27,37
2011-06-28,36
2011-06-29,35
2011-06-30,34
2011-07-01,33
2011-07-02,33
2011-07-03,34
2011-07-04,35
2011-07-05,36
2011-07-06,37
2011-07-07,39
2011-07-08,40
2011-07-09,41
2011-07-10,41
2011-07-11,40
2011-07-12,40
2011-07-13,40
2011-07-14,40
2011-07-15,40
2011-07-16,40
2011-07-17,39
2011-07-18,39
2011-07-19,39
2011-07-20,39
2011-07-21,39
2011-07-22,39
2011-07-23,39
2011-07-24,40
2011-07-25,42
2011-07-26,44
2011-07-27,46
2011-07-28,47
2011-07-29,49
2011-07-30,51
2011-07-31,48
2011-08-07,29
2011-08-08,30
2011-08-09,31
2011-08-10,32
2011-08-11,33
2011-08-12,34
2011-08-13,36
2011-08-14,35
2011-08-15,35
2011-08-16,34
2011-08-17,34
2011-08-18,34
2011-08-19,33
2011-08-20,33
2011-08-21,31
2011-08-22,28
2011-08-23,26
2011-08-24,24
2011-08-25,22
2011-08-26,20
2011-08-27,18
2011-08-28,18
2011-08-29,18
2011-08-30,18
2011-08-31,18
2011-09-01,18
2011-09-02,18
2011-09-03,19
2011-09-04,22
2011-09-05,26
2011-09-06,29
2011-09-07,33
2011-09-08,37
2011-09-09,40
2011-09-10,44
2011-09-11,42
2011-09-12,41
2011-09-13,40
2011-09-14,38
2011-09-15,37
2011-09-16,36
2011-09-17,35
2011-09-18,36
2011-09-19,38
2011-09-20,40
2011-09-21,42
2011-09-22,44
2011-09-23,46
2011-09-24,48
2011-09-25,45
2011-09-26,43
2011-09-27,41
2011-09-28,38
2011-09-29,36
2011-09-30,33
2011-10-01,31
2011-10-02,30
2011-10-03,29
2011-10-04,29
2011-10-05,28
2011-10-06,28
