Date,AutoTrader
2011-12-10,76
2011-12-11,75
2011-12-12,76
2011-12-13,74
2011-12-14,74
2011-12-15,73
2011-12-16,73
2011-12-17,73
2011-12-18,73
2011-12-19,75
2011-12-20,73
2011-12-21,74
2011-12-22,73
2011-12-23,73
2011-12-24,74
2011-12-25,76
2011-12-26,77
2011-12-27,78
2011-12-28,80
2011-12-29,82
2011-12-30,83
2011-12-31,85
2012-01-01,85
2012-01-02,86
2012-01-03,87
2012-01-04,86
2012-01-05,87
2012-01-06,87
2012-01-07,88
2012-01-08,88
2012-01-09,91
2012-01-10,89
2012-01-11,89
2012-01-12,90
2012-01-13,91
2012-01-14,91
2012-01-15,91
2012-01-16,95
2012-01-17,93
2012-01-18,94
2012-01-19,94
2012-01-20,95
2012-01-21,96
2012-01-22,96
2012-01-23,99
2012-01-24,96
2012-01-25,96
2012-01-26,96
2012-01-27,96
2012-01-28,97
2012-01-29,96
2012-01-30,100
2012-01-31,96
2012-02-01,95
2012-02-02,95
2012-02-03,95
2012-02-04,95
2012-02-05,95
2012-02-06,97
2012-02-07,95
2012-02-08,95
2012-02-09,95
2012-02-10,95
2012-02-11,95
2012-02-12,95
2012-02-13,99
2012-02-14,96
2012-02-15,97
2012-02-16,97
2012-02-17,98
2012-02-18,99
2012-02-19,99
2012-02-20,101
2012-02-21,99
2012-02-22,100
2012-02-23,100
2012-02-24,99
2012-02-25,100
2012-02-26,100
2012-02-27,101
2012-02-28,99
2012-02-29,99
2012-03-01,98
2012-03-02,98
2012-03-03,98
2012-03-04,97
2012-03-05,101
2012-03-06,96
2012-03-07,96
2012-03-08,96
2012-03-09,95
2012-03-10,95
2012-03-11,95
2012-03-12,96
2012-03-13,95
2012-03-14,95
2012-03-15,95
2012-03-16,95
2012-03-17,95
2012-03-18,95
2012-03-19,96
2012-03-20,94
2012-03-21,94
2012-03-22,94
2012-03-23,94
2012-03-24,94
2012-03-25,93
2012-03-26,95
2012-03-27,92
2012-03-28,91
2012-03-29,91
2012-03-30,90
2012-03-31,90
2012-04-01,90
