Date,Portola
2012-10-01,81
2012-10-02,84
2012-10-03,84
2012-10-04,87
2012-10-05,83
2012-10-06,85
2012-10-07,89
2012-10-08,83
2012-10-09,83
2012-10-10,82
2012-10-11,82
2012-10-12,81
2012-10-13,82
2012-10-14,82
2012-10-15,79
2012-10-16,82
2012-10-17,77
2012-10-18,77
2012-10-19,75
2012-10-20,75
2012-10-21,78
2012-10-22,79
2012-10-23,80
2012-10-24,82
2012-10-25,84
2012-10-26,89
2012-10-27,88
2012-10-28,85
2012-10-29,83
2012-10-30,77
2012-10-31,76
2012-11-01,70
2012-11-02,70
2012-11-03,68
2012-11-04,65
2012-11-05,67
2012-11-06,68
2012-11-07,70
2012-11-08,74
2012-11-09,73
2012-11-10,75
2012-11-11,75
2012-11-12,75
2012-11-13,75
2012-11-14,75
2012-11-15,80
2012-11-16,75
2012-11-17,78
2012-11-18,76
2012-11-19,70
2012-11-20,68
2012-11-21,66
2012-11-22,68
2012-11-23,61
2012-11-24,59
2012-11-25,61
2012-11-26,64
2012-11-27,66
2012-11-28,71
2012-11-29,71
2012-11-30,77
2012-12-01,81
2012-12-02,78
2012-12-03,79
2012-12-04,80
2012-12-05,81
2012-12-06,82
2012-12-07,86
2012-12-08,89
2012-12-09,83
2012-12-10,82
2012-12-11,82
2012-12-12,82
2012-12-13,81
2012-12-14,82
2012-12-15,80
2012-12-16,84
2012-12-17,76
2012-12-18,75
2012-12-19,78
2012-12-20,72
2012-12-21,70
2012-12-22,73
2012-12-23,69
2012-12-24,74
2012-12-25,69
2012-12-26,69
2012-12-27,69
2012-12-28,72
2012-12-29,69
2012-12-30,69
2012-12-31,72
2013-01-01,71
2013-01-02,75
2013-01-03,73
2013-01-04,74
2013-01-05,77
2013-01-06,80
2013-01-07,73
2013-01-08,73
2013-01-09,72
2013-01-10,72
2013-01-11,73
2013-01-12,71
2013-01-13,74
2013-01-14,76
2013-01-15,78
2013-01-16,80
2013-01-17,86
2013-01-18,87
2013-01-19,88
2013-01-20,86
2013-01-21,92
2013-01-22,82
2013-01-23,81
2013-01-24,78
2013-01-25,76
2013-01-26,76
2013-01-27,76
2013-01-28,74
2013-01-29,75
2013-01-30,75
