Date,Teavana
2010-10-09,25
2010-10-10,26
2010-10-11,27
2010-10-12,27
2010-10-13,27
2010-10-14,28
2010-10-15,30
2010-10-16,32
2010-10-17,29
2010-10-18,29
2010-10-19,29
2010-10-20,28
2010-10-21,29
2010-10-22,27
2010-10-23,27
2010-10-24,27
2010-10-25,30
2010-10-26,29
2010-10-27,32
2010-10-28,31
2010-10-29,31
2010-10-30,32
2010-10-31,32
2010-11-01,32
2010-11-02,34
2010-11-03,32
2010-11-04,32
2010-11-05,32
2010-11-06,34
2010-11-07,33
2010-11-08,35
2010-11-09,35
2010-11-10,34
2010-11-11,37
2010-11-12,35
2010-11-13,36
2010-11-14,37
2010-11-15,36
2010-11-16,37
2010-11-17,36
2010-11-18,37
2010-11-19,36
2010-11-20,39
2010-11-21,38
2010-11-22,41
2010-11-23,40
2010-11-24,41
2010-11-25,44
2010-11-26,43
2010-11-27,44
2010-11-28,45
2010-11-29,45
2010-11-30,47
2010-12-01,49
2010-12-02,47
2010-12-03,48
2010-12-04,49
2010-12-05,54
2010-12-06,53
2010-12-07,56
2010-12-08,57
2010-12-09,59
2010-12-10,61
2010-12-11,64
2010-12-12,64
2010-12-13,67
2010-12-14,66
2010-12-15,68
2010-12-16,67
2010-12-17,70
2010-12-18,69
2010-12-19,70
2010-12-20,75
2010-12-21,73
2010-12-22,74
2010-12-23,76
2010-12-24,80
2010-12-25,80
2010-12-26,78
2010-12-27,80
2010-12-28,78
2010-12-29,76
2010-12-30,76
2010-12-31,79
2011-01-01,74
2011-01-02,71
2011-01-03,69
2011-01-04,67
2011-01-05,67
2011-01-06,62
2011-01-07,60
2011-01-08,58
2011-01-09,57
2011-01-10,59
2011-01-11,55
2011-01-12,54
2011-01-13,54
2011-01-14,53
2011-01-15,52
2011-01-16,50
2011-01-17,51
2011-01-18,49
2011-01-19,49
2011-01-20,46
2011-01-21,46
2011-01-22,44
2011-01-23,43
2011-01-24,44
2011-01-25,44
2011-01-26,41
2011-01-27,40
2011-01-28,40
2011-01-29,39
2011-01-30,39
2011-01-31,39
2011-02-01,39
2011-02-02,41
2011-02-03,39
2011-02-04,40
2011-02-05,39
2011-02-06,41
2011-02-07,39
2011-02-08,38
2011-02-09,38
2011-02-10,41
2011-02-11,38
2011-02-12,38
2011-02-13,39
2011-02-14,38
2011-02-15,40
2011-02-16,40
2011-02-17,40
2011-02-18,43
2011-02-19,41
2011-02-20,41
2011-02-21,40
2011-02-22,41
2011-02-23,39
2011-02-24,38
2011-02-25,40
2011-02-26,38
2011-02-27,38
2011-02-28,36
2011-03-01,35
2011-03-02,34
2011-03-03,35
2011-03-04,32
2011-03-05,31
2011-03-06,31
2011-03-07,34
2011-03-08,32
2011-03-09,32
2011-03-10,34
2011-03-11,33
2011-03-12,35
2011-03-13,33
2011-03-14,36
2011-03-15,33
2011-03-16,32
2011-03-17,33
2011-03-18,32
2011-03-19,32
2011-03-20,32
2011-03-21,37
2011-03-22,33
2011-03-23,34
2011-03-24,35
2011-03-25,34
2011-03-26,38
2011-03-27,35
2011-03-28,37
2011-03-29,37
2011-03-30,38
2011-03-31,40
2011-04-01,40
2011-04-02,41
2011-04-03,40
2011-04-04,40
2011-04-05,41
2011-04-06,39
2011-04-07,39
2011-04-08,38
2011-04-09,38
2011-04-10,37
2011-04-11,39
2011-04-12,37
2011-04-13,39
2011-04-14,36
2011-04-15,37
2011-04-16,36
2011-04-17,36
2011-04-18,37
2011-04-19,37
2011-04-20,37
2011-04-21,39
2011-04-22,38
2011-04-23,39
2011-04-24,38
2011-04-25,38
2011-04-26,37
2011-04-27,36
2011-04-28,37
2011-04-29,37
2011-04-30,35
2011-05-01,35
2011-05-02,36
2011-05-03,37
2011-05-04,36
2011-05-05,39
2011-05-06,36
2011-05-07,37
2011-05-08,37
2011-05-09,37
2011-05-10,35
2011-05-11,36
2011-05-12,35
2011-05-13,34
2011-05-14,35
2011-05-15,34
2011-05-16,35
2011-05-17,34
2011-05-18,37
2011-05-19,35
2011-05-20,35
2011-05-21,36
2011-05-22,37
2011-05-23,34
2011-05-24,35
2011-05-25,33
2011-05-26,31
2011-05-27,30
2011-05-28,30
2011-05-29,30
2011-05-30,30
2011-05-31,30
2011-06-01,31
2011-06-02,32
2011-06-03,31
2011-06-04,35
2011-06-05,31
2011-06-06,31
2011-06-07,31
2011-06-08,30
2011-06-09,30
2011-06-10,30
2011-06-11,29
2011-06-12,29
2011-06-13,30
2011-06-14,31
2011-06-15,32
2011-06-16,34
2011-06-17,33
2011-06-18,34
2011-06-19,35
2011-06-20,34
2011-06-21,36
2011-06-22,36
2011-06-23,36
2011-06-24,37
2011-06-25,39
2011-06-26,36
2011-06-27,35
2011-06-28,34
2011-06-29,35
2011-06-30,32
2011-07-01,31
2011-07-02,31
2011-07-03,31
2011-07-04,32
2011-07-05,31
2011-07-06,31
2011-07-07,32
2011-07-08,31
2011-07-09,33
2011-07-10,32
2011-07-11,35
2011-07-12,32
2011-07-13,33
2011-07-14,34
2011-07-15,32
2011-07-16,33
2011-07-17,33
2011-07-18,36
2011-07-19,35
2011-07-20,35
2011-07-21,38
2011-07-22,37
2011-07-23,38
2011-07-24,40
2011-07-25,42
2011-07-26,47
2011-07-27,47
2011-07-28,50
2011-07-29,56
2011-07-30,60
2011-07-31,52
2011-08-01,50
2011-08-02,47
2011-08-03,43
2011-08-04,40
2011-08-05,37
2011-08-06,35
2011-08-07,35
2011-08-08,35
2011-08-09,35
2011-08-10,35
2011-08-11,38
2011-08-12,35
2011-08-13,35
2011-08-14,35
2011-08-15,37
2011-08-16,36
2011-08-17,36
2011-08-18,37
2011-08-19,38
2011-08-20,40
2011-08-21,37
2011-08-22,40
2011-08-23,35
2011-08-24,35
2011-08-25,33
2011-08-26,32
2011-08-27,31
2011-08-28,34
2011-08-29,32
2011-08-30,33
2011-08-31,33
2011-09-01,35
2011-09-02,35
2011-09-03,36
2011-09-04,35
2011-09-05,37
2011-09-06,35
2011-09-07,36
2011-09-08,35
2011-09-09,36
2011-09-10,35
2011-09-11,34
2011-09-12,34
2011-09-13,37
2011-09-14,33
2011-09-15,32
2011-09-16,36
2011-09-17,32
2011-09-18,32
2011-09-19,32
2011-09-20,33
2011-09-21,33
2011-09-22,36
2011-09-23,34
2011-09-24,34
2011-09-25,36
2011-09-26,34
2011-09-27,36
2011-09-28,34
2011-09-29,34
2011-09-30,36
2011-10-01,35
2011-10-02,36
2011-10-03,35
2011-10-04,33
2011-10-05,34
2011-10-06,32
2011-10-07,34
2011-10-08,33
2011-10-09,32
2011-10-10,34
2011-10-11,34
2011-10-12,34
2011-10-13,37
2011-10-14,35
2011-10-15,36
2011-10-16,38
2011-10-17,38
2011-10-18,39
2011-10-19,42
2011-10-20,42
2011-10-21,42
2011-10-22,48
2011-10-23,42
2011-10-24,45
2011-10-25,40
2011-10-26,38
2011-10-27,37
2011-10-28,35
2011-10-29,34
2011-10-30,34
2011-10-31,35
2011-11-01,38
2011-11-02,38
2011-11-03,38
2011-11-04,39
2011-11-05,40
2011-11-06,40
2011-11-07,41
2011-11-08,40
2011-11-09,42
2011-11-10,41
2011-11-11,42
2011-11-12,42
2011-11-13,42
2011-11-14,41
2011-11-15,44
2011-11-16,41
2011-11-17,41
2011-11-18,41
2011-11-19,42
2011-11-20,42
2011-11-21,44
2011-11-22,45
2011-11-23,48
2011-11-24,49
2011-11-25,50
2011-11-26,52
2011-11-27,54
2011-11-28,55
2011-11-29,57
2011-11-30,60
2011-12-01,60
2011-12-02,62
2011-12-03,64
2011-12-04,64
2011-12-05,65
2011-12-06,66
2011-12-07,67
2011-12-08,70
2011-12-09,70
2011-12-10,70
2011-12-11,71
2011-12-12,73
2011-12-13,76
2011-12-14,76
2011-12-15,77
2011-12-16,79
2011-12-17,81
2011-12-18,82
2011-12-19,84
2011-12-20,87
2011-12-21,87
2011-12-22,90
2011-12-23,91
2011-12-24,96
2011-12-25,94
2011-12-26,95
2011-12-27,100
2011-12-28,97
2011-12-29,104
2011-12-30,99
2011-12-31,100
2012-01-01,96
2012-01-02,94
2012-01-03,90
2012-01-04,87
2012-01-05,82
2012-01-06,81
2012-01-07,75
2012-01-08,75
2012-01-09,71
2012-01-10,73
2012-01-11,67
2012-01-12,68
2012-01-13,65
2012-01-14,62
2012-01-15,62
2012-01-16,63
2012-01-17,62
2012-01-18,68
2012-01-19,62
2012-01-20,62
2012-01-21,63
2012-01-22,63
2012-01-23,60
2012-01-24,59
2012-01-25,58
2012-01-26,55
2012-01-27,53
2012-01-28,52
2012-01-29,51
2012-01-30,53
2012-01-31,50
2012-02-01,50
2012-02-02,50
2012-02-03,52
2012-02-04,49
2012-02-05,48
2012-02-06,50
2012-02-07,48
2012-02-08,48
2012-02-09,50
2012-02-10,48
2012-02-11,48
2012-02-12,48
2012-02-13,49
2012-02-14,49
2012-02-15,49
2012-02-16,52
2012-02-17,50
2012-02-18,51
2012-02-19,51
2012-02-20,51
2012-02-21,55
2012-02-22,52
2012-02-23,55
2012-02-24,52
2012-02-25,53
2012-02-26,52
2012-02-27,54
2012-02-28,50
2012-02-29,50
2012-03-01,49
2012-03-02,49
2012-03-03,48
2012-03-04,47
