Date,Mascoma Corp
2012-09-08,55
2012-09-09,55
2012-09-10,56
2012-09-11,56
2012-09-12,57
2012-09-13,57
2012-09-14,58
2012-09-15,59
2012-09-16,60
2012-09-17,61
2012-09-18,62
2012-09-19,64
2012-09-20,65
2012-09-21,66
2012-09-22,68
2012-09-23,69
2012-09-24,71
2012-09-25,73
2012-09-26,74
2012-09-27,76
2012-09-28,78
2012-09-29,80
2012-09-30,79
2012-10-01,79
2012-10-02,79
2012-10-03,78
2012-10-04,78
2012-10-05,77
2012-10-06,77
2012-10-07,74
2012-10-08,71
2012-10-09,68
2012-10-10,66
2012-10-11,63
2012-10-12,60
2012-10-13,58
2012-10-14,59
2012-10-15,60
2012-10-16,61
2012-10-17,62
2012-10-18,63
2012-10-19,64
2012-10-20,66
2012-10-21,67
2012-10-22,69
2012-10-23,71
2012-10-24,72
2012-10-25,74
2012-10-26,76
2012-10-27,77
2012-10-28,75
2012-10-29,73
2012-10-30,71
2012-10-31,69
2012-11-01,67
2012-11-02,65
2012-11-03,63
2012-11-04,62
2012-11-05,62
2012-11-06,61
2012-11-07,61
2012-11-08,61
2012-11-09,60
2012-11-10,60
2012-11-11,60
2012-11-12,59
2012-11-13,59
2012-11-14,59
2012-11-15,59
2012-11-16,58
2012-11-17,58
2012-11-18,56
2012-11-19,54
2012-11-20,52
2012-11-21,50
2012-11-22,48
2012-11-23,46
2012-11-24,44
2012-11-25,45
2012-12-02,53
2012-12-03,55
2012-12-04,56
2012-12-05,58
2012-12-06,60
2012-12-07,61
2012-12-08,63
2012-12-09,62
2012-12-10,61
2012-12-11,61
2012-12-12,60
2012-12-13,60
2012-12-14,59
2012-12-15,59
2012-12-16,63
2012-12-17,67
2012-12-18,72
2012-12-19,76
2012-12-20,81
2012-12-21,85
2012-12-22,90
2012-12-23,87
2012-12-24,85
2012-12-25,83
2012-12-26,80
2012-12-27,78
2012-12-28,76
2012-12-29,74
2012-12-30,74
2012-12-31,75
2013-01-01,76
2013-01-02,76
2013-01-03,77
2013-01-04,77
2013-01-05,78
2013-01-06,78
2013-01-07,77
2013-01-08,77
2013-01-09,77
2013-01-10,77
2013-01-11,77
2013-01-12,77
2013-01-13,76
2013-01-14,75
2013-01-15,74
2013-01-16,73
2013-01-17,72
2013-01-18,71
2013-01-19,70
2013-01-20,67
2013-01-21,62
2013-01-22,59
2013-01-23,55
2013-01-24,52
2013-01-25,48
2013-01-26,45
2013-01-27,48
2013-01-28,52
2013-01-29,55
2013-01-30,59
2013-01-31,62
2013-02-01,66
2013-02-02,70
2013-02-03,69
2013-02-04,69
2013-02-05,69
2013-02-06,68
2013-02-07,68
2013-02-08,68
2013-02-09,68
2013-02-10,66
2013-02-11,64
2013-02-12,63
2013-02-13,61
2013-02-14,59
2013-02-15,58
2013-02-16,56
2013-02-17,57
2013-02-18,58
2013-02-19,59
2013-02-20,60
2013-02-21,61
2013-02-22,62
2013-02-23,63
2013-02-24,62
2013-03-03,56
2013-03-04,55
2013-03-05,55
2013-03-06,54
2013-03-07,54
2013-03-08,53
2013-03-09,53
2013-03-10,54
2013-03-11,56
2013-03-12,57
2013-03-13,59
2013-03-14,60
2013-03-15,62
2013-03-16,64
2013-03-17,64
2013-03-18,64
2013-03-19,64
2013-03-20,65
2013-03-21,65
2013-03-22,65
2013-03-23,66
2013-03-24,68
2013-03-25,70
2013-03-26,72
2013-03-27,74
2013-03-28,76
2013-03-29,78
2013-03-30,80
2013-03-31,77
2013-04-01,75
2013-04-02,73
2013-04-03,71
2013-04-04,68
2013-04-05,66
2013-04-06,64
2013-04-07,64
2013-04-08,63
2013-04-09,63
2013-04-10,62
2013-04-11,62
2013-04-12,62
2013-04-13,62
2013-04-14,61
2013-04-15,61
2013-04-16,61
2013-04-17,60
2013-04-18,60
2013-04-19,60
2013-04-20,60
2013-04-21,60
2013-04-22,61
2013-04-23,61
2013-04-24,62
2013-04-25,63
2013-04-26,63
2013-04-27,64
2013-04-28,65
2013-04-29,67
2013-04-30,69
2013-05-01,71
2013-05-02,72
2013-05-03,74
2013-05-04,76
2013-05-05,73
2013-05-06,70
2013-05-07,68
2013-05-08,65
2013-05-09,63
2013-05-10,60
2013-05-11,58
2013-05-12,59
2013-05-13,60
2013-05-14,61
2013-05-15,63
2013-05-16,64
2013-05-17,65
2013-05-18,67
2013-05-19,66
2013-05-20,66
2013-05-21,66
2013-05-22,66
2013-05-23,66
2013-05-24,66
2013-05-25,66
2013-05-26,65
2013-06-02,60
2013-06-03,61
2013-06-04,62
2013-06-05,63
2013-06-06,64
2013-06-07,65
2013-06-08,66
2013-06-09,63
2013-06-10,59
2013-06-11,56
2013-06-12,53
2013-06-13,50
2013-06-14,47
2013-06-15,44
2013-06-16,43
2013-06-17,42
