Date,Edgen
2011-06-11,29
2011-06-12,35
2011-06-13,41
2011-06-14,47
2011-06-15,53
2011-06-16,59
2011-06-17,65
2011-06-18,71
2011-06-19,69
2011-06-20,67
2011-06-21,65
2011-06-22,63
2011-06-23,61
2011-06-24,59
2011-06-25,57
2011-06-26,54
2011-06-27,50
2011-06-28,46
2011-06-29,43
2011-06-30,39
2011-07-01,36
2011-07-02,33
2011-07-03,33
2011-07-04,33
2011-07-05,33
2011-07-06,33
2011-07-07,33
2011-07-08,33
2011-07-09,33
2011-07-10,34
2011-07-11,35
2011-07-12,36
2011-07-13,37
2011-07-14,38
2011-07-15,39
2011-07-16,40
2011-07-17,39
2011-07-18,38
2011-07-19,37
2011-07-20,36
2011-07-21,35
2011-07-22,34
2011-07-23,33
2011-07-24,34
2011-07-25,36
2011-07-26,38
2011-07-27,39
2011-07-28,41
2011-07-29,43
2011-07-30,45
2011-07-31,45
2011-08-01,46
2011-08-02,46
2011-08-03,47
2011-08-04,47
2011-08-05,48
2011-08-06,48
2011-08-07,47
2011-08-08,45
2011-08-09,43
2011-08-10,42
2011-08-11,40
2011-08-12,39
2011-08-13,38
2011-08-14,39
2011-08-15,40
2011-08-16,41
2011-08-17,43
2011-08-18,44
2011-08-19,45
2011-08-20,47
2011-08-21,48
2011-08-22,49
2011-08-23,50
2011-08-24,51
2011-08-25,52
2011-08-26,53
2011-08-27,54
2011-08-28,52
2011-09-04,41
2011-09-05,40
2011-09-06,39
2011-09-07,38
2011-09-08,37
2011-09-09,36
2011-09-10,35
2011-09-11,35
2011-09-12,35
2011-09-13,35
2011-09-14,35
2011-09-15,35
2011-09-16,35
2011-09-17,36
2011-09-18,37
2011-09-19,38
2011-09-20,40
2011-09-21,41
2011-09-22,43
2011-09-23,44
2011-09-24,46
2011-09-25,49
2011-09-26,54
2011-09-27,57
2011-09-28,61
2011-09-29,65
2011-09-30,69
2011-10-01,73
2011-10-02,70
2011-10-03,65
2011-10-04,62
2011-10-05,58
2011-10-06,55
2011-10-07,51
2011-10-08,48
2011-10-09,45
2011-10-10,43
2011-10-11,40
2011-10-12,38
2011-10-13,35
2011-10-14,33
2011-10-15,31
2011-10-16,33
2011-10-17,35
2011-10-18,37
2011-10-19,39
2011-10-20,41
2011-10-21,43
2011-10-22,45
2011-10-23,43
2011-10-24,40
2011-10-25,38
2011-10-26,35
2011-10-27,33
2011-10-28,31
2011-10-29,29
2011-10-30,29
2011-10-31,29
2011-11-01,29
2011-11-02,29
2011-11-03,29
2011-11-04,29
2011-11-05,29
2011-11-06,29
2011-11-07,30
2011-11-08,31
2011-11-09,31
2011-11-10,32
2011-11-11,33
2011-11-12,34
2011-11-13,34
2011-11-14,35
2011-11-15,36
2011-11-16,37
2011-11-17,37
2011-11-18,38
2011-11-19,39
2011-11-20,39
2011-11-21,39
2011-11-22,40
2011-11-23,40
2011-11-24,41
2011-11-25,41
