Date,CyDex
2007-09-01,64
2007-09-02,63
2007-09-03,63
2007-09-04,62
2007-09-05,62
2007-09-06,62
2007-09-07,61
2007-09-08,61
2007-09-09,60
2007-09-10,60
2007-09-11,60
2007-09-12,59
2007-09-13,59
2007-09-14,58
2007-09-15,58
2007-09-16,58
2007-09-17,57
2007-09-18,57
2007-09-19,56
2007-09-20,56
2007-09-21,56
2007-09-22,55
2007-09-23,55
2007-09-24,54
2007-09-25,54
2007-09-26,54
2007-09-27,53
2007-09-28,53
2007-09-29,52
2007-09-30,52
2007-10-01,52
2007-10-02,52
2007-10-03,52
2007-10-04,52
2007-10-05,52
2007-10-06,52
2007-10-07,52
2007-10-08,52
2007-10-09,52
2007-10-10,52
2007-10-11,52
2007-10-12,52
2007-10-13,52
2007-10-14,52
2007-10-15,52
2007-10-16,52
2007-10-17,52
2007-10-18,52
2007-10-19,52
2007-10-20,52
2007-10-21,52
2007-10-22,52
2007-10-23,52
2007-10-24,52
2007-10-25,52
2007-10-26,52
2007-10-27,52
2007-10-28,52
2007-10-29,52
2007-10-30,52
2007-10-31,52
2007-11-01,52
2007-11-02,52
2007-11-03,52
2007-11-04,52
2007-11-05,52
2007-11-06,52
2007-11-07,52
2007-11-08,52
2007-11-09,52
2007-11-10,52
2007-11-11,52
2007-11-12,52
2007-11-13,52
2007-11-14,52
2007-11-15,52
2007-11-16,52
2007-11-17,52
2007-11-18,52
2007-11-19,52
2007-11-20,52
2007-11-21,52
2007-11-22,52
2007-11-23,52
2007-11-24,52
2007-11-25,52
2007-11-26,52
2007-11-27,52
2007-11-28,52
2007-11-29,52
2007-11-30,52
2007-12-01,52
2007-12-02,52
2007-12-03,52
2007-12-04,52
2007-12-05,52
2007-12-06,52
2007-12-07,52
2007-12-08,52
2007-12-09,52
2007-12-10,52
2007-12-11,52
2007-12-12,52
2007-12-13,52
2007-12-14,52
2007-12-15,52
2007-12-16,52
2007-12-17,52
2007-12-18,52
2007-12-19,52
2007-12-20,52
2007-12-21,52
2007-12-22,52
2007-12-23,52
2007-12-24,52
2007-12-25,52
2007-12-26,52
2007-12-27,52
2007-12-28,52
2007-12-29,52
2007-12-30,52
2007-12-31,52
2008-01-01,52
2008-01-02,52
2008-01-03,53
2008-01-04,54
2008-01-05,55
2008-01-06,55
2008-01-07,56
2008-01-08,57
2008-01-09,58
2008-01-10,58
2008-01-11,59
2008-01-12,60
2008-01-13,61
2008-01-14,62
2008-01-15,62
2008-01-16,63
2008-01-17,64
2008-01-18,65
2008-01-19,65
2008-01-20,66
2008-01-21,67
2008-01-22,68
2008-01-23,69
2008-01-24,69
2008-01-25,70
2008-01-26,71
2008-01-27,72
2008-01-28,72
2008-01-29,73
2008-01-30,74
2008-01-31,75
