Date,Polypore
2006-09-01,68
2006-09-02,69
2006-09-03,70
2006-09-04,71
2006-09-05,72
2006-09-06,73
2006-09-07,74
2006-09-08,75
2006-09-09,76
2006-09-10,77
2006-09-11,78
2006-09-12,79
2006-09-13,80
2006-09-14,81
2006-09-15,82
2006-09-16,84
2006-09-17,85
2006-09-18,86
2006-09-19,87
2006-09-20,88
2006-09-21,89
2006-09-22,90
2006-09-23,91
2006-09-24,92
2006-09-25,93
2006-09-26,94
2006-09-27,95
2006-09-28,96
2006-09-29,97
2006-09-30,98
2006-10-01,100
2006-10-02,97
2006-10-03,95
2006-10-04,93
2006-10-05,91
2006-10-06,89
2006-10-07,87
2006-10-08,84
2006-10-09,82
2006-10-10,80
2006-10-11,78
2006-10-12,76
2006-10-13,74
2006-10-14,71
2006-10-15,69
2006-10-16,67
2006-10-17,65
2006-10-18,63
2006-10-19,61
2006-10-20,58
2006-10-21,56
2006-10-22,54
2006-10-23,52
2006-10-24,50
2006-10-25,48
2006-10-26,45
2006-10-27,43
2006-10-28,41
2006-10-29,39
2006-10-30,37
2006-10-31,35
2006-11-01,33
2006-11-02,33
2006-11-03,33
2006-11-04,33
2006-11-05,33
2006-11-06,33
2006-11-07,33
2006-11-08,33
2006-11-09,33
2006-11-10,33
2006-11-11,33
2006-11-12,33
2006-11-13,33
2006-11-14,33
2006-11-15,33
2006-11-16,33
2006-11-17,33
2006-11-18,33
2006-11-19,33
2006-11-20,33
2006-11-21,33
2006-11-22,33
2006-11-23,33
2006-11-24,33
2006-11-25,33
2006-11-26,33
2006-11-27,33
2006-11-28,33
2006-11-29,33
2006-11-30,33
2006-12-01,34
2006-12-02,34
2006-12-03,34
2006-12-04,34
2006-12-05,34
2006-12-06,35
2006-12-07,35
2006-12-08,35
2006-12-09,35
2006-12-10,36
2006-12-11,36
2006-12-12,36
2006-12-13,36
2006-12-14,36
2006-12-15,37
2006-12-16,37
2006-12-17,37
2006-12-18,37
2006-12-19,38
2006-12-20,38
2006-12-21,38
2006-12-22,38
2006-12-23,38
2006-12-24,39
2006-12-25,39
2006-12-26,39
2006-12-27,39
2006-12-28,40
2006-12-29,40
2006-12-30,40
2006-12-31,40
2007-01-01,41
2007-01-02,41
2007-01-03,41
2007-01-04,41
2007-01-05,42
2007-01-06,42
2007-01-07,42
2007-01-08,42
2007-01-09,43
2007-01-10,43
2007-01-11,43
2007-01-12,43
2007-01-13,44
2007-01-14,44
2007-01-15,44
2007-01-16,44
2007-01-17,45
2007-01-18,45
2007-01-19,45
2007-01-20,45
2007-01-21,46
2007-01-22,46
2007-01-23,46
2007-01-24,46
2007-01-25,47
2007-01-26,47
2007-01-27,47
2007-01-28,47
2007-01-29,48
2007-01-30,48
2007-01-31,48
2007-02-01,49
2007-02-02,48
2007-02-03,48
2007-02-04,48
2007-02-05,48
2007-02-06,48
2007-02-07,48
2007-02-08,48
2007-02-09,47
2007-02-10,47
2007-02-11,47
2007-02-12,47
2007-02-13,47
2007-02-14,47
2007-02-15,47
2007-02-16,46
2007-02-17,46
2007-02-18,46
2007-02-19,46
2007-02-20,46
2007-02-21,46
2007-02-22,46
2007-02-23,45
2007-02-24,45
2007-02-25,45
2007-02-26,45
2007-02-27,45
2007-02-28,45
2007-03-01,45
2007-03-02,44
2007-03-03,44
2007-03-04,44
2007-03-05,44
2007-03-06,44
2007-03-07,43
2007-03-08,43
2007-03-09,43
2007-03-10,43
2007-03-11,43
2007-03-12,42
2007-03-13,42
2007-03-14,42
2007-03-15,42
2007-03-16,42
2007-03-17,41
2007-03-18,41
2007-03-19,41
2007-03-20,41
2007-03-21,41
2007-03-22,40
2007-03-23,40
2007-03-24,40
2007-03-25,40
2007-03-26,40
2007-03-27,39
2007-03-28,39
2007-03-29,39
2007-03-30,39
2007-03-31,39
2007-04-01,39
2007-04-02,38
2007-04-03,38
2007-04-04,38
2007-04-05,38
2007-04-06,38
2007-04-07,38
2007-04-08,38
2007-04-09,38
2007-04-10,38
2007-04-11,38
2007-04-12,38
2007-04-13,38
2007-04-14,38
2007-04-15,38
2007-04-16,38
2007-04-17,38
2007-04-18,38
2007-04-19,38
2007-04-20,38
2007-04-21,38
2007-04-22,38
2007-04-23,38
2007-04-24,38
2007-04-25,38
2007-04-26,38
2007-04-27,38
2007-04-28,38
2007-04-29,38
2007-04-30,38
2007-05-01,38
2007-05-02,39
2007-05-03,40
2007-05-04,41
2007-05-05,42
2007-05-06,43
2007-05-07,44
2007-05-08,45
2007-05-09,46
2007-05-10,47
2007-05-11,48
2007-05-12,49
2007-05-13,50
2007-05-14,51
2007-05-15,52
2007-05-16,53
2007-05-17,55
2007-05-18,56
2007-05-19,57
2007-05-20,58
2007-05-21,59
2007-05-22,60
2007-05-23,61
2007-05-24,62
2007-05-25,63
2007-05-26,64
2007-05-27,65
2007-05-28,66
2007-05-29,67
2007-05-30,68
2007-05-31,69
2007-06-01,71
2007-06-02,70
2007-06-03,69
2007-06-04,69
2007-06-05,68
2007-06-06,67
2007-06-07,67
2007-06-08,66
2007-06-09,65
2007-06-10,65
2007-06-11,64
2007-06-12,64
2007-06-13,63
2007-06-14,62
2007-06-15,62
2007-06-16,61
2007-06-17,60
2007-06-18,60
2007-06-19,59
2007-06-20,58
2007-06-21,58
2007-06-22,57
2007-06-23,57
2007-06-24,56
2007-06-25,55
2007-06-26,55
2007-06-27,54
2007-06-28,53
2007-06-29,53
2007-06-30,52
2007-07-01,52
2007-07-02,52
2007-07-03,52
2007-07-04,53
2007-07-05,53
2007-07-06,53
2007-07-07,54
2007-07-08,54
2007-07-09,54
2007-07-10,55
2007-07-11,55
2007-07-12,55
2007-07-13,56
2007-07-14,56
2007-07-15,56
2007-07-16,57
2007-07-17,57
2007-07-18,58
2007-07-19,58
2007-07-20,58
2007-07-21,59
2007-07-22,59
2007-07-23,59
2007-07-24,60
2007-07-25,60
2007-07-26,60
2007-07-27,61
2007-07-28,61
2007-07-29,61
2007-07-30,62
2007-07-31,62
2007-08-01,63
2007-08-02,62
2007-08-03,62
2007-08-04,62
2007-08-05,62
2007-08-06,62
2007-08-07,62
2007-08-08,62
2007-08-09,62
2007-08-10,62
2007-08-11,62
2007-08-12,62
2007-08-13,62
2007-08-14,62
2007-08-15,62
2007-08-16,62
2007-08-17,61
2007-08-18,61
2007-08-19,61
2007-08-20,61
2007-08-21,61
2007-08-22,61
2007-08-23,61
2007-08-24,61
2007-08-25,61
2007-08-26,61
2007-08-27,61
2007-08-28,61
2007-08-29,61
2007-08-30,61
2007-08-31,61
2007-09-01,61
2007-09-02,60
2007-09-03,60
2007-09-04,59
2007-09-05,59
2007-09-06,59
2007-09-07,58
2007-09-08,58
2007-09-09,57
2007-09-10,57
2007-09-11,57
2007-09-12,56
2007-09-13,56
2007-09-14,55
2007-09-15,55
2007-09-16,55
2007-09-17,54
2007-09-18,54
2007-09-19,53
2007-09-20,53
2007-09-21,53
2007-09-22,52
2007-09-23,52
2007-09-24,51
2007-09-25,51
2007-09-26,51
2007-09-27,50
2007-09-28,50
2007-09-29,49
2007-09-30,49
2007-10-01,49
2007-10-02,49
2007-10-03,50
2007-10-04,50
2007-10-05,51
2007-10-06,51
2007-10-07,52
2007-10-08,53
2007-10-09,53
2007-10-10,54
2007-10-11,54
2007-10-12,55
