Date,HomeStreet
2010-11-07,64
2010-11-08,63
2010-11-09,62
2010-11-10,62
2010-11-11,61
2010-11-12,60
2010-11-13,60
2010-11-14,59
2010-11-15,59
2010-11-16,59
2010-11-17,58
2010-11-18,58
2010-11-19,57
2010-11-20,57
2010-11-21,54
2010-11-22,51
2010-11-23,48
2010-11-24,45
2010-11-25,42
2010-11-26,39
2010-11-27,37
2010-11-28,39
2010-11-29,42
2010-11-30,45
2010-12-01,48
2010-12-02,51
2010-12-03,54
2010-12-04,57
2010-12-05,56
2010-12-06,57
2010-12-07,57
2010-12-08,57
2010-12-09,56
2010-12-10,56
2010-12-11,56
2010-12-12,55
2010-12-13,52
2010-12-14,51
2010-12-15,49
2010-12-16,48
2010-12-17,46
2010-12-18,45
2010-12-19,46
2010-12-20,47
2010-12-21,48
2010-12-22,49
2010-12-23,50
2010-12-24,52
2010-12-25,53
2010-12-26,52
2010-12-27,51
2010-12-28,51
2010-12-29,50
2010-12-30,50
2010-12-31,49
2011-01-01,49
2011-01-02,52
2011-01-03,56
2011-01-04,59
2011-01-05,63
2011-01-06,66
2011-01-07,70
2011-01-08,73
2011-01-09,71
2011-01-10,67
2011-01-11,65
2011-01-12,62
2011-01-13,60
2011-01-14,57
2011-01-15,55
2011-01-16,53
2011-01-17,52
2011-01-18,51
2011-01-19,50
2011-01-20,49
2011-01-21,48
2011-01-22,47
2011-01-23,48
2011-01-24,50
2011-01-25,51
2011-01-26,53
2011-01-27,54
2011-01-28,56
2011-01-29,58
2011-01-30,57
2011-02-06,54
2011-02-07,52
2011-02-08,50
2011-02-09,48
2011-02-10,46
2011-02-11,44
2011-02-12,43
2011-02-13,44
2011-02-14,45
2011-02-15,46
2011-02-16,47
2011-02-17,48
2011-02-18,49
2011-02-19,50
2011-02-20,50
2011-02-21,50
2011-02-22,50
2011-02-23,50
2011-02-24,50
2011-02-25,50
2011-02-26,51
2011-02-27,51
2011-02-28,51
2011-03-01,51
2011-03-02,51
2011-03-03,51
2011-03-04,51
2011-03-05,51
2011-03-06,51
2011-03-07,52
2011-03-08,52
2011-03-09,53
2011-03-10,53
2011-03-11,54
2011-03-12,55
2011-03-13,56
2011-03-14,57
2011-03-15,58
2011-03-16,60
2011-03-17,61
2011-03-18,62
2011-03-19,64
2011-03-20,61
2011-03-21,58
2011-03-22,55
2011-03-23,53
2011-03-24,50
2011-03-25,47
2011-03-26,45
2011-03-27,47
2011-05-01,47
2011-05-02,47
2011-05-03,47
2011-05-04,48
2011-05-05,48
2011-05-06,48
2011-05-07,49
2011-05-08,51
2011-05-09,54
2011-05-10,56
2011-05-11,59
2011-05-12,61
2011-05-13,64
2011-05-14,67
2011-05-15,66
2011-05-16,67
2011-05-17,67
2011-05-18,67
2011-05-19,67
2011-05-20,66
2011-05-21,66
2011-05-22,63
2011-05-23,59
2011-05-24,56
2011-05-25,53
2011-05-26,50
2011-05-27,47
2011-05-28,44
2011-05-29,45
2011-05-30,47
2011-05-31,49
2011-06-01,50
2011-06-02,52
2011-06-03,54
2011-06-04,56
2011-06-05,58
2011-06-06,60
2011-06-07,62
2011-06-08,64
2011-06-09,66
2011-06-10,68
2011-06-11,70
2011-06-12,68
2011-06-13,66
2011-06-14,64
2011-06-15,62
2011-06-16,60
2011-06-17,58
2011-06-18,56
2011-06-19,56
2011-06-20,55
2011-06-21,55
2011-06-22,55
2011-06-23,55
2011-06-24,55
2011-06-25,55
2011-06-26,56
2011-06-27,57
2011-06-28,58
2011-06-29,59
2011-06-30,60
2011-07-01,61
2011-07-02,62
2011-07-03,62
2011-07-04,61
2011-07-05,61
2011-07-06,61
2011-07-07,61
2011-07-08,61
2011-07-09,61
2011-07-10,61
2011-07-11,62
2011-07-12,63
2011-07-13,64
2011-07-14,64
2011-07-15,65
2011-07-16,66
2011-07-17,65
2011-07-18,63
2011-07-19,62
2011-07-20,60
2011-07-21,59
2011-07-22,58
2011-07-23,57
2011-07-24,59
2011-07-25,61
2011-07-26,64
2011-07-27,66
2011-07-28,69
2011-07-29,71
2011-07-30,74
2011-07-31,73
2011-08-01,73
2011-08-02,72
2011-08-03,72
2011-08-04,71
2011-08-05,71
2011-08-06,71
2011-08-07,73
2011-08-08,76
2011-08-09,79
2011-08-10,82
2011-08-11,85
2011-08-12,93
2011-08-13,91
2011-08-14,85
2011-08-15,79
2011-08-16,73
2011-08-17,67
2011-08-18,61
2011-08-19,55
2011-08-20,49
2011-08-21,51
2011-08-22,53
2011-08-23,55
2011-08-24,57
2011-08-25,59
2011-08-26,61
2011-08-27,63
2011-08-28,61
2011-08-29,60
2011-08-30,59
2011-08-31,57
2011-09-01,56
2011-09-02,55
2011-09-03,54
2011-09-04,53
2011-09-05,52
2011-09-06,52
2011-09-07,51
2011-09-08,51
2011-09-09,50
2011-09-10,50
2011-09-11,50
2011-09-12,51
2011-09-13,52
2011-09-14,52
2011-09-15,53
2011-09-16,54
2011-09-17,55
2011-09-18,54
2011-09-19,53
2011-09-20,53
2011-09-21,52
2011-09-22,52
2011-09-23,51
2011-09-24,51
2011-09-25,53
2011-09-26,56
2011-09-27,58
2011-09-28,61
2011-09-29,63
2011-09-30,66
2011-10-01,69
2011-10-02,70
2011-10-03,71
2011-10-04,72
2011-10-05,73
2011-10-06,74
2011-10-07,77
2011-10-08,76
2011-10-09,71
2011-10-10,67
2011-10-11,63
2011-10-12,59
2011-10-13,55
2011-10-14,51
2011-10-15,47
2011-10-16,48
2011-10-17,50
2011-10-18,52
2011-10-19,53
2011-10-20,54
2011-10-21,56
2011-10-22,58
2011-10-23,59
2011-10-24,61
2011-10-25,63
2011-10-26,64
2011-10-27,66
2011-10-28,68
2011-10-29,70
2011-10-30,69
2011-10-31,68
2011-11-06,61
2011-11-07,59
2011-11-08,57
2011-11-09,55
2011-11-10,53
2011-11-11,51
2011-11-12,50
2011-11-13,52
2011-11-14,54
2011-11-15,56
2011-11-16,58
2011-11-17,61
2011-11-18,63
2011-11-19,65
2011-11-20,63
2011-11-21,61
2011-11-22,59
2011-11-23,57
2011-11-24,55
2011-11-25,53
2011-11-26,52
2011-11-27,53
2011-11-28,54
2011-11-29,56
2011-11-30,57
