Date,Bravo Brio Restaurant
2010-01-01,64
2010-01-02,64
2010-01-03,64
2010-01-04,65
2010-01-05,65
2010-01-06,66
2010-01-07,66
2010-01-08,67
2010-01-09,67
2010-01-10,68
2010-01-11,68
2010-01-12,69
2010-01-13,69
2010-01-14,70
2010-01-15,70
2010-01-16,71
2010-01-17,71
2010-01-18,72
2010-01-19,72
2010-01-20,73
2010-01-21,73
2010-01-22,74
2010-01-23,74
2010-01-24,75
2010-01-25,75
2010-01-26,76
2010-01-27,76
2010-01-28,77
2010-01-29,77
2010-01-30,78
2010-01-31,78
2010-02-01,79
2010-02-02,79
2010-02-03,80
2010-02-04,80
2010-02-05,81
2010-02-06,81
2010-02-07,82
2010-02-08,82
2010-02-09,83
2010-02-10,83
2010-02-11,84
2010-02-12,84
2010-02-13,85
2010-02-14,85
2010-02-15,86
2010-02-16,87
2010-02-17,87
2010-02-18,88
2010-02-19,88
2010-02-20,89
2010-02-21,89
2010-02-22,90
2010-02-23,90
2010-02-24,91
2010-02-25,91
2010-02-26,92
2010-02-27,92
2010-02-28,93
2010-03-01,94
2010-03-02,93
2010-03-03,92
2010-03-04,91
2010-03-05,90
2010-03-06,89
2010-03-07,88
2010-03-08,87
2010-03-09,86
2010-03-10,85
2010-03-11,84
2010-03-12,83
2010-03-13,82
2010-03-14,81
2010-03-15,80
2010-03-16,79
2010-03-17,78
2010-03-18,77
2010-03-19,76
2010-03-20,75
2010-03-21,74
2010-03-22,73
2010-03-23,72
2010-03-24,71
2010-03-25,70
2010-03-26,69
2010-03-27,68
2010-03-28,67
2010-03-29,66
2010-03-30,65
2010-03-31,64
2010-04-01,63
2010-04-02,63
2010-04-03,63
2010-04-04,64
2010-04-05,64
2010-04-06,64
2010-04-07,65
2010-04-08,65
2010-04-09,65
2010-04-10,66
2010-04-11,66
2010-04-12,67
2010-04-13,67
2010-04-14,67
2010-04-15,68
2010-04-16,68
2010-04-17,68
2010-04-18,69
2010-04-19,69
2010-04-20,69
2010-04-21,70
2010-04-22,70
2010-04-23,71
2010-04-24,71
2010-04-25,71
2010-04-26,72
2010-04-27,72
2010-04-28,72
2010-04-29,73
2010-04-30,73
2010-05-01,74
2010-05-02,74
2010-05-03,74
2010-05-04,75
2010-05-05,75
2010-05-06,75
2010-05-07,76
2010-05-08,76
2010-05-09,77
2010-05-10,77
2010-05-11,77
2010-05-12,78
2010-05-13,78
2010-05-14,79
2010-05-15,79
2010-05-16,79
2010-05-17,80
2010-05-18,80
2010-05-19,80
2010-05-20,81
2010-05-21,81
2010-05-22,82
2010-05-23,82
2010-05-24,82
2010-05-25,83
2010-05-26,83
2010-05-27,84
2010-05-28,84
2010-05-29,84
2010-05-30,85
2010-05-31,85
2010-06-01,86
2010-06-02,86
2010-06-03,86
2010-06-04,87
2010-06-05,87
2010-06-06,88
2010-06-07,88
2010-06-08,88
2010-06-09,89
2010-06-10,89
2010-06-11,90
2010-06-12,90
2010-06-13,90
2010-06-14,91
2010-06-15,91
2010-06-16,92
2010-06-17,92
2010-06-18,92
2010-06-19,93
2010-06-20,93
2010-06-21,94
2010-06-22,94
2010-06-23,94
2010-06-24,95
2010-06-25,95
2010-06-26,96
2010-06-27,96
2010-06-28,96
2010-06-29,97
2010-06-30,97
2010-07-01,98
2010-07-02,96
2010-07-03,95
2010-07-04,94
2010-07-05,92
2010-07-06,91
2010-07-07,90
2010-07-08,88
2010-07-09,87
2010-07-10,86
2010-07-11,85
2010-07-12,83
2010-07-13,82
2010-07-14,81
2010-07-15,79
2010-07-16,78
2010-07-17,77
2010-07-18,76
2010-07-19,74
2010-07-20,73
2010-07-21,72
2010-07-22,70
2010-07-23,69
2010-07-24,68
