Date,Generac
2009-04-11,50
2009-04-12,50
2009-04-13,52
2009-04-14,52
2009-04-15,54
2009-04-16,56
2009-04-17,64
2009-04-18,58
2009-04-19,63
2009-04-20,60
2009-04-21,61
2009-04-22,62
2009-04-23,66
2009-04-24,64
2009-04-25,71
2009-04-26,66
2009-04-27,67
2009-04-28,68
2009-04-29,70
2009-04-30,69
2009-05-01,73
2009-05-02,71
2009-05-03,72
2009-05-04,71
2009-05-05,70
2009-05-06,70
2009-05-07,73
2009-05-08,70
2009-05-09,71
2009-05-10,69
2009-05-11,68
2009-05-12,70
2009-05-13,69
2009-05-14,68
2009-05-15,67
2009-05-16,66
2009-05-17,70
2009-05-18,63
2009-05-19,61
2009-05-20,62
2009-05-21,65
2009-05-22,57
2009-05-23,56
2009-05-24,57
2009-05-25,62
2009-05-26,56
2009-05-27,57
2009-05-28,59
2009-05-29,57
2009-05-30,58
2009-05-31,65
2009-06-01,60
2009-06-02,62
2009-06-03,66
2009-06-04,68
2009-06-05,66
2009-06-06,72
2009-06-07,68
2009-06-08,66
2009-06-09,66
2009-06-10,64
2009-06-11,65
2009-06-12,66
2009-06-13,62
2009-06-14,64
2009-06-15,64
2009-06-16,65
2009-06-17,68
2009-06-18,67
2009-06-19,73
2009-06-20,70
2009-06-21,71
2009-06-22,72
2009-06-23,77
2009-06-24,74
2009-06-25,75
2009-06-26,81
2009-06-27,78
2009-06-28,79
2009-06-29,76
2009-06-30,75
2009-07-01,75
2009-07-02,77
2009-07-03,76
2009-07-04,77
2009-07-05,71
2009-07-06,69
2009-07-07,67
2009-07-08,66
2009-07-09,63
2009-07-10,61
2009-07-11,60
2009-07-12,60
2009-07-13,62
2009-07-14,64
2009-07-15,71
2009-07-16,69
2009-07-17,70
2009-07-18,76
2009-07-19,73
2009-07-20,70
2009-07-21,70
2009-07-22,70
2009-07-23,69
2009-07-24,68
2009-07-25,72
2009-07-26,71
2009-07-27,70
2009-07-28,76
2009-07-29,73
2009-07-30,75
2009-07-31,84
2009-08-01,78
2009-08-02,82
2009-08-03,73
2009-08-04,71
2009-08-05,71
2009-08-06,73
2009-08-07,65
2009-08-08,66
2009-08-09,69
2009-08-10,67
2009-08-11,72
2009-08-12,71
2009-08-13,73
2009-08-14,75
2009-08-15,85
2009-08-16,78
2009-08-17,80
2009-08-18,79
2009-08-19,87
2009-08-20,80
2009-08-21,82
2009-08-22,85
2009-08-23,85
2009-08-24,77
2009-08-25,76
2009-08-26,79
2009-08-27,73
2009-08-28,71
2009-08-29,70
2009-08-30,72
2009-08-31,72
2009-09-01,79
2009-09-02,76
2009-09-03,77
2009-09-04,78
2009-09-05,87
2009-09-06,78
2009-09-07,76
2009-09-08,74
2009-09-09,73
2009-09-10,71
2009-09-11,72
2009-09-12,68
2009-09-13,72
2009-09-14,69
2009-09-15,70
2009-09-16,71
2009-09-17,76
2009-09-18,73
2009-09-19,74
2009-09-20,78
2009-09-21,70
2009-09-22,68
2009-09-23,66
2009-09-24,64
2009-09-25,67
2009-09-26,61
2009-09-27,64
2009-09-28,59
2009-09-29,58
2009-09-30,63
2009-10-01,57
2009-10-02,56
2009-10-03,62
2009-10-04,56
2009-10-05,57
2009-10-06,57
2009-10-07,58
2009-10-08,58
2009-10-09,59
2009-10-10,67
2009-10-11,59
2009-10-12,59
2009-10-13,59
2009-10-14,60
2009-10-15,62
2009-10-16,58
2009-10-17,61
2009-10-18,60
2009-10-19,61
2009-10-20,63
2009-10-21,64
2009-10-22,66
2009-10-23,68
2009-10-24,76
2009-10-25,69
2009-10-26,68
2009-10-27,67
2009-10-28,66
2009-10-29,65
2009-10-30,64
2009-10-31,69
2009-11-01,67
