Date,Ubiquiti Networks
2010-12-11,56
2010-12-12,56
2010-12-13,54
2010-12-14,53
2010-12-15,54
2010-12-16,51
2010-12-17,50
2010-12-18,52
2010-12-19,50
2010-12-20,49
2010-12-21,49
2010-12-22,51
2010-12-23,49
2010-12-24,53
2010-12-25,49
2010-12-26,48
2010-12-27,47
2010-12-28,46
2010-12-29,45
2010-12-30,45
2010-12-31,43
2011-01-01,45
2011-01-02,43
2011-01-03,44
2011-01-04,46
2011-01-05,47
2011-01-06,49
2011-01-07,52
2011-01-08,55
2011-01-09,52
2011-01-10,52
2011-01-11,54
2011-01-12,53
2011-01-13,55
2011-01-14,54
2011-01-15,59
2011-01-16,57
2011-01-17,56
2011-01-18,58
2011-01-19,57
2011-01-20,61
2011-01-21,59
2011-01-22,62
2011-01-23,60
2011-01-24,58
2011-01-25,57
2011-01-26,59
2011-01-27,56
2011-01-28,56
2011-01-29,55
2011-01-30,55
2011-01-31,55
2011-02-01,57
2011-02-02,56
2011-02-03,57
2011-02-04,58
2011-02-05,59
2011-02-06,62
2011-02-07,58
2011-02-08,59
2011-02-09,58
2011-02-10,58
2011-02-11,58
2011-02-12,58
2011-02-13,61
2011-02-14,57
2011-02-15,57
2011-02-16,56
2011-02-17,56
2011-02-18,56
2011-02-19,60
2011-02-20,57
2011-02-21,54
2011-02-22,54
2011-02-23,52
2011-02-24,52
2011-02-25,50
2011-02-26,52
2011-02-27,52
2011-02-28,52
2011-03-01,53
2011-03-02,54
2011-03-03,57
2011-03-04,56
2011-03-05,60
2011-03-06,60
2011-03-07,56
2011-03-08,57
2011-03-09,55
2011-03-10,55
2011-03-11,57
2011-03-12,55
2011-03-13,55
2011-03-14,54
2011-03-15,54
2011-03-16,55
2011-03-17,54
2011-03-18,54
2011-03-19,59
2011-03-20,57
2011-03-21,55
2011-03-22,57
2011-03-23,56
2011-03-24,59
2011-03-25,57
2011-03-26,58
2011-03-27,58
2011-03-28,58
2011-03-29,59
2011-03-30,58
2011-03-31,59
2011-04-01,58
2011-04-02,61
2011-04-03,62
2011-04-04,59
2011-04-05,60
2011-04-06,63
2011-04-07,61
2011-04-08,61
2011-04-09,65
2011-04-10,62
2011-04-11,61
2011-04-12,62
2011-04-13,61
2011-04-14,62
2011-04-15,61
2011-04-16,62
2011-04-17,60
2011-04-18,60
2011-04-19,61
2011-04-20,60
2011-04-21,61
2011-04-22,60
2011-04-23,63
2011-04-24,65
2011-04-25,61
2011-04-26,62
2011-04-27,62
2011-04-28,62
2011-04-29,65
2011-04-30,65
2011-05-01,66
2011-05-02,63
2011-05-03,63
2011-05-04,62
2011-05-05,65
2011-05-06,62
2011-05-07,67
2011-05-08,62
2011-05-09,62
2011-05-10,64
2011-05-11,62
2011-05-12,63
2011-05-13,63
2011-05-14,64
2011-05-15,64
2011-05-16,62
2011-05-17,62
2011-05-18,62
2011-05-19,62
2011-05-20,68
2011-05-21,62
2011-05-22,67
2011-05-23,61
2011-05-24,61
2011-05-25,61
2011-05-26,62
2011-05-27,62
2011-05-28,63
2011-05-29,62
2011-05-30,61
2011-05-31,62
2011-06-01,61
2011-06-02,63
2011-06-03,62
2011-06-04,63
2011-06-05,62
2011-06-06,61
2011-06-07,62
2011-06-08,61
2011-06-09,60
2011-06-10,60
2011-06-11,63
2011-06-12,60
2011-06-13,61
2011-06-14,62
2011-06-15,62
2011-06-16,64
2011-06-17,63
2011-06-18,67
2011-06-19,63
2011-06-20,63
2011-06-21,63
2011-06-22,63
2011-06-23,65
2011-06-24,63
2011-06-25,70
2011-06-26,62
2011-06-27,62
2011-06-28,63
2011-06-29,61
2011-06-30,62
2011-07-01,62
2011-07-02,62
2011-07-03,61
2011-07-04,61
2011-07-05,61
2011-07-06,63
2011-07-07,61
2011-07-08,65
2011-07-09,63
2011-07-10,62
2011-07-11,62
2011-07-12,62
2011-07-13,65
2011-07-14,63
2011-07-15,63
2011-07-16,67
2011-07-17,64
2011-07-18,64
2011-07-19,64
2011-07-20,64
2011-07-21,65
2011-07-22,64
2011-07-23,67
2011-07-24,67
2011-07-25,65
2011-07-26,65
2011-07-27,65
2011-07-28,65
2011-07-29,66
2011-07-30,68
2011-07-31,66
2011-08-01,64
2011-08-02,64
2011-08-03,63
2011-08-04,67
2011-08-05,63
2011-08-06,63
2011-08-07,65
2011-08-08,64
2011-08-09,64
2011-08-10,68
2011-08-11,65
2011-08-12,69
2011-08-13,67
2011-08-14,67
2011-08-15,66
2011-08-16,69
2011-08-17,65
2011-08-18,65
2011-08-19,67
2011-08-20,67
2011-08-21,65
2011-08-22,65
2011-08-23,67
2011-08-24,65
2011-08-25,65
2011-08-26,66
2011-08-27,71
2011-08-28,67
2011-08-29,65
