Date,Barracuda Networks
2013-04-01,71
2013-04-02,71
2013-04-03,70
2013-04-04,70
2013-04-05,73
2013-04-06,79
2013-04-07,72
2013-04-08,69
2013-04-09,69
2013-04-10,70
2013-04-11,72
2013-04-12,68
2013-04-13,79
2013-04-14,69
2013-04-15,70
2013-04-16,73
2013-04-17,73
2013-04-18,75
2013-04-19,79
2013-04-20,85
2013-04-21,80
2013-04-22,77
2013-04-23,76
2013-04-24,76
2013-04-25,78
2013-04-26,76
2013-04-27,87
2013-04-28,73
2013-04-29,72
2013-04-30,71
2013-05-01,70
2013-05-02,69
2013-05-03,70
2013-05-04,79
2013-05-05,67
2013-05-06,68
2013-05-07,68
2013-05-08,69
2013-05-09,73
2013-05-10,70
2013-05-11,85
2013-05-12,74
2013-05-13,70
2013-05-14,70
2013-05-15,72
2013-05-16,70
2013-05-17,75
2013-05-18,78
2013-05-19,70
2013-05-20,71
2013-05-21,72
2013-05-22,73
2013-05-23,74
2013-05-24,77
2013-05-25,92
2013-05-26,75
2013-05-27,74
2013-05-28,73
2013-05-29,72
2013-05-30,74
2013-05-31,70
2013-06-01,79
2013-06-02,77
2013-06-03,68
2013-06-04,67
2013-06-05,66
2013-06-06,65
2013-06-07,65
2013-06-08,75
2013-06-09,63
2013-06-10,63
2013-06-11,66
2013-06-12,62
2013-06-13,62
2013-06-14,63
2013-06-15,70
2013-06-16,61
2013-06-17,61
2013-06-18,62
2013-06-19,63
2013-06-20,63
2013-06-21,67
2013-06-22,72
2013-06-23,65
2013-06-24,61
2013-06-25,60
2013-06-26,59
2013-06-27,60
2013-06-28,57
2013-06-29,62
2013-06-30,63
2013-07-01,56
2013-07-02,56
2013-07-03,56
2013-07-04,62
2013-07-05,56
2013-07-06,65
2013-07-07,58
2013-07-08,60
2013-07-09,61
2013-07-10,63
2013-07-11,64
2013-07-12,66
2013-07-13,79
2013-07-14,70
2013-07-15,68
2013-07-16,68
2013-07-17,69
2013-07-18,71
2013-07-19,71
2013-07-20,78
2013-07-21,70
2013-07-22,71
2013-07-23,72
2013-07-24,73
2013-07-25,74
2013-07-26,77
2013-07-27,84
2013-07-28,74
2013-07-29,72
2013-07-30,70
2013-07-31,72
2013-08-01,67
2013-08-02,69
2013-08-03,68
2013-08-04,67
2013-08-05,65
2013-08-06,66
2013-08-07,67
2013-08-08,67
2013-08-09,72
2013-08-10,78
2013-08-11,71
2013-08-12,68
2013-08-13,68
2013-08-14,68
2013-08-15,72
2013-08-16,68
2013-08-17,84
2013-08-18,68
2013-08-19,68
2013-08-20,69
2013-08-21,67
2013-08-22,66
2013-08-23,67
2013-08-24,77
2013-08-25,67
2013-08-26,68
2013-08-27,70
2013-08-28,71
2013-08-29,73
2013-08-30,78
2013-08-31,90
2013-09-01,73
2013-09-02,71
2013-09-03,69
2013-09-04,66
2013-09-05,64
2013-09-06,62
2013-09-07,72
2013-09-08,62
2013-09-09,64
2013-09-10,66
2013-09-11,70
2013-09-12,71
2013-09-13,74
2013-09-14,92
2013-09-15,74
2013-09-16,72
2013-09-17,71
2013-09-18,72
2013-09-19,68
2013-09-20,67
2013-09-21,73
2013-09-22,67
2013-09-23,67
2013-09-24,69
2013-09-25,73
2013-09-26,72
2013-09-27,73
2013-09-28,90
2013-09-29,75
2013-09-30,76
2013-10-01,76
2013-10-02,77
2013-10-03,78
2013-10-04,80
2013-10-05,91
2013-10-06,85
2013-10-07,74
2013-10-08,75
2013-10-09,69
2013-10-10,67
2013-10-11,67
2013-10-12,73
2013-10-13,63
2013-10-14,64
2013-10-15,66
2013-10-16,65
2013-10-17,65
2013-10-18,67
2013-10-19,80
2013-10-20,67
2013-10-21,67
2013-10-22,68
2013-10-23,68
2013-10-24,69
2013-10-25,71
2013-10-26,84
2013-10-27,70
2013-10-28,70
2013-10-29,70
2013-10-30,70
2013-10-31,71
2013-11-01,74
2013-11-02,77
2013-11-03,77
2013-11-04,78
2013-11-05,82
2013-11-06,87
2013-11-07,95
2013-11-08,98
2013-11-09,110
2013-11-10,104
2013-11-11,94
2013-11-12,91
2013-11-13,90
2013-11-14,86
2013-11-15,86
2013-11-16,95
2013-11-17,79
2013-11-18,78
2013-11-19,78
2013-11-20,76
2013-11-21,75
2013-11-22,75
2013-11-23,85
2013-11-24,73
2013-11-25,68
2013-11-26,66
2013-11-27,66
2013-11-28,65
2013-11-29,60
2013-11-30,65
2013-12-01,59
2013-12-02,60
2013-12-03,62
2013-12-04,63
2013-12-05,66
2013-12-06,69
2013-12-07,78
2013-12-08,67
2013-12-09,66
2013-12-10,66
2013-12-11,65
2013-12-12,66
2013-12-13,66
2013-12-14,71
2013-12-15,70
2013-12-16,65
2013-12-17,66
2013-12-18,67
2013-12-19,66
2013-12-20,67
2013-12-21,80
2013-12-22,64
2013-12-23,60
2013-12-24,62
2013-12-25,53
2013-12-26,49
2013-12-27,45
2013-12-28,45
2013-12-29,43
2013-12-30,40
2013-12-31,42
2014-01-01,39
2014-01-02,39
2014-01-03,40
2014-01-04,42
2014-01-05,42
2014-01-06,46
2014-01-07,50
2014-01-08,55
2014-01-09,58
2014-01-10,66
2014-01-11,76
2014-01-12,69
2014-01-13,67
2014-01-14,67
2014-01-15,67
2014-01-16,68
2014-01-17,70
2014-01-18,80
2014-01-19,68
2014-01-20,66
2014-01-21,65
2014-01-22,64
2014-01-23,63
2014-01-24,64
2014-01-25,73
2014-01-26,62
2014-01-27,63
2014-01-28,64
2014-01-29,66
2014-01-30,66
2014-01-31,66
2014-02-01,79
2014-02-02,67
2014-02-03,67
2014-02-04,67
2014-02-05,69
2014-02-06,67
2014-02-07,68
2014-02-08,80
2014-02-09,68
2014-02-10,69
2014-02-11,70
2014-02-12,72
2014-02-13,75
2014-02-14,72
2014-02-15,86
2014-02-16,72
2014-02-17,71
2014-02-18,70
2014-02-19,74
