Date,Agios Pharmaceuticals
2012-12-01,34
2012-12-02,33
2012-12-03,33
2012-12-04,33
2012-12-05,32
2012-12-06,32
2012-12-07,32
2012-12-08,32
2012-12-09,31
2012-12-10,31
2012-12-11,31
2012-12-12,31
2012-12-13,30
2012-12-14,30
2012-12-15,30
2012-12-16,30
2012-12-17,29
2012-12-18,29
2012-12-19,29
2012-12-20,29
2012-12-21,28
2012-12-22,28
2012-12-23,28
2012-12-24,28
2012-12-25,27
2012-12-26,27
2012-12-27,27
2012-12-28,27
2012-12-29,26
2012-12-30,26
2012-12-31,26
2013-01-01,26
2013-01-02,26
2013-01-03,26
2013-01-04,26
2013-01-05,26
2013-01-06,26
2013-01-07,26
2013-01-08,26
2013-01-09,26
2013-01-10,26
2013-01-11,26
2013-01-12,26
2013-01-13,26
2013-01-14,26
2013-01-15,26
2013-01-16,26
2013-01-17,26
2013-01-18,26
2013-01-19,26
2013-01-20,26
2013-01-21,26
2013-01-22,26
2013-01-23,26
2013-01-24,26
2013-01-25,26
2013-01-26,26
2013-01-27,26
2013-01-28,26
2013-01-29,26
2013-01-30,26
2013-01-31,26
2013-02-01,26
2013-02-02,26
2013-02-03,26
2013-02-04,26
2013-02-05,27
2013-02-06,27
2013-02-07,27
2013-02-08,27
2013-02-09,28
2013-02-10,28
2013-02-11,28
2013-02-12,28
2013-02-13,29
2013-02-14,29
2013-02-15,29
2013-02-16,29
2013-02-17,30
2013-02-18,30
2013-02-19,30
2013-02-20,30
2013-02-21,31
2013-02-22,31
2013-02-23,31
2013-02-24,31
2013-02-25,32
2013-02-26,32
2013-02-27,32
2013-02-28,32
2013-03-01,33
2013-03-02,32
2013-03-03,32
2013-03-04,32
2013-03-05,31
2013-03-06,31
2013-03-07,31
2013-03-08,30
2013-03-09,30
2013-03-10,30
2013-03-11,29
2013-03-12,29
2013-03-13,29
2013-03-14,28
2013-03-15,28
2013-03-16,28
2013-03-17,27
2013-03-18,27
2013-03-19,27
2013-03-20,26
2013-03-21,26
2013-03-22,26
2013-03-23,25
2013-03-24,25
2013-03-25,25
2013-03-26,24
2013-03-27,24
2013-03-28,24
2013-03-29,23
2013-03-30,23
2013-03-31,23
2013-04-01,23
2013-04-02,23
2013-04-03,23
2013-04-04,23
2013-04-05,23
2013-04-06,23
2013-04-07,23
2013-04-08,23
2013-04-09,23
2013-04-10,23
2013-04-11,23
2013-04-12,23
2013-04-13,23
2013-04-14,23
2013-04-15,23
2013-04-16,23
2013-04-17,23
2013-04-18,23
2013-04-19,23
2013-04-20,23
2013-04-21,23
2013-04-22,23
2013-04-23,23
2013-04-24,23
2013-04-25,23
2013-04-26,23
2013-04-27,23
2013-04-28,23
2013-04-29,23
2013-04-30,23
2013-05-01,23
2013-05-02,24
2013-05-03,25
2013-05-04,26
2013-05-05,27
2013-05-06,28
2013-05-07,29
2013-05-08,30
2013-05-09,32
2013-05-10,33
2013-05-11,34
2013-05-12,35
2013-05-13,36
2013-05-14,37
2013-05-15,38
2013-05-16,39
2013-05-17,41
2013-05-18,42
2013-05-19,43
2013-05-20,44
2013-05-21,45
2013-05-22,46
2013-05-23,47
2013-05-24,48
2013-05-25,50
2013-05-26,51
2013-05-27,52
2013-05-28,53
2013-05-29,54
2013-05-30,55
2013-05-31,56
2013-06-02,59
2013-06-03,75
2013-06-04,62
2013-06-05,63
2013-06-06,65
2013-06-07,66
2013-06-08,67
2013-06-09,69
2013-06-10,70
2013-06-11,72
2013-06-12,73
2013-06-13,74
2013-06-14,76
2013-06-15,77
2013-06-16,79
2013-06-17,80
2013-06-18,81
2013-06-19,83
2013-06-20,84
2013-06-21,86
2013-06-22,87
2013-06-23,88
2013-06-24,90
2013-06-25,91
2013-06-26,93
2013-06-27,94
2013-06-28,95
2013-06-29,97
2013-06-30,98
2013-07-01,100
2013-07-02,99
2013-07-03,98
2013-07-04,97
2013-07-05,96
2013-07-06,95
2013-07-07,94
2013-07-08,93
2013-07-09,92
2013-07-10,91
2013-07-11,90
2013-07-12,90
2013-07-13,89
2013-07-14,88
2013-07-15,87
2013-07-16,86
2013-07-17,85
2013-07-18,84
2013-07-19,83
2013-07-20,82
2013-07-21,81
2013-07-22,82
2013-07-23,81
2013-07-24,80
2013-07-25,79
2013-07-26,78
2013-07-27,78
2013-07-28,77
2013-07-29,74
2013-07-30,73
2013-07-31,72
2013-08-01,72
2013-08-02,71
2013-08-03,70
2013-08-04,69
2013-08-05,70
2013-08-06,69
2013-08-07,68
2013-08-08,68
2013-08-09,68
2013-08-10,70
2013-08-11,62
2013-08-12,61
2013-08-13,60
2013-08-14,59
2013-08-15,58
2013-08-16,57
2013-08-17,57
2013-08-18,56
2013-08-19,55
2013-08-20,54
2013-08-21,53
2013-08-22,52
2013-08-23,51
2013-08-24,50
2013-08-25,49
2013-09-01,43
2013-09-02,43
2013-09-03,43
2013-09-04,43
2013-09-05,43
2013-09-06,43
2013-09-07,43
2013-09-08,43
2013-09-09,44
2013-09-10,44
2013-09-11,44
2013-09-12,44
2013-09-13,44
2013-09-14,44
2013-09-15,44
2013-09-16,45
2013-09-17,45
2013-09-18,45
2013-09-19,45
2013-09-20,45
2013-09-21,45
2013-09-22,45
2013-09-23,45
2013-09-24,46
2013-09-25,46
2013-09-26,46
2013-09-27,46
2013-09-28,46
2013-09-29,46
2013-09-30,46
2013-10-01,47
2013-10-02,47
2013-10-03,47
2013-10-04,47
2013-10-05,47
2013-10-06,47
2013-10-07,47
2013-10-08,47
2013-10-09,48
2013-10-10,48
2013-10-11,48
2013-10-12,48
2013-10-13,48
2013-10-14,48
2013-10-15,48
2013-10-16,48
2013-10-17,49
2013-10-18,49
2013-10-19,49
2013-10-20,49
2013-10-21,49
2013-10-22,49
2013-10-23,49
2013-10-24,49
2013-10-25,50
2013-10-26,50
2013-10-27,50
2013-10-28,50
2013-10-29,50
2013-10-30,50
2013-10-31,50
2013-11-01,51
2013-11-02,50
2013-11-03,50
2013-11-04,50
2013-11-05,50
2013-11-06,49
2013-11-07,49
2013-11-08,49
2013-11-09,49
2013-11-10,48
2013-11-11,48
2013-11-12,48
2013-11-13,48
2013-11-14,47
2013-11-15,47
2013-11-16,47
2013-11-17,47
2013-11-18,47
2013-11-19,46
2013-11-20,46
2013-11-21,46
2013-11-22,46
2013-11-23,45
2013-11-24,45
2013-11-25,45
2013-11-26,45
2013-11-27,44
2013-11-28,44
2013-11-29,44
2013-11-30,44
2013-12-01,44
2013-12-02,44
2013-12-03,44
