Date,MSCI Inc
2007-01-13,90
2007-01-14,84
2007-01-15,84
2007-01-16,85
2007-01-17,90
2007-01-18,87
2007-01-19,87
2007-01-20,89
2007-01-21,86
2007-01-22,85
2007-01-23,89
2007-01-24,86
2007-01-25,83
2007-01-26,86
2007-01-27,91
2007-01-28,82
2007-01-29,83
2007-01-30,84
2007-01-31,84
2007-02-01,84
2007-02-02,89
2007-02-03,98
2007-02-04,84
2007-02-05,82
2007-02-06,81
2007-02-07,79
2007-02-08,86
2007-02-09,76
2007-02-10,81
2007-02-11,75
2007-02-12,75
2007-02-13,75
2007-02-14,75
2007-02-15,75
2007-02-16,79
2007-02-17,84
2007-02-18,77
2007-02-19,78
2007-02-20,80
2007-02-21,83
2007-02-22,84
2007-02-23,84
2007-02-24,92
2007-02-25,89
2007-02-26,84
2007-02-27,83
2007-02-28,83
2007-03-01,85
2007-03-02,85
2007-03-03,83
2007-03-04,81
2007-03-05,80
2007-03-06,81
2007-03-07,79
2007-03-08,85
2007-03-09,79
2007-03-10,84
2007-03-11,77
2007-03-12,76
2007-03-13,75
2007-03-14,73
2007-03-15,72
2007-03-16,75
2007-03-17,70
2007-03-18,74
2007-03-19,67
2007-03-20,65
2007-03-21,70
2007-03-22,62
2007-03-23,68
2007-03-24,60
2007-03-25,60
2007-03-26,60
2007-03-27,61
2007-03-28,61
2007-03-29,64
2007-03-30,62
2007-03-31,63
2007-04-01,64
2007-04-02,65
2007-04-03,70
2007-04-04,68
2007-04-05,71
2007-04-06,71
2007-04-07,74
2007-04-08,72
2007-04-09,71
2007-04-10,70
2007-04-11,74
2007-04-12,68
2007-04-13,70
2007-04-14,72
2007-04-15,66
2007-04-16,67
2007-04-17,68
2007-04-18,71
2007-04-19,69
2007-04-20,70
2007-04-21,76
2007-04-22,74
2007-04-23,73
2007-04-24,74
2007-04-25,79
2007-04-26,76
2007-04-27,86
2007-04-28,80
2007-04-29,78
2007-04-30,79
2007-05-01,82
2007-05-02,80
2007-05-03,83
2007-05-04,81
2007-05-05,89
2007-05-06,82
2007-05-07,82
2007-05-08,85
2007-05-09,83
2007-05-10,86
2007-05-11,87
2007-05-12,89
2007-05-13,83
2007-05-14,79
2007-05-15,77
2007-05-16,75
2007-05-17,73
2007-05-18,75
2007-05-19,75
2007-05-20,69
2007-05-21,70
2007-05-22,70
2007-05-23,72
2007-05-24,71
2007-05-25,72
2007-05-26,81
2007-05-27,73
2007-05-28,74
2007-05-29,74
2007-05-30,77
2007-05-31,75
2007-06-01,80
2007-06-02,88
2007-06-03,77
2007-06-04,77
2007-06-05,79
2007-06-06,83
2007-06-07,80
2007-06-08,79
2007-06-09,86
2007-06-10,77
2007-06-11,74
2007-06-12,71
2007-06-13,68
2007-06-14,65
2007-06-15,67
2007-06-16,59
2007-06-17,63
2007-06-18,61
2007-06-19,63
2007-06-20,65
2007-06-21,66
2007-06-22,69
2007-06-23,68
2007-06-24,67
2007-06-25,67
2007-06-26,69
2007-06-27,67
2007-06-28,66
2007-06-29,70
2007-06-30,66
2007-07-01,66
2007-07-02,67
2007-07-03,69
2007-07-04,71
2007-07-05,68
2007-07-06,69
2007-07-07,76
2007-07-08,71
2007-07-09,72
2007-07-10,76
2007-07-11,80
2007-07-12,76
2007-07-13,77
2007-07-14,88
2007-07-15,79
2007-07-16,80
2007-07-17,80
2007-07-18,88
2007-07-19,81
2007-07-20,82
2007-07-21,89
2007-07-22,83
2007-07-23,83
2007-07-24,83
2007-07-25,84
2007-07-26,84
2007-07-27,90
2007-07-28,90
2007-07-29,88
2007-07-30,82
2007-07-31,82
2007-08-01,81
2007-08-02,78
2007-08-03,79
2007-08-04,77
2007-08-05,75
2007-08-06,75
2007-08-07,74
2007-08-08,75
2007-08-09,73
2007-08-10,76
2007-08-11,82
2007-08-12,72
2007-08-13,72
2007-08-14,73
2007-08-15,72
2007-08-16,71
2007-08-17,71
2007-08-18,80
2007-08-19,70
2007-08-20,70
2007-08-21,70
2007-08-22,71
2007-08-23,70
2007-08-24,70
2007-08-25,78
2007-08-26,71
2007-08-27,68
2007-08-28,72
2007-08-29,67
2007-08-30,67
2007-08-31,68
2007-09-01,69
2007-09-02,65
2007-09-03,65
2007-09-04,65
2007-09-05,66
2007-09-06,69
2007-09-07,65
2007-09-08,68
2007-09-09,64
2007-09-10,64
2007-09-11,66
2007-09-12,63
2007-09-13,63
2007-09-14,64
2007-09-15,68
2007-09-16,63
2007-09-17,64
2007-09-18,65
2007-09-19,66
2007-09-20,67
2007-09-21,73
2007-09-22,75
2007-09-23,72
2007-09-24,72
2007-09-25,74
2007-09-26,75
2007-09-27,80
2007-09-28,79
2007-09-29,91
2007-09-30,83
2007-10-01,80
2007-10-02,80
2007-10-03,80
2007-10-04,83
2007-10-05,82
2007-10-06,83
