Date,Merrimack Pharmaceuticals
2011-01-01,29
2011-01-02,29
2011-01-03,29
2011-01-04,29
2011-01-05,29
2011-01-06,29
2011-01-07,29
2011-01-08,29
2011-01-09,29
2011-01-10,29
2011-01-11,29
2011-01-12,29
2011-01-13,29
2011-01-14,29
2011-01-15,29
2011-01-16,29
2011-01-17,29
2011-01-18,29
2011-01-19,29
2011-01-20,29
2011-01-21,29
2011-01-22,29
2011-01-23,29
2011-01-24,29
2011-01-25,29
2011-01-26,29
2011-01-27,29
2011-01-28,29
2011-01-29,29
2011-01-30,29
2011-01-31,29
2011-02-01,30
2011-02-02,29
2011-02-03,29
2011-02-04,29
2011-02-05,29
2011-02-06,29
2011-02-07,29
2011-02-08,29
2011-02-09,29
2011-02-10,29
2011-02-11,28
2011-02-12,28
2011-02-13,28
2011-02-14,28
2011-02-15,28
2011-02-16,28
2011-02-17,28
2011-02-18,28
2011-02-19,28
2011-02-20,27
2011-02-21,27
2011-02-22,27
2011-02-23,27
2011-02-24,27
2011-02-25,27
2011-02-26,27
2011-02-27,27
2011-02-28,27
2011-03-01,27
2011-03-02,27
2011-03-03,28
2011-03-04,29
2011-03-05,29
2011-03-06,30
2011-03-07,31
2011-03-08,31
2011-03-09,32
2011-03-10,33
2011-03-11,34
2011-03-12,34
2011-03-13,35
2011-03-14,36
2011-03-15,36
2011-03-16,37
2011-03-17,38
2011-03-18,39
2011-03-19,39
2011-03-20,40
2011-03-21,41
2011-03-22,41
2011-03-23,42
2011-03-24,43
2011-03-25,44
2011-03-26,44
2011-03-27,45
2011-03-28,46
2011-03-29,46
2011-03-30,47
2011-03-31,48
2011-04-01,49
2011-04-02,49
2011-04-03,49
2011-04-04,49
2011-04-05,49
2011-04-06,49
2011-04-07,49
2011-04-08,49
2011-04-09,49
2011-04-10,49
2011-04-11,49
2011-04-12,49
2011-04-13,49
2011-04-14,49
2011-04-15,49
2011-04-16,49
2011-04-17,49
2011-04-18,49
2011-04-19,49
2011-04-20,49
2011-04-21,49
2011-04-22,49
2011-04-23,49
2011-04-24,49
2011-04-25,49
2011-04-26,49
2011-04-27,49
2011-04-28,49
2011-04-29,49
2011-04-30,49
2011-05-01,50
2011-05-02,49
2011-05-03,48
2011-05-04,47
2011-05-05,47
2011-05-06,46
2011-05-07,45
2011-05-08,45
2011-05-09,44
2011-05-10,43
2011-05-11,42
2011-05-12,42
2011-05-13,41
2011-05-14,40
2011-05-15,40
2011-05-16,39
2011-05-17,38
2011-05-18,37
2011-05-19,37
2011-05-20,36
2011-05-21,35
2011-05-22,35
2011-05-23,34
2011-05-24,33
2011-05-25,32
2011-05-26,32
2011-05-27,31
2011-05-28,30
2011-05-29,30
2011-05-30,29
2011-05-31,28
2011-06-01,28
2011-06-02,29
2011-06-03,31
2011-06-04,33
2011-06-05,35
2011-06-06,37
2011-06-07,39
2011-06-08,40
2011-06-09,42
2011-06-10,44
2011-06-11,46
2011-06-12,48
2011-06-13,50
2011-06-14,51
2011-06-15,53
2011-06-16,55
2011-06-17,57
2011-06-18,59
2011-06-19,61
2011-06-20,62
2011-06-21,64
2011-06-22,66
2011-06-23,68
2011-06-24,70
2011-06-25,72
2011-06-26,73
2011-06-27,75
2011-06-28,77
2011-06-29,79
2011-06-30,81
2011-07-01,83
2011-07-02,81
2011-07-03,80
2011-07-04,78
2011-07-05,77
2011-07-06,76
2011-07-07,74
2011-07-08,73
2011-07-09,72
2011-07-10,70
2011-07-11,69
2011-07-12,68
2011-07-13,66
2011-07-14,65
2011-07-15,64
2011-07-16,62
2011-07-17,61
2011-07-18,59
2011-07-19,58
2011-07-20,57
2011-07-21,55
2011-07-22,54
2011-07-23,53
2011-07-24,51
2011-07-25,50
2011-07-26,49
2011-07-27,47
2011-07-28,46
2011-07-29,45
2011-07-30,43
2011-07-31,42
2011-08-01,41
2011-08-02,41
2011-08-03,41
2011-08-04,41
2011-08-05,41
2011-08-06,41
