Date,Sabre Industries
2010-09-20,44
2010-09-21,44
2010-09-22,44
2010-09-23,44
2010-09-24,44
2010-09-25,44
2010-09-26,44
2010-09-27,44
2010-09-28,44
2010-09-29,44
2010-09-30,44
2010-10-01,44
2010-10-02,44
2010-10-03,44
2010-10-04,44
2010-10-05,44
2010-10-06,44
2010-10-07,44
2010-10-08,44
2010-10-09,44
2010-10-10,44
2010-10-11,44
2010-10-12,44
2010-10-13,44
2010-10-14,44
2010-10-15,44
2010-10-16,44
2010-10-17,44
2010-10-18,44
2010-10-19,44
2010-10-20,44
2010-10-21,44
2010-10-22,44
2010-10-23,44
2010-10-24,44
2010-10-25,44
2010-10-26,44
2010-10-27,44
2010-10-28,44
2010-10-29,44
2010-10-30,44
2010-10-31,44
2010-11-01,44
2010-11-02,44
2010-11-03,44
2010-11-04,44
2010-11-05,44
2010-11-06,44
2010-11-07,44
2010-11-08,44
2010-11-09,44
2010-11-10,44
2010-11-11,44
2010-11-12,44
2010-11-13,44
2010-11-14,44
2010-11-15,44
2010-11-16,44
2010-11-17,44
2010-11-18,44
2010-11-19,44
2010-11-20,44
2010-11-21,44
2010-11-22,44
2010-11-23,44
2010-11-24,44
2010-11-25,44
2010-11-26,44
2010-11-27,44
2010-11-28,44
2010-11-29,44
2010-11-30,44
2010-12-01,44
2010-12-02,44
2010-12-03,44
2010-12-04,44
2010-12-05,44
2010-12-06,44
2010-12-07,44
2010-12-08,44
2010-12-09,44
2010-12-10,44
2010-12-11,44
2010-12-12,44
2010-12-13,44
2010-12-14,44
2010-12-15,44
2010-12-16,44
2010-12-17,44
2010-12-18,44
2010-12-19,44
2010-12-20,44
2010-12-21,44
2010-12-22,44
2010-12-23,44
2010-12-24,44
2010-12-25,44
2010-12-26,44
2010-12-27,44
2010-12-28,44
2010-12-29,44
2010-12-30,44
2010-12-31,44
2011-01-01,45
2011-01-02,45
2011-01-03,46
2011-01-04,46
2011-01-05,47
2011-01-06,47
2011-01-07,48
2011-01-08,48
2011-01-09,49
2011-01-10,49
2011-01-11,50
2011-01-12,51
2011-01-13,51
2011-01-14,52
2011-01-15,52
2011-01-16,53
2011-01-17,53
2011-01-18,54
2011-01-19,54
2011-01-20,55
2011-01-21,55
2011-01-22,56
2011-01-23,57
2011-01-24,57
2011-01-25,58
2011-01-26,58
2011-01-27,59
2011-01-28,59
2011-01-29,60
2011-01-30,60
2011-01-31,61
2011-02-01,62
2011-02-02,61
2011-02-03,61
2011-02-04,61
2011-02-05,61
2011-02-06,60
2011-02-07,60
2011-02-08,60
2011-02-09,60
2011-02-10,59
2011-02-11,59
2011-02-12,59
2011-02-13,59
2011-02-14,58
