Date,Qualys
2012-11-19,58
2012-11-20,58
2012-11-21,63
2012-11-22,60
2012-11-23,58
2012-11-24,58
2012-11-25,62
2012-11-26,66
2012-11-27,70
2012-11-28,77
2012-11-29,80
2012-11-30,88
2012-12-01,88
2012-12-02,83
2012-12-03,80
2012-12-04,74
2012-12-05,69
2012-12-06,67
2012-12-07,60
2012-12-08,59
2012-12-09,57
2012-12-10,59
2012-12-11,61
2012-12-12,62
2012-12-13,64
2012-12-14,66
2012-12-15,70
2012-12-16,66
2012-12-17,64
2012-12-18,62
2012-12-19,62
2012-12-20,60
2012-12-21,57
2012-12-22,59
2012-12-23,53
2012-12-24,50
2012-12-25,47
2012-12-26,44
2012-12-27,41
2012-12-28,38
2012-12-29,35
2012-12-30,37
2012-12-31,39
2013-01-01,41
2013-01-02,44
2013-01-03,46
2013-01-04,49
2013-01-05,55
2013-01-06,54
2013-01-07,57
2013-01-08,60
2013-01-09,67
2013-01-10,66
2013-01-11,69
2013-01-12,81
2013-01-13,73
2013-01-14,74
2013-01-15,74
2013-01-16,79
2013-01-17,75
2013-01-18,84
2013-01-19,77
2013-01-20,75
2013-01-21,74
2013-01-22,76
2013-01-23,72
2013-01-24,71
2013-01-25,74
2013-01-26,72
2013-01-27,69
2013-01-28,69
2013-01-29,69
2013-01-30,69
2013-01-31,70
2013-02-01,71
2013-02-02,69
2013-02-03,70
2013-02-04,72
2013-02-05,74
2013-02-06,79
2013-02-07,77
2013-02-08,80
2013-02-09,81
2013-02-10,81
2013-02-11,81
2013-02-12,81
2013-02-13,84
2013-02-14,81
2013-02-15,85
2013-02-16,88
2013-02-17,82
2013-02-18,83
2013-02-19,84
2013-02-20,86
2013-02-21,86
2013-02-22,87
2013-02-23,91
2013-02-24,85
2013-02-25,83
2013-02-26,80
2013-02-27,78
2013-02-28,75
2013-03-01,73
2013-03-02,71
2013-03-03,71
2013-03-04,72
2013-03-05,78
2013-03-06,77
2013-03-07,75
2013-03-08,76
2013-03-09,77
2013-03-10,78
2013-03-11,80
2013-03-12,82
2013-03-13,84
2013-03-14,86
2013-03-15,95
2013-03-16,90
2013-03-17,88
2013-03-18,86
2013-03-19,84
2013-03-20,86
2013-03-21,80
2013-03-22,78
2013-03-23,80
2013-03-24,76
2013-03-25,76
2013-03-26,76
2013-03-27,75
2013-03-28,75
2013-03-29,81
2013-03-30,81
2013-03-31,74
2013-04-01,74
2013-04-02,74
2013-04-03,73
2013-04-04,77
2013-04-05,73
2013-04-06,76
2013-04-07,72
2013-04-08,72
2013-04-09,77
2013-04-10,72
2013-04-11,72
2013-04-12,73
2013-04-13,74
2013-04-14,72
2013-04-15,73
2013-04-16,77
2013-04-17,75
2013-04-18,76
2013-04-19,77
2013-04-20,88
2013-04-21,76
2013-04-22,74
2013-04-23,72
2013-04-24,71
2013-04-25,69
2013-04-26,72
2013-04-27,68
2013-04-28,67
2013-04-29,68
2013-04-30,69
2013-05-01,75
2013-05-02,71
2013-05-03,72
2013-05-04,79
2013-05-05,71
2013-05-06,70
2013-05-07,69
2013-05-08,69
2013-05-09,70
2013-05-10,66
2013-05-11,69
2013-05-12,67
2013-05-13,70
2013-05-14,74
2013-05-15,76
2013-05-16,77
