Date,Bleach
2012-08-01,97
2012-08-02,99
2012-08-03,101
2012-08-04,100
2012-08-05,99
2012-08-06,103
2012-08-07,97
2012-08-08,97
2012-08-09,96
2012-08-10,97
2012-08-11,95
2012-08-12,95
2012-08-13,99
2012-08-14,95
2012-08-15,95
2012-08-16,96
2012-08-17,95
2012-08-18,95
2012-08-19,94
2012-08-20,98
2012-08-21,94
2012-08-22,94
2012-08-23,98
2012-08-24,96
2012-08-25,94
2012-08-26,93
2012-08-27,97
2012-08-28,92
2012-08-29,91
2012-08-30,95
2012-08-31,92
2012-09-01,90
2012-09-02,89
2012-09-03,92
2012-09-04,89
2012-09-05,88
2012-09-06,92
2012-09-07,88
2012-09-08,88
2012-09-09,87
2012-09-10,91
2012-09-11,86
2012-09-12,85
2012-09-13,86
2012-09-14,84
2012-09-15,84
2012-09-16,84
2012-09-17,88
2012-09-18,84
2012-09-19,84
2012-09-20,88
2012-09-21,85
2012-09-22,85
2012-09-23,84
2012-09-24,89
2012-09-25,83
2012-09-26,83
2012-09-27,86
2012-09-28,83
2012-09-29,82
2012-09-30,82
2012-10-01,86
2012-10-02,82
2012-10-03,82
2012-10-04,83
2012-10-05,82
2012-10-06,82
2012-10-07,82
2012-10-08,87
2012-10-09,83
2012-10-10,84
2012-10-11,89
2012-10-12,85
2012-10-13,86
2012-10-14,86
2012-10-15,90
2012-10-16,86
2012-10-17,87
2012-10-18,92
2012-10-19,88
2012-10-20,88
2012-10-21,88
2012-10-22,92
2012-10-23,88
2012-10-24,88
2012-10-25,93
2012-10-26,89
2012-10-27,88
2012-10-28,87
2012-10-29,89
2012-10-30,85
2012-10-31,84
2012-11-01,83
2012-11-02,83
2012-11-03,82
2012-11-04,81
2012-11-05,84
2012-11-06,80
2012-11-07,80
2012-11-08,84
2012-11-09,80
2012-11-10,79
2012-11-11,79
2012-11-12,83
2012-11-13,80
2012-11-14,80
2012-11-15,86
2012-11-16,84
2012-11-17,82
2012-11-18,81
2012-11-19,84
2012-11-20,80
2012-11-21,79
2012-11-22,82
2012-11-23,79
2012-11-24,78
2012-11-25,78
2012-11-26,83
2012-11-27,80
2012-11-28,81
2012-11-29,88
2012-11-30,85
2012-12-01,84
2012-12-02,84
2012-12-03,87
2012-12-04,84
2012-12-05,84
2012-12-06,89
2012-12-07,85
2012-12-08,84
2012-12-09,84
2012-12-10,86
2012-12-11,83
2012-12-12,82
2012-12-13,88
2012-12-14,84
2012-12-15,82
2012-12-16,81
2012-12-17,84
2012-12-18,80
2012-12-19,79
2012-12-20,81
2012-12-21,79
2012-12-22,78
2012-12-23,80
2012-12-24,83
2012-12-25,84
2012-12-26,86
2012-12-27,88
2012-12-28,95
2012-12-29,93
2012-12-30,92
2012-12-31,93
2013-01-01,91
2013-01-02,90
2013-01-03,90
2013-01-04,91
2013-01-05,89
2013-01-06,87
2013-01-07,89
2013-01-08,85
2013-01-09,84
2013-01-10,84
2013-01-11,83
2013-01-12,81
2013-01-13,81
2013-01-14,85
2013-01-15,83
2013-01-16,83
2013-01-17,89
2013-01-18,88
2013-01-19,86
2013-01-20,85
2013-01-21,86
2013-01-22,82
2013-01-23,81
2013-01-24,84
2013-01-25,80
2013-01-26,78
2013-01-27,78
2013-01-28,81
2013-01-29,78
2013-01-30,78
2013-01-31,82
2013-02-01,78
2013-02-02,78
2013-02-03,79
2013-02-04,84
2013-02-05,82
2013-02-06,83
2013-02-07,88
2013-02-08,88
2013-02-09,88
2013-02-10,87
