Date,Silvercrest
2012-10-13,57
2012-10-14,57
2012-10-15,57
2012-10-16,57
2012-10-17,59
2012-10-18,57
2012-10-19,59
2012-10-20,58
2012-10-21,58
2012-10-22,58
2012-10-23,61
2012-10-24,58
2012-10-25,62
2012-10-26,58
2012-10-27,59
2012-10-28,59
2012-10-29,62
2012-10-30,62
2012-10-31,61
2012-11-01,62
2012-11-02,65
2012-11-03,64
2012-11-04,63
2012-11-05,66
2012-11-06,66
2012-11-07,63
2012-11-08,63
2012-11-09,66
2012-11-10,63
2012-11-11,64
2012-11-12,66
2012-11-13,68
2012-11-14,67
2012-11-15,68
2012-11-16,69
2012-11-17,71
2012-11-18,73
2012-11-19,69
2012-11-20,71
2012-11-21,68
2012-11-22,67
2012-11-23,67
2012-11-24,66
2012-11-25,68
2012-11-26,72
2012-11-27,74
2012-11-28,74
2012-11-29,76
2012-11-30,81
2012-12-01,81
2012-12-02,80
2012-12-03,82
2012-12-04,82
2012-12-05,80
2012-12-06,78
2012-12-07,81
2012-12-08,78
2012-12-09,79
2012-12-10,85
2012-12-11,85
2012-12-12,85
2012-12-13,87
2012-12-14,91
2012-12-15,91
2012-12-16,89
2012-12-17,91
2012-12-18,89
2012-12-19,88
2012-12-20,85
2012-12-21,90
2012-12-22,83
2012-12-23,83
2012-12-24,87
2012-12-25,84
2012-12-26,85
2012-12-27,85
2012-12-28,90
2012-12-29,86
2012-12-30,86
2012-12-31,87
2013-01-01,80
2013-01-02,78
2013-01-03,76
2013-01-04,77
2013-01-05,73
2013-01-06,72
2013-01-07,77
2013-01-08,70
2013-01-09,70
2013-01-10,68
2013-01-11,73
2013-01-12,67
2013-01-13,69
2013-01-14,77
2013-01-15,74
2013-01-16,76
2013-01-17,83
2013-01-18,84
2013-01-19,84
2013-01-20,80
2013-01-21,80
2013-01-22,74
2013-01-23,74
2013-01-24,68
2013-01-25,66
2013-01-26,63
2013-01-27,67
2013-01-28,75
2013-01-29,78
2013-01-30,83
2013-01-31,101
2013-02-01,94
2013-02-02,104
2013-02-03,96
2013-02-04,90
2013-02-05,85
2013-02-06,79
2013-02-07,72
2013-02-08,67
2013-02-09,62
2013-02-10,60
2013-02-11,62
2013-02-12,58
2013-02-13,61
