Date,Codexis
2007-10-01,70
2007-10-02,76
2007-10-03,82
2007-10-04,88
2007-10-05,94
2007-10-06,100
2007-10-07,95
2007-10-08,90
2007-10-09,85
2007-10-10,80
2007-10-11,75
2007-10-12,70
2007-10-13,65
2007-10-14,63
2007-10-15,62
2007-10-16,60
2007-10-17,59
2007-10-18,57
2007-10-19,56
2007-10-20,55
2007-10-21,55
2007-10-22,55
2007-10-23,55
2007-10-24,55
2007-10-25,55
2007-10-26,55
2007-10-27,55
2007-10-28,58
2007-10-29,61
2007-10-30,64
2007-10-31,67
2007-11-01,70
2007-11-02,73
2007-11-03,77
2007-11-04,80
2007-11-05,83
2007-11-06,86
2007-11-07,89
2007-11-08,92
2007-11-09,95
2007-11-10,99
2007-11-11,93
2007-11-12,87
2007-11-13,81
2007-11-14,76
2007-11-15,70
2007-11-16,64
2007-11-17,59
2007-11-18,59
2007-11-19,59
2007-11-20,60
2007-11-21,60
2007-11-22,61
2007-11-23,61
2007-11-24,62
2007-11-25,62
2007-11-26,62
2007-11-27,62
2007-11-28,63
2007-11-29,63
2007-11-30,63
2007-12-01,64
2007-12-02,64
2007-12-03,64
2007-12-04,65
2007-12-05,65
2007-12-06,66
2007-12-07,66
2007-12-08,67
2007-12-09,67
2007-12-10,67
2007-12-11,67
2007-12-12,68
2007-12-13,68
2007-12-14,68
2007-12-15,69
2007-12-16,69
2007-12-17,70
2007-12-18,71
2007-12-19,71
2007-12-20,72
2007-12-21,73
2007-12-22,74
2007-12-23,74
2007-12-24,75
2007-12-25,76
2007-12-26,76
2007-12-27,77
2007-12-28,78
2007-12-29,79
2007-12-30,79
2007-12-31,80
2008-01-06,84
2008-01-07,86
2008-01-08,86
2008-01-09,87
2008-01-10,88
2008-01-11,89
2008-01-12,89
2008-01-13,84
2008-01-14,77
2008-01-15,72
2008-01-16,66
2008-01-17,61
2008-01-18,55
2008-01-19,50
2008-01-20,50
2008-01-21,50
2008-01-22,50
2008-01-23,50
2008-01-24,50
2008-01-25,50
2008-01-26,50
2008-01-27,50
2008-01-28,50
2008-01-29,50
2008-01-30,50
2008-01-31,50
2008-02-01,50
2008-02-02,50
2008-02-03,50
2008-02-04,50
2008-02-05,50
2008-02-06,50
2008-02-07,50
2008-02-08,50
2008-02-09,50
2008-02-10,50
2008-02-11,50
2008-02-12,50
2008-02-13,50
2008-02-14,50
2008-02-15,50
2008-02-16,51
2008-02-17,51
2008-02-18,51
2008-02-19,51
2008-02-20,51
2008-02-21,51
2008-02-22,51
2008-02-23,51
2008-02-24,51
2008-02-25,51
2008-02-26,51
2008-02-27,51
