Date,Aspen Technology Inc
2008-01-12,69
2008-01-13,68
2008-01-14,68
2008-01-15,66
2008-01-16,65
2008-01-17,64
2008-01-18,63
2008-01-19,62
2008-01-20,63
2008-01-21,64
2008-01-22,65
2008-01-23,66
2008-01-24,67
2008-01-25,69
2008-01-26,69
2008-01-27,71
2008-01-28,73
2008-01-29,75
2008-01-30,80
2008-01-31,80
2008-02-01,82
2008-02-02,85
2008-02-03,82
2008-02-04,80
2008-02-05,78
2008-02-06,80
2008-02-07,74
2008-02-08,72
2008-02-09,70
2008-02-10,70
2008-02-11,70
2008-02-12,70
2008-02-13,70
2008-02-14,70
2008-02-15,70
2008-02-16,71
2008-02-17,71
2008-02-18,71
2008-02-19,72
2008-02-20,72
2008-02-21,73
2008-02-22,73
2008-02-23,74
2008-02-24,77
2008-02-25,80
2008-02-26,84
2008-02-27,93
2008-02-28,91
2008-02-29,94
2008-03-01,98
2008-03-02,94
2008-03-03,91
2008-03-04,88
2008-03-05,85
2008-03-06,82
2008-03-07,79
2008-03-08,80
2008-03-09,74
2008-03-10,72
2008-03-11,71
2008-03-12,69
2008-03-13,68
2008-03-14,66
2008-03-15,65
2008-03-16,64
2008-03-17,63
2008-03-18,62
2008-03-19,62
2008-03-20,61
2008-03-21,60
2008-03-22,60
2008-03-23,61
2008-03-24,63
2008-03-25,65
2008-03-26,69
2008-03-27,69
2008-03-28,72
2008-03-29,73
2008-03-30,72
2008-03-31,72
2008-04-01,72
2008-04-02,71
2008-04-03,71
2008-04-04,73
2008-04-05,71
2008-04-06,70
2008-04-07,70
2008-04-08,70
2008-04-09,72
2008-04-10,70
2008-04-11,69
2008-04-12,69
2008-04-13,70
2008-04-14,71
2008-04-15,72
2008-04-16,75
2008-04-17,75
2008-04-18,76
2008-04-19,78
2008-04-20,76
2008-04-21,75
2008-04-22,74
2008-04-23,72
2008-04-24,71
2008-04-25,70
2008-04-26,69
2008-04-27,71
2008-04-28,73
2008-04-29,75
2008-04-30,78
2008-05-01,80
2008-05-02,82
2008-05-03,85
2008-05-04,82
2008-05-05,79
2008-05-06,83
2008-05-07,73
2008-05-08,70
2008-05-09,67
2008-05-10,65
2008-05-11,65
2008-05-12,66
2008-05-13,67
2008-05-14,67
2008-05-15,69
2008-05-16,69
2008-05-17,70
2008-05-18,71
2008-05-19,72
2008-05-20,74
2008-05-21,75
2008-05-22,82
2008-05-23,78
2008-05-24,80
2008-05-25,80
2008-05-26,80
2008-05-27,80
2008-05-28,80
2008-05-29,84
2008-05-30,80
2008-05-31,80
2008-06-01,78
2008-06-02,77
2008-06-03,76
2008-06-04,76
2008-06-05,73
2008-06-06,72
2008-06-07,71
2008-06-08,70
2008-06-09,70
2008-06-10,70
2008-06-11,70
2008-06-12,70
2008-06-13,70
2008-06-14,70
2008-06-15,70
2008-06-16,70
2008-06-17,76
2008-06-18,71
2008-06-19,71
2008-06-20,71
2008-06-21,72
2008-06-22,70
2008-06-23,69
2008-06-24,68
2008-06-25,66
2008-06-26,65
2008-06-27,64
2008-06-28,63
2008-06-29,65
2008-06-30,67
2008-07-01,69
2008-07-02,71
2008-07-03,73
2008-07-04,75
2008-07-05,77
2008-07-06,76
2008-07-07,75
2008-07-08,74
2008-07-09,74
2008-07-10,73
2008-07-11,72
2008-07-12,72
2008-07-13,71
2008-07-14,71
2008-07-15,70
2008-07-16,70
2008-07-17,69
2008-07-18,69
2008-07-19,72
2008-07-20,68
2008-07-21,67
2008-07-22,66
2008-07-23,65
2008-07-24,64
2008-07-25,63
2008-07-26,63
2008-07-27,68
2008-07-28,73
2008-07-29,78
2008-07-30,92
2008-07-31,89
2008-08-01,94
2008-08-02,102
2008-08-03,98
2008-08-04,96
2008-08-05,94
2008-08-06,93
2008-08-07,91
2008-08-08,89
2008-08-09,88
2008-08-10,82
2008-08-11,77
2008-08-12,72
2008-08-13,67
2008-08-14,62
2008-08-15,57
2008-08-16,52
2008-08-17,54
2008-08-18,57
2008-08-19,65
2008-08-20,63
2008-08-21,67
2008-08-22,69
2008-08-23,76
2008-08-24,72
2008-08-25,73
2008-08-26,73
2008-08-27,74
2008-08-28,76
2008-08-29,75
2008-08-30,76
2008-08-31,72
2008-09-01,69
2008-09-02,66
2008-09-03,62
2008-09-04,59
2008-09-05,56
2008-09-06,53
2008-09-07,53
2008-09-08,54
2008-09-09,54
2008-09-10,57
2008-09-11,55
2008-09-12,56
2008-09-13,57
2008-09-14,58
2008-09-15,59
2008-09-16,60
2008-09-17,62
2008-09-18,63
2008-09-19,69
2008-09-20,66
2008-09-21,66
2008-09-22,67
2008-09-23,67
2008-09-24,68
2008-09-25,68
2008-09-26,69
2008-09-27,70
2008-09-28,68
2008-09-29,66
2008-09-30,65
2008-10-01,63
2008-10-02,62
2008-10-03,60
2008-10-04,59
2008-10-05,62
2008-10-06,65
2008-10-07,69
2008-10-08,72
2008-10-09,76
2008-10-10,79
2008-10-11,83
2008-10-12,79
2008-10-13,75
2008-10-14,71
2008-10-15,67
2008-10-16,63
2008-10-17,59
2008-10-18,56
2008-10-19,56
2008-10-20,56
2008-10-21,58
2008-10-22,56
2008-10-23,56
2008-10-24,56
2008-10-25,59
2008-10-26,59
2008-10-27,62
2008-10-28,66
2008-10-29,69
2008-10-30,74
2008-10-31,76
2008-11-01,80
2008-11-02,79
2008-11-03,78
2008-11-04,80
2008-11-05,81
2008-11-06,76
2008-11-07,77
2008-11-08,75
2008-11-09,74
2008-11-10,74
2008-11-11,75
2008-11-12,73
2008-11-13,73
2008-11-14,73
2008-11-15,73
2008-11-16,70
2008-11-17,68
2008-11-18,66
2008-11-19,64
2008-11-20,62
2008-11-21,60
2008-11-22,58
2008-11-23,57
2008-11-24,58
2008-11-25,57
2008-11-26,55
2008-11-27,55
2008-11-28,54
2008-11-29,55
2008-11-30,53
2008-12-01,53
2008-12-02,53
2008-12-03,53
2008-12-04,53
2008-12-05,53
2008-12-06,53
2008-12-07,52
2008-12-08,52
2008-12-09,51
2008-12-10,51
2008-12-11,50
2008-12-12,50
2008-12-13,50
2008-12-14,49
2008-12-15,49
2008-12-16,51
2008-12-17,49
2008-12-18,49
2008-12-19,49
2008-12-20,49
2008-12-21,47
2008-12-22,45
2008-12-23,44
2008-12-24,42
2008-12-25,41
2008-12-26,39
2008-12-27,38
2008-12-28,37
2008-12-29,37
2008-12-30,36
2008-12-31,36
2009-01-01,35
2009-01-02,35
2009-01-03,35
2009-01-04,38
2009-01-05,41
2009-01-06,44
2009-01-07,48
2009-01-08,51
2009-01-09,54
2009-01-10,58
2009-01-11,59
2009-01-12,60
2009-01-13,63
2009-01-14,62
2009-01-15,64
2009-01-16,65
2009-01-17,66
2009-01-18,66
2009-01-19,67
2009-01-20,68
2009-01-21,69
2009-01-22,76
2009-01-23,71
2009-01-24,72
2009-01-25,70
2009-01-26,68
2009-01-27,66
2009-01-28,65
2009-01-29,62
2009-01-30,60
2009-01-31,59
2009-02-01,59
2009-02-02,60
2009-02-03,61
2009-02-04,61
2009-02-05,63
2009-02-06,63
2009-02-07,64
2009-02-08,63
2009-02-09,63
2009-02-10,63
2009-02-11,65
2009-02-12,63
2009-02-13,63
2009-02-14,63
2009-02-15,63
2009-02-16,63
2009-02-17,63
2009-02-18,64
2009-02-19,64
2009-02-20,64
2009-02-21,65
2009-02-22,68
2009-02-23,71
2009-02-24,74
2009-02-25,83
2009-02-26,80
2009-02-27,92
2009-02-28,87
2009-03-01,83
2009-03-02,80
2009-03-03,77
2009-03-04,74
2009-03-05,71
2009-03-06,68
2009-03-07,65
2009-03-08,64
2009-03-09,64
2009-03-10,64
2009-03-11,64
2009-03-12,64
2009-03-13,64
2009-03-14,70
2009-03-15,63
2009-03-16,63
2009-03-17,63
2009-03-18,62
2009-03-19,62
2009-03-20,62
2009-03-21,62
2009-03-22,62
2009-03-23,62
2009-03-24,63
2009-03-25,64
2009-03-26,64
2009-03-27,64
2009-03-28,65
2009-03-29,65
2009-03-30,65
2009-03-31,65
2009-04-01,65
2009-04-02,65
2009-04-03,65
2009-04-04,65
2009-04-05,64
2009-04-06,64
2009-04-07,64
2009-04-08,64
2009-04-09,64
2009-04-10,64
2009-04-11,64
2009-04-12,63
2009-04-13,62
2009-04-14,61
2009-04-15,60
2009-04-16,62
2009-04-17,58
2009-04-18,57
2009-04-19,55
2009-04-20,54
2009-04-21,53
2009-04-22,54
2009-04-23,52
2009-04-24,50
2009-04-25,49
2009-04-26,49
2009-04-27,50
2009-04-28,51
2009-04-29,57
2009-04-30,52
2009-05-01,53
2009-05-02,54
2009-05-03,53
2009-05-04,53
2009-05-05,53
2009-05-06,52
2009-05-07,54
2009-05-08,52
2009-05-09,52
2009-05-10,54
2009-05-11,56
2009-05-12,60
2009-05-13,61
2009-05-14,62
2009-05-15,64
