Date,Brand Energy
2011-07-09,86
2011-07-10,86
2011-07-11,86
2011-07-12,89
2011-07-13,90
2011-07-14,91
2011-07-15,91
2011-07-16,97
2011-07-17,94
2011-07-18,92
2011-07-19,92
2011-07-20,96
2011-07-21,91
2011-07-22,91
2011-07-23,93
2011-07-24,100
2011-07-25,91
2011-07-26,92
2011-07-27,91
2011-07-28,92
2011-07-29,91
2011-07-30,91
2011-07-31,96
2011-08-01,93
2011-08-02,98
2011-08-03,96
2011-08-04,99
2011-08-05,98
2011-08-06,100
2011-08-07,106
2011-08-08,98
2011-08-09,100
2011-08-10,99
2011-08-11,95
2011-08-12,94
2011-08-13,102
2011-08-14,101
2011-08-15,90
2011-08-16,92
2011-08-17,90
2011-08-18,86
2011-08-19,85
2011-08-20,87
2011-08-21,85
2011-08-22,82
2011-08-23,83
2011-08-24,81
2011-08-25,81
2011-08-26,85
2011-08-27,81
2011-08-28,87
2011-08-29,83
2011-08-30,84
2011-08-31,85
2011-09-01,86
2011-09-02,87
2011-09-03,95
2011-09-04,89
2011-09-05,93
2011-09-06,89
2011-09-07,92
2011-09-08,89
2011-09-09,92
2011-09-10,90
2011-09-11,97
2011-09-12,88
2011-09-13,88
2011-09-14,93
2011-09-15,87
2011-09-16,86
2011-09-17,93
2011-09-18,86
2011-09-19,86
2011-09-20,86
2011-09-21,89
2011-09-22,86
2011-09-23,86
2011-09-24,94
2011-09-25,87
2011-09-26,87
2011-09-27,90
2011-09-28,95
2011-09-29,88
2011-09-30,88
2011-10-01,89
2011-10-02,95
2011-10-03,85
2011-10-04,83
2011-10-05,82
2011-10-06,83
2011-10-07,77
2011-10-08,82
2011-10-09,74
2011-10-10,74
2011-10-11,74
2011-10-12,74
2011-10-13,74
2011-10-14,74
2011-10-15,81
2011-10-16,75
2011-10-17,76
2011-10-18,77
2011-10-19,84
2011-10-20,80
2011-10-21,81
2011-10-22,88
2011-10-23,84
2011-10-24,85
2011-10-25,88
2011-10-26,88
2011-10-27,88
2011-10-28,89
2011-10-29,95
2011-10-30,90
2011-10-31,87
2011-11-01,86
2011-11-02,84
2011-11-03,90
2011-11-04,82
2011-11-05,83
2011-11-06,81
2011-11-07,82
2011-11-08,84
2011-11-09,83
2011-11-10,83
2011-11-11,88
2011-11-12,87
2011-11-13,84
2011-11-14,81
2011-11-15,83
2011-11-16,78
2011-11-17,76
2011-11-18,75
2011-11-19,77
2011-11-20,72
2011-11-21,71
2011-11-22,74
2011-11-23,70
2011-11-24,74
2011-11-25,69
2011-11-26,67
2011-11-27,76
2011-11-28,74
2011-11-29,78
2011-11-30,83
2011-12-01,85
2011-12-02,91
2011-12-03,93
2011-12-04,95
2011-12-05,87
2011-12-06,84
2011-12-07,82
2011-12-08,79
2011-12-09,75
2011-12-10,76
2011-12-11,72
2011-12-12,72
2011-12-13,72
2011-12-14,77
2011-12-15,71
2011-12-16,71
2011-12-17,74
2011-12-18,72
2011-12-19,70
2011-12-20,76
2011-12-21,70
2011-12-22,70
2011-12-23,70
2011-12-24,76
2011-12-25,73
2011-12-26,71
2011-12-27,71
2011-12-28,76
2011-12-29,72
2011-12-30,73
2011-12-31,79
2012-01-01,76
2012-01-02,80
2012-01-03,82
2012-01-04,85
2012-01-05,91
2012-01-06,91
2012-01-07,101
2012-01-08,89
2012-01-09,86
2012-01-10,80
2012-01-11,78
2012-01-12,72
2012-01-13,66
2012-01-14,65
2012-01-15,70
2012-01-16,67
2012-01-17,69
2012-01-18,72
2012-01-19,75
2012-01-20,79
2012-01-21,81
2012-01-22,81
2012-01-23,80
2012-01-24,86
2012-01-25,80
2012-01-26,82
2012-01-27,80
2012-01-28,81
2012-01-29,83
2012-01-30,78
2012-01-31,80
2012-02-01,76
2012-02-02,77
2012-02-03,74
2012-02-04,75
2012-02-05,74
2012-02-06,72
2012-02-07,74
2012-02-08,72
2012-02-09,73
2012-02-10,72
2012-02-11,78
2012-02-12,75
2012-02-13,72
2012-02-14,72
2012-02-15,72
2012-02-16,73
2012-02-17,72
2012-02-18,74
2012-02-19,72
2012-02-20,73
2012-02-21,73
2012-02-22,74
2012-02-23,76
2012-02-24,75
2012-02-25,77
2012-02-26,78
2012-02-27,76
2012-02-28,76
2012-02-29,81
2012-03-01,76
2012-03-02,76
2012-03-03,79
2012-03-04,80
2012-03-05,76
2012-03-06,76
2012-03-07,76
2012-03-08,80
2012-03-09,76
2012-03-10,79
2012-03-11,80
2012-03-12,75
2012-03-13,79
2012-03-14,74
2012-03-15,73
2012-03-16,74
2012-03-17,78
2012-03-18,75
2012-03-19,73
2012-03-20,73
2012-03-21,77
2012-03-22,73
2012-03-23,78
2012-03-24,79
2012-03-25,73
2012-03-26,72
2012-03-27,72
2012-03-28,72
2012-03-29,74
2012-03-30,70
2012-03-31,75
2012-04-01,68
2012-04-02,66
2012-04-03,67
2012-04-04,64
2012-04-05,61
2012-04-06,60
2012-04-07,62
2012-04-08,59
2012-04-09,56
2012-04-10,56
2012-04-11,56
2012-04-12,55
2012-04-13,56
2012-04-14,59
2012-04-15,54
2012-04-16,54
2012-04-17,56
2012-04-18,58
2012-04-19,56
2012-04-20,58
2012-04-21,59
2012-04-22,58
2012-04-23,59
2012-04-24,64
2012-04-25,62
2012-04-26,65
2012-04-27,64
2012-04-28,72
2012-04-29,65
2012-04-30,65
2012-05-01,66
2012-05-02,65
2012-05-03,64
2012-05-04,69
2012-05-05,64
2012-05-06,69
2012-05-07,61
2012-05-08,60
2012-05-09,58
2012-05-10,56
2012-05-11,55
2012-05-12,59
2012-05-13,55
2012-05-14,56
2012-05-15,57
2012-05-16,59
2012-05-17,62
2012-05-18,61
2012-05-19,65
2012-05-20,66
2012-05-21,64
2012-05-22,68
2012-05-23,69
2012-05-24,66
2012-05-25,67
2012-05-26,75
2012-05-27,69
2012-05-28,65
2012-05-29,63
2012-05-30,62
2012-05-31,60
2012-06-01,61
2012-06-02,63
2012-06-03,61
2012-06-04,61
2012-06-05,66
2012-06-06,64
2012-06-07,69
2012-06-08,68
2012-06-09,78
2012-06-10,69
2012-06-11,68
2012-06-12,70
2012-06-13,71
2012-06-14,67
2012-06-15,67
2012-06-16,69
2012-06-17,65
2012-06-18,65
2012-06-19,68
2012-06-20,65
2012-06-21,65
2012-06-22,65
2012-06-23,65
2012-06-24,69
2012-06-25,66
2012-06-26,69
2012-06-27,67
2012-06-28,68
2012-06-29,69
2012-06-30,78
2012-07-01,68
2012-07-02,67
2012-07-03,67
2012-07-04,74
2012-07-05,64
2012-07-06,64
2012-07-07,67
2012-07-08,63
2012-07-09,64
2012-07-10,66
2012-07-11,68
2012-07-12,70
