Date,Yelp!
2011-05-07,66
2011-05-08,68
2011-05-09,68
2011-05-10,67
2011-05-11,67
2011-05-12,68
2011-05-13,68
2011-05-14,69
2011-05-15,70
2011-05-16,70
2011-05-17,69
2011-05-18,69
2011-05-19,69
2011-05-20,69
2011-05-21,69
2011-05-22,70
2011-05-23,70
2011-05-24,69
2011-05-25,69
2011-05-26,70
2011-05-27,69
2011-05-28,70
2011-05-29,70
2011-05-30,73
2011-05-31,70
2011-06-01,70
2011-06-02,70
2011-06-03,70
2011-06-04,71
2011-06-05,72
2011-06-06,71
2011-06-07,71
2011-06-08,70
2011-06-09,70
2011-06-10,70
2011-06-11,70
2011-06-12,72
2011-06-13,70
2011-06-14,70
2011-06-15,70
2011-06-16,70
2011-06-17,70
2011-06-18,70
2011-06-19,70
2011-06-20,72
2011-06-21,71
2011-06-22,71
2011-06-23,72
2011-06-24,72
2011-06-25,73
2011-06-26,74
2011-06-27,74
2011-06-28,73
2011-06-29,73
2011-06-30,74
2011-07-01,73
2011-07-02,74
2011-07-03,75
2011-07-04,78
2011-07-05,74
2011-07-06,75
2011-07-07,75
2011-07-08,75
2011-07-09,76
2011-07-10,77
2011-07-11,78
2011-07-12,77
2011-07-13,77
2011-07-14,78
2011-07-15,78
2011-07-16,79
2011-07-17,80
2011-07-18,79
2011-07-19,79
2011-07-20,79
2011-07-21,79
2011-07-22,79
2011-07-23,79
2011-07-24,80
2011-07-25,81
2011-07-26,79
2011-07-27,80
2011-07-28,80
2011-07-29,80
2011-07-30,81
2011-07-31,83
2011-08-01,81
2011-08-02,82
2011-08-03,82
2011-08-04,83
2011-08-05,83
2011-08-06,84
2011-08-07,85
2011-08-08,85
2011-08-09,84
2011-08-10,84
2011-08-11,84
2011-08-12,84
2011-08-13,84
2011-08-14,85
2011-08-15,84
2011-08-16,85
2011-08-17,84
2011-08-18,84
2011-08-19,84
2011-08-20,85
2011-08-21,86
2011-08-22,83
2011-08-23,82
2011-08-24,81
2011-08-25,80
2011-08-26,79
2011-08-27,78
2011-08-28,78
2011-08-29,77
2011-08-30,77
2011-08-31,76
2011-09-01,76
2011-09-02,76
2011-09-03,76
2011-09-04,75
2011-09-05,79
2011-09-06,75
2011-09-07,74
2011-09-08,74
2011-09-09,74
2011-09-10,74
2011-09-11,75
2011-09-12,75
2011-09-13,73
2011-09-14,73
2011-09-15,73
2011-09-16,73
2011-09-17,73
2011-09-18,74
2011-09-19,74
2011-09-20,73
2011-09-21,73
2011-09-22,73
2011-09-23,73
2011-09-24,74
2011-09-25,74
2011-09-26,76
2011-09-27,73
2011-09-28,73
2011-09-29,73
2011-09-30,73
2011-10-01,73
2011-10-02,74
2011-10-03,75
2011-10-04,73
2011-10-05,73
2011-10-06,73
2011-10-07,73
2011-10-08,73
2011-10-09,74
2011-10-10,74
2011-10-11,73
2011-10-12,72
2011-10-13,72
2011-10-14,72
2011-10-15,72
2011-10-16,73
2011-10-17,74
2011-10-18,72
2011-10-19,73
2011-10-20,73
2011-10-21,73
2011-10-22,74
2011-10-23,74
2011-10-24,75
2011-10-25,72
2011-10-26,72
2011-10-27,72
2011-10-28,71
2011-10-29,71
2011-10-30,73
2011-10-31,70
2011-11-01,69
2011-11-02,69
2011-11-03,70
2011-11-04,68
2011-11-05,68
2011-11-06,70
2011-11-07,72
2011-11-08,71
2011-11-09,73
2011-11-10,74
2011-11-11,75
2011-11-12,77
2011-11-13,80
2011-11-14,79
2011-11-15,76
2011-11-16,76
2011-11-17,75
2011-11-18,75
2011-11-19,75
2011-11-20,75
2011-11-21,73
2011-11-22,70
2011-11-23,68
2011-11-24,71
2011-11-25,64
2011-11-26,63
2011-11-27,64
2011-11-28,66
2011-11-29,65
2011-11-30,65
2011-12-01,66
2011-12-02,67
2011-12-03,68
2011-12-04,69
2011-12-05,69
2011-12-06,67
2011-12-07,66
2011-12-08,67
2011-12-09,66
2011-12-10,66
2011-12-11,68
2011-12-12,67
2011-12-13,68
2011-12-14,68
2011-12-15,69
2011-12-16,70
2011-12-17,71
2011-12-18,72
2011-12-19,71
2011-12-20,71
2011-12-21,71
2011-12-22,72
2011-12-23,72
2011-12-24,73
2011-12-25,76
2011-12-26,74
2011-12-27,76
2011-12-28,77
2011-12-29,79
2011-12-30,80
2011-12-31,82
2012-01-01,84
2012-01-02,81
2012-01-03,79
2012-01-04,79
2012-01-05,78
2012-01-06,77
2012-01-07,77
2012-01-08,77
2012-01-09,78
2012-01-10,76
2012-01-11,76
2012-01-12,75
2012-01-13,75
2012-01-14,75
2012-01-15,76
2012-01-16,76
2012-01-17,75
2012-01-18,75
2012-01-19,75
2012-01-20,75
2012-01-21,75
2012-01-22,77
2012-01-23,77
2012-01-24,76
2012-01-25,76
2012-01-26,77
2012-01-27,77
2012-01-28,78
2012-01-29,79
2012-01-30,80
2012-01-31,78
2012-02-01,78
2012-02-02,79
2012-02-03,78
2012-02-04,79
2012-02-05,81
2012-02-06,81
2012-02-07,78
2012-02-08,78
2012-02-09,78
2012-02-10,78
2012-02-11,78
2012-02-12,81
2012-02-13,80
2012-02-14,80
2012-02-15,81
2012-02-16,82
2012-02-17,82
2012-02-18,83
2012-02-19,84
2012-02-20,85
2012-02-21,84
2012-02-22,84
2012-02-23,84
2012-02-24,84
2012-02-25,85
2012-02-26,88
2012-02-27,90
2012-02-28,88
2012-02-29,89
2012-03-01,90
2012-03-02,91
2012-03-03,94
2012-03-04,95
2012-03-05,92
2012-03-06,91
2012-03-07,89
2012-03-08,88
2012-03-09,87
2012-03-10,87
2012-03-11,88
2012-03-12,85
2012-03-13,84
2012-03-14,83
2012-03-15,82
2012-03-16,81
2012-03-17,80
2012-03-18,81
2012-03-19,81
2012-03-20,79
2012-03-21,79
2012-03-22,79
2012-03-23,79
2012-03-24,79
2012-03-25,81
2012-03-26,81
2012-03-27,80
2012-03-28,80
2012-03-29,81
2012-03-30,81
2012-03-31,82
2012-04-01,82
2012-04-02,83
2012-04-03,81
2012-04-04,81
2012-04-05,81
2012-04-06,81
2012-04-07,81
2012-04-08,82
2012-04-09,82
2012-04-10,80
2012-04-11,79
2012-04-12,79
2012-04-13,79
2012-04-14,79
2012-04-15,79
2012-04-16,81
2012-04-17,79
2012-04-18,79
2012-04-19,79
2012-04-20,79
2012-04-21,80
2012-04-22,80
2012-04-23,81
2012-04-24,80
2012-04-25,80
2012-04-26,80
2012-04-27,80
2012-04-28,80
2012-04-29,80
2012-04-30,83
2012-05-01,81
2012-05-02,83
2012-05-03,82
2012-05-04,82
2012-05-05,83
2012-05-06,84
2012-05-07,83
2012-05-08,82
2012-05-09,82
2012-05-10,82
2012-05-11,82
2012-05-12,82
2012-05-13,83
2012-05-14,84
2012-05-15,82
2012-05-16,82
2012-05-17,82
2012-05-18,82
2012-05-19,83
2012-05-20,84
2012-05-21,84
2012-05-22,83
2012-05-23,84
2012-05-24,84
2012-05-25,84
2012-05-26,85
2012-05-27,85
2012-05-28,88
2012-05-29,84
2012-05-30,84
2012-05-31,84
2012-06-01,84
2012-06-02,84
2012-06-03,86
2012-06-04,85
2012-06-05,84
2012-06-06,84
2012-06-07,84
2012-06-08,84
2012-06-09,85
2012-06-10,87
2012-06-11,86
2012-06-12,86
2012-06-13,87
2012-06-14,87
2012-06-15,88
2012-06-16,89
2012-06-17,89
2012-06-18,92
2012-06-19,90
2012-06-20,90
2012-06-21,91
2012-06-22,91
2012-06-23,92
2012-06-24,94
2012-06-25,94
2012-06-26,93
2012-06-27,93
2012-06-28,94
2012-06-29,94
2012-06-30,95
2012-07-01,94
2012-07-02,96
2012-07-03,92
2012-07-04,94
2012-07-05,90
2012-07-06,89
2012-07-07,89
2012-07-08,91
2012-07-09,92
2012-07-10,91
2012-07-11,92
2012-07-12,93
2012-07-13,94
2012-07-14,95
2012-07-15,95
2012-07-16,96
2012-07-17,95
2012-07-18,95
2012-07-19,95
2012-07-20,95
2012-07-21,95
2012-07-22,96
2012-07-23,97
2012-07-24,95
2012-07-25,96
2012-07-26,96
2012-07-27,96
2012-07-28,97
2012-07-29,98
2012-07-30,99
2012-07-31,98
2012-08-01,98
2012-08-02,99
2012-08-03,99
2012-08-04,100
2012-08-05,100
2012-08-06,102
2012-08-07,100
2012-08-08,100
2012-08-09,100
2012-08-10,100
2012-08-11,100
2012-08-12,100
2012-08-13,101
2012-08-14,99
2012-08-15,98
2012-08-16,98
2012-08-17,98
2012-08-18,98
2012-08-19,99
2012-08-20,99
2012-08-21,99
