Date,LipoScience
2010-12-01,47
2010-12-02,46
2010-12-03,46
2010-12-04,46
2010-12-05,46
2010-12-06,46
2010-12-07,46
2010-12-08,46
2010-12-09,45
2010-12-10,45
2010-12-11,45
2010-12-12,45
2010-12-13,45
2010-12-14,45
2010-12-15,45
2010-12-16,45
2010-12-17,44
2010-12-18,44
2010-12-19,44
2010-12-20,44
2010-12-21,44
2010-12-22,44
2010-12-23,44
2010-12-24,44
2010-12-25,43
2010-12-26,43
2010-12-27,43
2010-12-28,43
2010-12-29,43
2010-12-30,43
2010-12-31,43
2011-01-01,43
2011-01-02,44
2011-01-03,46
2011-01-04,48
2011-01-05,50
2011-01-06,52
2011-01-07,54
2011-01-08,55
2011-01-09,57
2011-01-10,59
2011-01-11,61
2011-01-12,63
2011-01-13,65
2011-01-14,66
2011-01-15,68
2011-01-16,70
2011-01-17,72
2011-01-18,74
2011-01-19,76
2011-01-20,77
2011-01-21,79
2011-01-22,81
2011-01-23,83
2011-01-24,85
2011-01-25,87
2011-01-26,88
2011-01-27,90
2011-01-28,92
2011-01-29,94
2011-01-30,96
2011-01-31,98
2011-02-01,100
2011-02-02,99
2011-02-03,99
2011-02-04,98
2011-02-05,98
2011-02-06,98
2011-02-07,97
2011-02-08,97
2011-02-09,97
2011-02-10,96
2011-02-11,96
2011-02-12,96
2011-02-13,95
2011-02-14,95
2011-02-15,95
2011-02-16,94
2011-02-17,94
2011-02-18,93
2011-02-19,93
2011-02-20,93
2011-02-21,92
2011-02-22,92
2011-02-23,92
2011-02-24,91
2011-02-25,91
2011-02-26,91
2011-02-27,90
2011-02-28,90
2011-03-01,90
2011-03-02,89
2011-03-03,88
2011-03-04,88
2011-03-05,87
2011-03-06,87
2011-03-07,86
2011-03-08,85
2011-03-09,85
2011-03-10,84
2011-03-11,84
2011-03-12,83
2011-03-13,83
2011-03-14,82
2011-03-15,81
2011-03-16,81
2011-03-17,80
2011-03-18,80
2011-03-19,79
2011-03-20,78
2011-03-21,78
2011-03-22,77
2011-03-23,77
2011-03-24,76
2011-03-25,76
2011-03-26,75
2011-03-27,74
2011-03-28,74
2011-03-29,73
2011-03-30,73
2011-03-31,72
2011-04-01,72
2011-04-02,71
2011-04-03,70
2011-04-04,70
2011-04-05,69
2011-04-06,69
2011-04-07,68
2011-04-08,68
2011-04-09,67
2011-04-10,66
2011-04-11,66
2011-04-12,65
2011-04-13,65
2011-04-14,64
2011-04-15,64
2011-04-16,63
2011-04-17,62
2011-04-18,62
2011-04-19,61
2011-04-20,61
2011-04-21,60
2011-04-22,60
2011-04-23,59
2011-04-24,58
2011-04-25,58
2011-04-26,57
2011-04-27,57
2011-04-28,56
2011-04-29,56
2011-04-30,55
2011-05-01,55
2011-05-02,56
2011-05-03,57
2011-05-04,58
2011-05-05,59
2011-05-06,60
2011-05-07,61
2011-05-08,62
2011-05-09,64
2011-05-10,65
2011-05-11,66
2011-05-12,67
2011-05-13,68
2011-05-14,69
2011-05-15,70
2011-05-16,71
2011-05-17,73
2011-05-18,74
2011-05-19,75
2011-05-20,76
2011-05-21,77
2011-05-22,78
2011-05-23,79
2011-05-24,80
2011-05-25,82
2011-05-26,83
2011-05-27,84
2011-05-28,85
2011-05-29,86
2011-05-30,87
2011-05-31,88
2011-06-01,90
2011-06-02,88
2011-06-03,86
2011-06-04,85
2011-06-05,83
2011-06-06,82
2011-06-07,80
2011-06-08,79
2011-06-09,77
2011-06-10,76
2011-06-11,74
2011-06-12,73
2011-06-13,71
2011-06-14,70
2011-06-15,68
2011-06-16,67
2011-06-17,65
2011-06-18,63
2011-06-19,62
2011-06-20,60
2011-06-21,59
2011-06-22,57
2011-06-23,56
2011-06-24,54
2011-06-25,53
2011-06-26,51
2011-06-27,50
2011-06-28,48
2011-06-29,47
2011-06-30,45
2011-07-01,44
2011-07-02,45
2011-07-03,46
2011-07-04,47
2011-07-05,48
2011-07-06,49
2011-07-07,50
2011-07-08,51
2011-07-09,52
2011-07-10,53
2011-07-11,54
2011-07-12,56
2011-07-13,57
2011-07-14,58
2011-07-15,59
2011-07-16,60
2011-07-17,61
2011-07-18,62
2011-07-19,63
2011-07-20,64
2011-07-21,65
2011-07-22,67
2011-07-23,68
2011-07-24,69
2011-07-25,70
2011-07-26,71
2011-07-27,72
2011-07-28,73
2011-07-29,74
2011-07-30,75
2011-07-31,76
2011-08-01,78
2011-08-02,77
2011-08-03,76
2011-08-04,75
2011-08-05,74
2011-08-06,73
2011-08-07,72
2011-08-08,72
2011-08-09,71
2011-08-10,70
2011-08-11,69
2011-08-12,68
2011-08-13,67
2011-08-14,67
2011-08-15,66
2011-08-16,65
2011-08-17,64
2011-08-18,63
2011-08-19,62
2011-08-20,62
2011-08-21,61
2011-08-22,60
2011-08-23,59
2011-08-24,58
2011-08-25,57
2011-08-26,57
2011-08-27,56
2011-08-28,55
2011-08-29,54
2011-08-30,53
2011-08-31,52
2011-09-01,52
2011-09-02,52
2011-09-03,52
2011-09-04,52
2011-09-05,52
2011-09-06,52
2011-09-07,52
2011-09-08,52
2011-09-09,52
2011-09-10,52
2011-09-11,52
2011-09-12,52
2011-09-13,52
2011-09-14,52
2011-09-15,52
2011-09-16,53
2011-09-17,53
2011-09-18,53
2011-09-19,53
2011-09-20,53
2011-09-21,53
2011-09-22,53
2011-09-23,53
2011-09-24,53
2011-09-25,53
2011-09-26,53
2011-09-27,53
2011-09-28,53
2011-09-29,53
2011-09-30,53
2011-10-01,54
2011-10-02,53
2011-10-03,53
2011-10-04,53
2011-10-05,53
2011-10-06,53
2011-10-07,53
2011-10-08,52
2011-10-09,52
2011-10-10,52
2011-10-11,52
2011-10-12,52
2011-10-13,52
2011-10-14,51
2011-10-15,51
2011-10-16,51
2011-10-17,51
2011-10-18,51
2011-10-19,51
2011-10-20,50
2011-10-21,50
2011-10-22,50
2011-10-23,50
2011-10-24,50
2011-10-25,50
2011-10-26,49
2011-10-27,49
2011-10-28,49
2011-10-29,49
2011-10-30,49
2011-10-31,49
2011-11-01,49
2011-11-02,49
2011-11-03,49
2011-11-04,49
2011-11-05,49
2011-11-06,50
2011-11-07,50
2011-11-08,50
2011-11-09,50
2011-11-10,51
2011-11-11,51
2011-11-12,51
2011-11-13,51
2011-11-14,52
2011-11-15,52
2011-11-16,52
2011-11-17,52
2011-11-18,52
2011-11-19,53
2011-11-20,53
2011-11-21,53
2011-11-22,53
2011-11-23,54
2011-11-24,54
2011-11-25,54
2011-11-26,54
2011-11-27,55
2011-11-28,55
2011-11-29,55
2011-11-30,55
2011-12-01,56
2011-12-02,56
2011-12-03,57
2011-12-04,57
2011-12-05,58
2011-12-06,59
2011-12-07,59
2011-12-08,60
2011-12-09,60
2011-12-10,61
2011-12-11,62
2011-12-12,62
2011-12-13,63
2011-12-14,63
2011-12-15,64
2011-12-16,65
2011-12-17,65
2011-12-18,66
2011-12-19,67
2011-12-20,67
2011-12-21,68
2011-12-22,68
2011-12-23,69
2011-12-24,70
2011-12-25,70
