Date,Friendfinder Networks
2010-11-01,30
2010-11-02,24
2010-11-03,18
2010-11-04,12
2010-11-05,6
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,7
2011-01-10,14
2011-01-11,21
2011-01-12,28
2011-01-13,35
2011-01-14,42
2011-01-15,49
2011-01-16,46
2011-01-17,43
2011-01-18,40
2011-01-19,38
2011-01-20,35
2011-01-21,32
2011-01-22,30
2011-01-23,30
2011-01-24,30
2011-01-25,30
2011-01-26,30
2011-01-27,30
2011-01-28,30
2011-01-29,30
2011-01-30,31
2011-01-31,32
2011-02-01,33
2011-02-02,34
2011-02-03,35
2011-02-04,36
2011-02-05,37
2011-02-06,37
2011-02-07,37
2011-02-08,37
2011-02-09,37
2011-02-10,37
2011-02-11,37
2011-02-12,38
2011-02-13,38
2011-02-14,38
2011-02-15,38
2011-02-16,38
2011-02-17,38
2011-02-18,38
2011-02-19,39
2011-02-20,39
2011-02-21,39
2011-02-22,39
2011-02-23,39
2011-02-24,39
2011-02-25,39
2011-02-26,39
2011-02-27,39
2011-02-28,39
2011-03-01,39
2011-03-02,39
2011-03-03,39
2011-03-04,39
2011-03-05,40
2011-03-06,40
2011-03-07,40
2011-03-08,40
2011-03-09,40
2011-03-10,40
2011-03-11,40
2011-03-12,40
2011-03-13,40
2011-03-14,40
2011-03-15,40
2011-03-16,40
2011-03-17,40
2011-03-18,40
2011-03-19,41
2011-03-20,41
2011-03-21,41
2011-03-22,41
2011-03-23,41
2011-03-24,41
2011-03-25,41
2011-03-26,42
2011-03-27,42
2011-03-28,42
2011-03-29,42
2011-03-30,42
2011-03-31,42
2011-04-01,42
2011-04-02,43
2011-04-03,43
2011-04-04,43
2011-04-05,43
2011-04-06,43
2011-04-07,43
2011-04-08,43
2011-04-09,44
2011-04-10,42
2011-04-11,41
2011-04-12,40
2011-04-13,38
2011-04-14,37
2011-04-15,36
2011-04-16,35
2011-04-17,39
2011-04-18,43
2011-04-19,47
2011-04-20,52
2011-04-21,56
2011-04-22,60
2011-04-23,65
2011-04-24,63
2011-04-25,61
2011-04-26,60
2011-04-27,58
2011-04-28,57
2011-04-29,55
2011-04-30,54
2011-05-01,52
2011-05-02,50
2011-05-03,48
