Date,Cortina Systems
2013-12-30,69
2013-12-31,70
2014-01-01,72
2014-01-02,71
2014-01-03,71
2014-01-04,70
2014-01-05,70
2014-01-06,69
2014-01-07,69
2014-01-08,69
2014-01-09,68
2014-01-10,68
2014-01-11,67
2014-01-12,67
2014-01-13,66
2014-01-14,66
2014-01-15,66
2014-01-16,65
2014-01-17,65
2014-01-18,64
2014-01-19,64
2014-01-20,64
2014-01-21,63
2014-01-22,63
2014-01-23,62
2014-01-24,62
2014-01-25,61
2014-01-26,61
2014-01-27,61
2014-01-28,60
2014-01-29,60
2014-01-30,59
2014-01-31,59
2014-02-01,59
2014-02-02,59
2014-02-03,59
2014-02-04,59
2014-02-05,59
2014-02-06,59
2014-02-07,59
2014-02-08,60
2014-02-09,60
2014-02-10,60
2014-02-11,60
2014-02-12,60
2014-02-13,60
2014-02-14,60
2014-02-15,61
2014-02-16,61
2014-02-17,61
2014-02-18,61
2014-02-19,61
2014-02-20,61
2014-02-21,61
2014-02-22,62
2014-02-23,62
2014-02-24,62
2014-02-25,62
2014-02-26,62
2014-02-27,62
2014-02-28,62
