Date,Reliant
2007-02-10,0
2007-02-11,5
2007-02-12,11
2007-02-13,17
2007-02-14,22
2007-02-15,28
2007-02-16,34
2007-02-17,40
2007-02-18,48
2007-02-19,57
2007-02-20,65
2007-02-21,74
2007-02-22,82
2007-02-23,91
2007-02-24,100
2007-02-25,90
2007-02-26,81
2007-02-27,72
2007-02-28,62
2007-03-01,53
2007-03-02,44
2007-03-03,35
2007-03-04,35
2007-03-05,35
2007-03-06,35
2007-03-07,35
2007-03-08,35
2007-03-09,35
2007-03-10,35
2007-03-11,36
2007-03-12,37
2007-03-13,38
2007-03-14,39
2007-03-15,40
2007-03-16,41
2007-03-17,42
2007-03-18,41
2007-03-19,40
2007-03-20,40
2007-03-21,39
2007-03-22,39
2007-03-23,38
2007-03-24,38
2007-03-25,38
2007-03-26,38
2007-03-27,38
2007-03-28,38
2007-03-29,38
2007-03-30,38
2007-03-31,38
2007-04-01,38
2007-04-02,38
2007-04-03,38
2007-04-04,38
2007-04-05,38
2007-04-06,38
2007-04-07,38
2007-04-08,38
2007-04-09,38
2007-04-10,38
2007-04-11,38
2007-04-12,38
2007-04-13,38
2007-04-14,38
2007-04-15,38
2007-04-16,38
2007-04-17,38
2007-04-18,38
2007-04-19,38
2007-04-20,38
2007-04-21,38
2007-04-22,37
2007-04-23,36
2007-04-24,36
2007-04-25,35
2007-04-26,35
2007-04-27,34
2007-04-28,34
2007-04-29,34
2007-04-30,34
2007-05-06,37
2007-05-07,37
2007-05-08,38
2007-05-09,38
2007-05-10,39
2007-05-11,39
2007-05-12,40
2007-05-13,38
2007-05-14,37
2007-05-15,36
2007-05-16,34
2007-05-17,33
2007-05-18,32
2007-05-19,31
2007-05-20,31
2007-05-21,31
2007-05-22,31
2007-05-23,31
2007-05-24,31
2007-05-25,31
2007-05-26,31
2007-05-27,31
2007-05-28,31
2007-05-29,31
2007-05-30,31
2007-05-31,31
2007-06-01,31
2007-06-02,31
2007-06-03,31
2007-06-04,31
2007-06-05,31
2007-06-06,31
2007-06-07,31
2007-06-08,31
2007-06-09,31
2007-06-10,31
2007-06-11,31
2007-06-12,31
2007-06-13,31
2007-06-14,31
2007-06-15,31
2007-06-16,31
2007-06-17,33
2007-06-18,35
2007-06-19,37
2007-06-20,39
2007-06-21,41
2007-06-22,43
2007-06-23,45
2007-06-24,43
2007-06-25,41
2007-06-26,39
2007-06-27,37
2007-06-28,35
2007-06-29,33
2007-06-30,32
2007-07-01,32
2007-07-02,32
2007-07-03,32
2007-07-04,32
2007-07-05,32
2007-07-06,32
2007-07-07,32
2007-07-08,32
2007-07-09,32
2007-07-10,33
2007-07-11,33
2007-07-12,34
2007-07-13,34
2007-07-14,35
2007-07-15,35
2007-07-16,35
2007-07-17,36
2007-07-18,36
2007-07-19,37
2007-07-20,37
2007-07-21,38
2007-07-22,38
2007-07-23,39
2007-07-24,40
2007-07-25,41
2007-07-26,42
2007-07-27,43
2007-07-28,45
2007-07-29,41
2007-08-05,41
2007-08-06,41
2007-08-07,41
2007-08-08,41
2007-08-09,41
2007-08-10,41
2007-08-11,41
2007-08-12,41
2007-08-13,41
2007-08-14,41
2007-08-15,41
2007-08-16,41
2007-08-17,41
2007-08-18,41
2007-08-19,41
2007-08-20,41
2007-08-21,41
2007-08-22,42
2007-08-23,42
2007-08-24,42
2007-08-25,43
2007-08-26,43
2007-08-27,50
2007-08-28,43
2007-08-29,44
2007-08-30,44
2007-08-31,44
2007-09-01,45
2007-09-02,45
2007-09-03,45
2007-09-04,46
2007-09-05,46
2007-09-06,46
2007-09-07,47
2007-09-08,47
2007-09-09,45
2007-09-10,42
2007-09-11,40
2007-09-12,37
2007-09-13,35
2007-09-14,33
2007-09-15,31
2007-09-16,31
2007-09-17,32
2007-09-18,33
2007-09-19,34
2007-09-20,35
2007-09-21,36
2007-09-22,37
2007-09-23,36
2007-09-24,34
2007-09-25,33
2007-09-26,31
2007-09-27,30
2007-09-28,29
2007-09-29,28
2007-09-30,28
2007-10-01,28
2007-10-02,28
2007-10-03,28
2007-10-04,28
2007-10-05,28
2007-10-06,28
2007-10-07,28
2007-10-08,28
2007-10-09,28
2007-10-10,28
2007-10-11,28
2007-10-12,28
2007-10-13,28
2007-10-14,28
2007-10-15,29
2007-10-16,29
2007-10-17,29
2007-10-18,30
2007-10-19,30
2007-10-20,32
2007-10-21,29
2007-10-22,29
2007-10-23,29
2007-10-24,29
2007-10-25,29
2007-10-26,29
2007-10-27,29
2007-10-28,24
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2007-12-17,0
2007-12-18,0
2007-12-19,0
2007-12-20,0
2007-12-21,0
2007-12-22,0
2007-12-23,5
2007-12-24,10
2007-12-25,15
2007-12-26,20
2007-12-27,25
2007-12-28,31
2007-12-29,36
2007-12-30,35
2007-12-31,35
2008-01-01,34
2008-01-02,34
2008-01-03,33
2008-01-04,33
2008-01-05,33
2008-01-06,33
2008-01-07,33
2008-01-08,33
2008-01-09,33
2008-01-10,33
2008-01-11,33
2008-01-12,33
2008-01-13,33
2008-01-14,33
2008-01-15,34
2008-01-16,34
2008-01-17,34
2008-01-18,35
2008-01-19,36
2008-01-20,33
2008-01-21,33
2008-01-22,34
2008-01-23,34
2008-01-24,35
2008-01-25,35
2008-01-26,36
2008-01-27,35
2008-02-03,29
2008-02-04,29
2008-02-05,29
2008-02-06,29
2008-02-07,29
2008-02-08,29
2008-02-09,29
2008-02-10,29
2008-02-11,29
2008-02-12,29
2008-02-13,30
2008-02-14,30
2008-02-15,30
2008-02-16,31
2008-02-17,31
2008-02-18,31
2008-02-19,32
2008-02-20,32
2008-02-21,32
2008-02-22,33
2008-02-23,33
2008-02-24,32
2008-02-25,32
2008-02-26,31
2008-02-27,31
2008-02-28,30
2008-02-29,30
2008-03-01,30
2008-03-02,30
2008-03-03,30
2008-03-04,30
2008-03-05,30
2008-03-06,30
2008-03-07,30
2008-03-08,30
2008-03-09,30
2008-03-10,30
2008-03-11,30
2008-03-12,30
2008-03-13,30
2008-03-14,30
2008-03-15,30
2008-03-16,30
2008-03-17,30
2008-03-18,30
2008-03-19,30
2008-03-20,31
2008-03-21,31
2008-03-22,31
2008-03-23,30
2008-03-24,28
2008-03-25,27
2008-03-26,26
2008-03-27,25
2008-03-28,24
2008-03-29,23
2008-03-30,23
2008-03-31,24
2008-04-01,24
2008-04-02,25
2008-04-03,25
2008-04-04,26
2008-04-05,27
2008-04-06,28
