Date,Tangoe
2010-08-03,15
2010-08-04,20
2010-08-05,25
2010-08-06,31
2010-08-07,36
2010-08-08,31
2010-08-09,25
2010-08-10,20
2010-08-11,15
2010-08-12,10
2010-08-13,5
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,0
2010-09-09,0
2010-09-10,0
2010-09-11,0
2010-09-12,2
2010-09-13,5
2010-09-14,8
2010-09-15,11
2010-09-16,14
2010-09-17,17
2010-09-18,20
2010-09-19,20
2010-09-20,21
2010-09-21,22
2010-09-22,23
2010-09-23,24
2010-09-24,25
2010-09-25,26
2010-09-26,25
2010-10-03,24
2010-10-04,24
2010-10-05,24
2010-10-06,24
2010-10-07,24
2010-10-08,24
2010-10-09,24
2010-10-10,24
2010-10-11,30
2010-10-12,25
2010-10-13,25
2010-10-14,26
2010-10-15,26
2010-10-16,27
2010-10-17,27
2010-10-18,27
2010-10-19,27
2010-10-20,28
2010-10-21,28
2010-10-22,28
2010-10-23,29
2010-10-24,29
2010-10-25,30
2010-10-26,31
2010-10-27,32
2010-10-28,33
2010-10-29,34
2010-10-30,35
2010-10-31,32
2010-11-01,30
2010-11-02,28
2010-11-03,25
2010-11-04,23
2010-11-05,21
2010-11-06,19
2010-11-07,19
2010-11-08,20
2010-11-09,20
2010-11-10,21
2010-11-11,21
2010-11-12,22
2010-11-13,23
2010-11-14,23
2010-11-15,23
2010-11-16,23
2010-11-17,23
2010-11-18,23
2010-11-19,23
2010-11-20,23
2010-11-21,22
2010-11-22,21
2010-11-23,21
2010-11-24,20
2010-11-25,20
2010-11-26,19
2010-11-27,19
2010-11-28,19
2010-11-29,19
2010-11-30,20
2010-12-01,20
2010-12-02,21
2010-12-03,21
2010-12-04,22
2010-12-05,22
2010-12-06,23
2010-12-07,24
2010-12-08,25
2010-12-09,26
2010-12-10,27
2010-12-11,28
2010-12-12,27
2010-12-13,28
2010-12-14,28
2010-12-15,27
2010-12-16,27
2010-12-17,28
2010-12-18,28
2010-12-19,26
2010-12-20,26
2010-12-21,26
2010-12-22,26
2010-12-23,26
2010-12-24,26
2010-12-25,26
2010-12-26,26
2011-01-02,26
2011-01-03,26
2011-01-04,26
2011-01-05,26
2011-01-06,26
2011-01-07,26
2011-01-08,26
2011-01-09,26
2011-01-10,26
2011-01-11,26
2011-01-12,26
2011-01-13,26
2011-01-14,26
2011-01-15,27
2011-01-16,27
2011-01-17,27
2011-01-18,28
2011-01-19,28
2011-01-20,28
2011-01-21,28
2011-01-22,29
2011-01-23,29
2011-01-24,29
2011-01-25,30
2011-01-26,30
2011-01-27,31
2011-01-28,31
2011-01-29,32
2011-01-30,31
2011-01-31,30
2011-02-01,30
2011-02-02,29
2011-02-03,28
2011-02-04,28
2011-02-05,27
2011-02-06,27
2011-02-07,28
2011-02-08,28
2011-02-09,29
2011-02-10,29
2011-02-11,30
2011-02-12,31
2011-02-13,31
2011-02-14,32
2011-02-15,32
2011-02-16,33
2011-02-17,33
2011-02-18,34
2011-02-19,35
2011-02-20,35
2011-02-21,37
2011-02-22,38
2011-02-23,39
2011-02-24,39
2011-02-25,40
2011-02-26,41
2011-02-27,39
2011-02-28,36
2011-03-01,33
2011-03-02,31
2011-03-03,28
2011-03-04,26
2011-03-05,24
2011-03-06,25
2011-03-07,26
2011-03-08,27
2011-03-09,28
2011-03-10,29
2011-03-11,30
2011-03-12,32
2011-03-13,33
2011-03-14,34
2011-03-15,35
2011-03-16,36
2011-03-17,38
2011-03-18,39
2011-03-19,40
2011-03-20,41
2011-03-21,41
2011-03-22,42
2011-03-23,43
2011-03-24,44
2011-03-25,44
2011-03-26,45
2011-03-27,42
2011-04-03,24
2011-04-04,24
2011-04-05,25
2011-04-06,25
2011-04-07,25
2011-04-08,26
2011-04-09,26
2011-04-10,25
2011-04-11,24
2011-04-12,23
2011-04-13,22
2011-04-14,21
2011-04-15,20
2011-04-16,19
2011-04-17,21
2011-04-18,23
2011-04-19,25
2011-04-20,27
2011-04-21,29
2011-04-22,31
2011-04-23,33
2011-04-24,33
2011-04-25,34
2011-04-26,34
2011-04-27,35
2011-04-28,35
2011-04-29,35
2011-04-30,36
2011-05-01,34
2011-05-02,33
2011-05-03,31
2011-05-04,30
2011-05-05,28
2011-05-06,27
2011-05-07,26
2011-05-08,25
2011-05-09,24
2011-05-10,23
2011-05-11,23
2011-05-12,22
2011-05-13,21
2011-05-14,21
2011-05-15,22
2011-05-16,23
2011-05-17,25
2011-05-18,26
2011-05-19,28
2011-05-20,29
2011-05-21,31
2011-05-22,30
2011-05-23,29
2011-05-24,28
2011-05-25,27
2011-05-26,26
2011-05-27,25
2011-05-28,24
2011-05-29,24
2011-05-30,24
2011-05-31,24
2011-06-01,25
2011-06-02,25
2011-06-03,25
2011-06-04,26
2011-06-05,26
2011-06-06,27
2011-06-07,28
2011-06-08,29
2011-06-09,30
2011-06-10,31
2011-06-11,32
2011-06-12,29
2011-06-13,27
2011-06-14,25
2011-06-15,23
2011-06-16,21
2011-06-17,19
2011-06-18,17
2011-06-19,18
2011-06-20,20
2011-06-21,22
2011-06-22,23
2011-06-23,25
2011-06-24,27
2011-06-25,29
2011-06-26,29
2011-07-03,29
2011-07-04,30
2011-07-05,31
2011-07-06,33
2011-07-07,34
2011-07-08,35
2011-07-09,37
2011-07-10,38
2011-07-11,40
2011-07-12,41
2011-07-13,43
2011-07-14,44
2011-07-15,46
2011-07-16,47
2011-07-17,44
2011-07-18,39
2011-07-19,36
2011-07-20,32
2011-07-21,29
2011-07-22,25
2011-07-23,22
2011-07-24,33
2011-07-25,45
2011-07-26,56
2011-07-27,67
2011-07-28,79
2011-07-29,91
2011-07-30,102
2011-07-31,94
2011-08-01,83
2011-08-02,75
2011-08-03,66
2011-08-04,58
2011-08-05,49
2011-08-06,41
2011-08-07,39
2011-08-08,37
2011-08-09,35
2011-08-10,34
2011-08-11,32
2011-08-12,30
2011-08-13,29
2011-08-14,28
2011-08-15,27
2011-08-16,26
2011-08-17,25
2011-08-18,24
2011-08-19,23
2011-08-20,22
2011-08-21,22
2011-08-22,22
2011-08-23,23
2011-08-24,23
2011-08-25,24
2011-08-26,24
2011-08-27,25
2011-08-28,26
2011-08-29,27
2011-08-30,28
2011-08-31,29
2011-09-01,30
2011-09-02,31
2011-09-03,32
2011-09-04,30
2011-09-05,27
2011-09-06,25
2011-09-07,23
2011-09-08,21
2011-09-09,19
2011-09-10,17
2011-09-11,19
2011-09-12,21
2011-09-13,23
2011-09-14,26
2011-09-15,28
2011-09-16,30
2011-09-17,33
2011-09-18,33
2011-09-19,34
2011-09-20,34
2011-09-21,35
2011-09-22,35
2011-09-23,35
2011-09-24,36
2011-09-25,35
