Date,Facebook
2011-08-01,77
2011-08-02,77
2011-08-03,77
2011-08-04,77
2011-08-05,77
2011-08-06,78
2011-08-07,79
2011-08-08,80
2011-08-09,78
2011-08-10,79
2011-08-11,79
2011-08-12,81
2011-08-13,80
2011-08-14,79
2011-08-15,79
2011-08-16,78
2011-08-17,77
2011-08-18,77
2011-08-19,76
2011-08-20,76
2011-08-21,76
2011-08-22,78
2011-08-23,78
2011-08-24,78
2011-08-25,79
2011-08-26,79
2011-08-27,80
2011-08-28,79
2011-08-29,81
2011-08-30,78
2011-08-31,78
2011-09-01,77
2011-09-02,76
2011-09-03,76
2011-09-04,77
2011-09-05,77
2011-09-06,77
2011-09-07,77
2011-09-08,77
2011-09-09,77
2011-09-10,78
2011-09-11,78
2011-09-12,78
2011-09-13,78
2011-09-14,78
2011-09-15,78
2011-09-16,78
2011-09-17,78
2011-09-18,78
2011-09-19,79
2011-09-20,79
2011-09-21,78
2011-09-22,78
2011-09-23,78
2011-09-24,79
2011-09-25,78
2011-09-26,80
2011-09-27,78
2011-09-28,77
2011-09-29,77
2011-09-30,77
2011-10-01,77
2011-10-02,77
2011-10-03,78
2011-10-04,77
2011-10-05,78
2011-10-06,77
2011-10-07,77
2011-10-08,78
2011-10-09,77
2011-10-10,78
2011-10-11,76
2011-10-12,75
2011-10-13,75
2011-10-14,74
2011-10-15,74
2011-10-16,74
2011-10-17,75
2011-10-18,75
2011-10-19,75
2011-10-20,75
2011-10-21,75
2011-10-22,76
2011-10-23,77
2011-10-24,77
2011-10-25,76
2011-10-26,76
2011-10-27,76
2011-10-28,76
2011-10-29,76
2011-10-30,77
2011-10-31,77
2011-11-01,76
2011-11-02,76
2011-11-03,76
2011-11-04,76
2011-11-05,77
2011-11-06,77
2011-11-07,78
2011-11-08,77
2011-11-09,77
2011-11-10,77
2011-11-11,77
2011-11-12,78
2011-11-13,78
2011-11-14,78
2011-11-15,76
2011-11-16,75
2011-11-17,75
2011-11-18,74
2011-11-19,74
2011-11-20,74
2011-11-21,76
2011-11-22,74
2011-11-23,75
2011-11-24,75
2011-11-25,75
2011-11-26,76
2011-11-27,76
2011-11-28,76
2011-11-29,75
2011-11-30,74
2011-12-01,74
2011-12-02,74
2011-12-03,74
2011-12-04,74
2011-12-05,75
2011-12-06,74
2011-12-07,74
2011-12-08,74
2011-12-09,74
2011-12-10,75
2011-12-11,75
2011-12-12,77
2011-12-13,75
2011-12-14,75
2011-12-15,75
2011-12-16,75
2011-12-17,76
2011-12-18,76
2011-12-19,77
2011-12-20,77
2011-12-21,77
2011-12-22,77
2011-12-23,77
2011-12-24,78
2011-12-25,78
2011-12-26,79
2011-12-27,81
2011-12-28,81
2011-12-29,81
2011-12-30,82
2011-12-31,83
2012-01-01,82
2012-01-02,83
2012-01-03,81
2012-01-04,80
2012-01-05,79
2012-01-06,78
2012-01-07,78
2012-01-08,78
2012-01-09,78
2012-01-10,76
2012-01-11,75
2012-01-12,75
2012-01-13,74
2012-01-14,74
2012-01-15,75
2012-01-16,75
2012-01-17,75
2012-01-18,75
2012-01-19,76
2012-01-20,76
2012-01-21,77
2012-01-22,77
2012-01-23,78
2012-01-24,77
2012-01-25,77
2012-01-26,77
2012-01-27,78
2012-01-28,78
2012-01-29,78
2012-01-30,79
2012-01-31,77
2012-02-01,77
2012-02-02,77
2012-02-03,77
2012-02-04,77
2012-02-05,77
2012-02-06,77
2012-02-07,76
2012-02-08,76
2012-02-09,76
2012-02-10,76
2012-02-11,76
2012-02-12,76
2012-02-13,77
2012-02-14,76
2012-02-15,76
2012-02-16,76
2012-02-17,76
2012-02-18,77
2012-02-19,77
2012-02-20,77
2012-02-21,77
2012-02-22,76
2012-02-23,76
2012-02-24,76
2012-02-25,76
2012-02-26,77
2012-02-27,77
2012-02-28,76
2012-02-29,76
