Date,Erickson Air-Crane
2009-11-01,48
2009-11-02,48
2009-11-03,48
2009-11-04,49
2009-11-05,49
2009-11-06,49
2009-11-07,50
2009-11-08,50
2009-11-09,51
2009-11-10,52
2009-11-11,52
2009-11-12,53
2009-11-13,54
2009-11-14,55
2009-11-15,55
2009-11-16,56
2009-11-17,57
2009-11-18,58
2009-11-19,59
2009-11-20,60
2009-11-21,61
2009-11-22,60
2009-11-23,59
2009-11-24,58
2009-11-25,57
2009-11-26,56
2009-11-27,56
2009-11-28,55
2009-11-29,56
2009-11-30,57
2009-12-01,58
2009-12-02,59
2009-12-03,60
2009-12-04,61
2009-12-05,62
2009-12-06,63
2009-12-07,64
2009-12-08,65
2009-12-09,66
2009-12-10,67
2009-12-11,68
2009-12-12,70
2009-12-13,71
2009-12-14,72
2009-12-15,73
2009-12-16,74
2009-12-17,75
2009-12-18,76
2009-12-19,78
2009-12-20,73
2009-12-21,69
2009-12-22,65
2009-12-23,61
2009-12-24,56
2009-12-25,52
2009-12-26,48
2009-12-27,48
2009-12-28,48
2009-12-29,48
2009-12-30,48
2009-12-31,48
2010-01-01,48
2010-01-02,48
2010-01-03,47
2010-01-04,46
2010-01-05,45
2010-01-06,44
2010-01-07,43
2010-01-08,42
2010-01-09,42
2010-01-10,42
2010-01-11,42
2010-01-12,42
2010-01-13,42
2010-01-14,42
2010-01-15,42
2010-01-16,42
2010-01-17,42
2010-01-18,42
2010-01-19,42
2010-01-20,42
2010-01-21,42
2010-01-22,42
2010-01-23,42
2010-01-24,41
2010-01-25,41
2010-01-26,41
2010-01-27,41
2010-01-28,41
2010-01-29,41
2010-01-30,41
2010-01-31,43
2010-02-07,64
2010-02-08,69
2010-02-09,73
2010-02-10,78
2010-02-11,82
2010-02-12,87
2010-02-13,91
2010-02-14,85
2010-02-15,78
2010-02-16,71
2010-02-17,65
2010-02-18,58
2010-02-19,52
2010-02-20,46
2010-02-21,49
2010-02-22,53
2010-02-23,57
2010-02-24,61
2010-02-25,65
2010-02-26,69
2010-02-27,73
2010-02-28,72
2010-03-01,70
2010-03-02,69
2010-03-03,67
2010-03-04,66
2010-03-05,65
2010-03-06,63
2010-03-07,61
2010-03-08,59
2010-03-09,57
2010-03-10,56
2010-03-11,54
2010-03-12,52
2010-03-13,51
2010-03-14,55
2010-03-15,59
2010-03-16,64
2010-03-17,68
2010-03-18,73
2010-03-19,77
2010-03-20,81
2010-03-21,79
2010-03-22,77
2010-03-23,75
2010-03-24,73
2010-03-25,71
2010-03-26,70
2010-03-27,69
2010-03-28,62
2010-05-02,58
2010-05-03,60
2010-05-04,62
2010-05-05,65
2010-05-06,67
2010-05-07,69
2010-05-08,72
2010-05-09,74
2010-05-10,76
2010-05-11,79
2010-05-12,81
2010-05-13,83
2010-05-14,85
2010-05-15,87
2010-05-16,83
2010-05-17,77
2010-05-18,72
2010-05-19,67
2010-05-20,62
2010-05-21,58
2010-05-22,53
2010-05-23,57
2010-05-24,60
2010-05-25,64
2010-05-26,68
2010-05-27,72
2010-05-28,76
2010-05-29,80
2010-05-30,79
2010-05-31,78
2010-06-01,77
2010-06-02,76
2010-06-03,75
2010-06-04,74
2010-06-05,74
2010-06-06,72
2010-06-07,71
2010-06-08,70
2010-06-09,68
2010-06-10,67
2010-06-11,66
2010-06-12,65
2010-06-13,64
2010-06-14,63
2010-06-15,62
2010-06-16,61
2010-06-17,60
2010-06-18,59
2010-06-19,58
2010-06-20,60
2010-06-21,62
2010-06-22,64
2010-06-23,66
2010-06-24,68
2010-06-25,70
2010-06-26,73
2010-06-27,76
2010-06-28,81
2010-06-29,85
2010-06-30,89
2010-07-01,93
2010-07-02,97
2010-07-03,101
2010-07-04,93
2010-07-05,84
2010-07-06,77
2010-07-07,69
2010-07-08,62
2010-07-09,54
2010-07-10,47
2010-07-11,47
2010-07-12,47
2010-07-13,47
2010-07-14,47
2010-07-15,47
2010-07-16,47
2010-07-17,47
2010-07-18,49
2010-07-19,51
2010-07-20,54
2010-07-21,56
2010-07-22,58
2010-07-23,61
2010-07-24,63
2010-07-25,63
2010-08-01,64
2010-08-02,64
2010-08-03,63
2010-08-04,63
2010-08-05,62
2010-08-06,62
2010-08-07,62
2010-08-08,59
2010-08-09,57
2010-08-10,55
2010-08-11,53
2010-08-12,51
2010-08-13,49
2010-08-14,47
2010-08-15,50
2010-08-16,54
2010-08-17,58
2010-08-18,61
2010-08-19,65
2010-08-20,69
2010-08-21,73
2010-08-22,70
2010-08-23,68
2010-08-24,66
2010-08-25,63
2010-08-26,61
2010-08-27,59
2010-08-28,57
2010-08-29,57
2010-08-30,57
2010-08-31,57
2010-09-01,57
2010-09-02,57
2010-09-03,57
2010-09-04,57
2010-09-05,57
2010-09-06,57
2010-09-07,57
2010-09-08,58
2010-09-09,58
2010-09-10,58
2010-09-11,58
2010-09-12,58
2010-09-13,57
2010-09-14,57
2010-09-15,56
2010-09-16,56
2010-09-17,56
2010-09-18,56
2010-09-19,57
2010-09-20,58
2010-09-21,59
2010-09-22,60
2010-09-23,61
2010-09-24,62
2010-09-25,63
2010-09-26,63
2010-09-27,63
2010-09-28,62
2010-09-29,62
2010-09-30,62
2010-10-01,62
2010-10-02,61
2010-10-03,57
2010-10-04,52
2010-10-05,48
2010-10-06,44
2010-10-07,40
2010-10-08,36
2010-10-09,32
2010-10-10,33
2010-10-11,34
2010-10-12,35
2010-10-13,36
2010-10-14,37
2010-10-15,38
2010-10-16,39
2010-10-17,40
2010-10-18,41
2010-10-19,42
2010-10-20,43
2010-10-21,44
2010-10-22,45
2010-10-23,46
2010-10-24,47
2010-10-25,48
2010-10-26,49
2010-10-27,50
