Date,MAP Pharmaceuticals
2006-12-01,0
2006-12-02,1
2006-12-03,3
2006-12-04,5
2006-12-05,7
2006-12-06,9
2006-12-07,11
2006-12-08,13
2006-12-09,15
2006-12-10,17
2006-12-11,19
2006-12-12,21
2006-12-13,23
2006-12-14,25
2006-12-15,27
2006-12-16,29
2006-12-17,30
2006-12-18,32
2006-12-19,34
2006-12-20,36
2006-12-21,38
2006-12-22,40
2006-12-23,42
2006-12-24,44
2006-12-25,46
2006-12-26,48
2006-12-27,50
2006-12-28,52
2006-12-29,54
2006-12-30,56
2006-12-31,58
2007-01-01,60
2007-01-02,59
2007-01-03,58
2007-01-04,58
2007-01-05,57
2007-01-06,57
2007-01-07,56
2007-01-08,56
2007-01-09,55
2007-01-10,55
2007-01-11,54
2007-01-12,53
2007-01-13,53
2007-01-14,52
2007-01-15,52
2007-01-16,51
2007-01-17,51
2007-01-18,50
2007-01-19,50
2007-01-20,49
2007-01-21,49
2007-01-22,48
2007-01-23,47
2007-01-24,47
2007-01-25,46
2007-01-26,46
2007-01-27,45
2007-01-28,45
2007-01-29,44
2007-01-30,44
2007-01-31,43
2007-02-01,43
2007-02-02,43
2007-02-03,44
2007-02-04,45
2007-02-05,45
2007-02-06,46
2007-02-07,47
2007-02-08,47
2007-02-09,48
2007-02-10,49
2007-02-11,49
2007-02-12,50
2007-02-13,51
2007-02-14,51
2007-02-15,52
2007-02-16,53
2007-02-17,53
2007-02-18,54
2007-02-19,55
2007-02-20,55
2007-02-21,56
2007-02-22,57
2007-02-23,57
2007-02-24,58
2007-02-25,59
2007-02-26,59
2007-02-27,60
2007-02-28,61
2007-03-01,62
2007-03-02,62
2007-03-03,62
2007-03-04,62
2007-03-05,63
2007-03-06,63
2007-03-07,63
2007-03-08,64
2007-03-09,64
2007-03-10,64
2007-03-11,65
2007-03-12,65
2007-03-13,65
2007-03-14,66
2007-03-15,66
2007-03-16,66
2007-03-17,67
2007-03-18,67
2007-03-19,67
2007-03-20,68
2007-03-21,68
2007-03-22,68
2007-03-23,69
2007-03-24,69
2007-03-25,69
2007-03-26,70
2007-03-27,70
2007-03-28,70
2007-03-29,71
2007-03-30,71
2007-03-31,71
2007-04-01,72
2007-04-02,71
2007-04-03,70
2007-04-04,69
2007-04-05,68
2007-04-06,68
2007-04-07,67
2007-04-08,66
2007-04-09,65
2007-04-10,65
2007-04-11,64
2007-04-12,63
2007-04-13,62
2007-04-14,62
2007-04-15,61
2007-04-16,60
2007-04-17,59
2007-04-18,58
2007-04-19,58
2007-04-20,57
2007-04-21,56
2007-04-22,55
2007-04-23,55
2007-04-24,54
2007-04-25,53
2007-04-26,52
2007-04-27,52
2007-04-28,51
2007-04-29,50
2007-04-30,49
2007-05-01,49
2007-05-02,50
2007-05-03,51
2007-05-04,52
2007-05-05,53
2007-05-06,54
2007-05-07,55
2007-05-08,56
2007-05-09,57
2007-05-10,58
2007-05-11,59
2007-05-12,60
2007-05-13,61
2007-05-14,62
2007-05-15,63
2007-05-16,64
2007-05-17,65
2007-05-18,66
2007-05-19,67
2007-05-20,68
2007-05-21,69
2007-05-22,70
2007-05-23,71
2007-05-24,72
2007-05-25,73
2007-05-26,74
2007-05-27,75
2007-05-28,76
2007-05-29,77
2007-05-30,78
2007-05-31,79
2007-06-01,81
2007-06-02,80
2007-06-03,80
2007-06-04,80
2007-06-05,80
2007-06-06,80
2007-06-07,79
2007-06-08,79
2007-06-09,79
2007-06-10,79
2007-06-11,79
2007-06-12,78
2007-06-13,78
2007-06-14,78
2007-06-15,78
2007-06-16,78
2007-06-17,77
2007-06-18,77
2007-06-19,77
2007-06-20,77
2007-06-21,77
2007-06-22,76
2007-06-23,76
2007-06-24,76
2007-06-25,76
2007-06-26,76
2007-06-27,75
2007-06-28,75
2007-06-29,75
2007-06-30,75
2007-07-01,75
2007-07-02,73
2007-07-03,72
2007-07-04,71
2007-07-05,70
2007-07-06,69
2007-07-07,68
2007-07-08,67
2007-07-09,66
2007-07-10,65
2007-07-11,64
2007-07-12,63
2007-07-13,62
2007-07-14,61
2007-07-15,60
2007-07-16,59
2007-07-17,57
2007-07-18,56
2007-07-19,55
2007-07-20,54
2007-07-21,53
2007-07-22,52
2007-07-23,51
2007-07-24,50
2007-07-25,49
2007-07-26,48
2007-07-27,47
2007-07-28,46
2007-07-29,45
2007-07-30,44
2007-07-31,43
2007-08-01,42
2007-08-02,43
2007-08-03,44
2007-08-04,46
2007-08-05,47
2007-08-06,48
2007-08-07,50
2007-08-08,51
2007-08-09,52
2007-08-10,54
2007-08-11,55
2007-08-12,56
2007-08-13,58
2007-08-14,59
2007-08-15,60
2007-08-16,62
2007-08-17,63
2007-08-18,65
2007-08-19,66
2007-08-20,67
2007-08-21,69
2007-08-22,70
2007-08-23,71
2007-08-24,73
2007-08-25,74
2007-08-26,75
2007-08-27,77
2007-08-28,78
2007-08-29,79
2007-08-30,81
2007-08-31,82
2007-09-01,84
2007-09-02,84
2007-09-03,85
2007-09-04,85
2007-09-05,86
2007-09-06,86
2007-09-07,87
2007-09-08,87
2007-09-09,88
2007-09-10,88
2007-09-11,89
2007-09-12,89
2007-09-13,90
2007-09-14,90
2007-09-15,91
2007-09-16,92
2007-09-17,92
2007-09-18,93
2007-09-19,93
2007-09-20,94
2007-09-21,94
2007-09-22,95
2007-09-23,95
2007-09-24,96
2007-09-25,96
2007-09-26,97
2007-09-27,97
2007-09-28,98
2007-09-29,98
2007-09-30,99
2007-10-01,100
2007-10-02,98
2007-10-03,96
2007-10-04,95
2007-10-05,93
2007-10-06,91
2007-10-07,90
2007-10-08,88
2007-10-09,86
2007-10-10,85
2007-10-11,83
2007-10-12,81
2007-10-13,80
2007-10-14,78
2007-10-15,76
2007-10-16,75
2007-10-17,73
2007-10-18,72
2007-10-19,70
2007-10-20,68
2007-10-21,67
2007-10-22,65
2007-10-23,63
2007-10-24,62
2007-10-25,60
2007-10-26,58
2007-10-27,57
2007-10-28,55
2007-10-29,53
2007-10-30,52
2007-10-31,50
2007-11-01,49
2007-11-02,48
2007-11-03,48
2007-11-04,47
2007-11-05,47
2007-11-06,46
2007-11-07,46
2007-11-08,45
2007-11-09,45
2007-11-10,44
2007-11-11,44
2007-11-12,43
2007-11-13,43
2007-11-14,42
2007-11-15,42
2007-11-16,42
2007-11-17,41
2007-11-18,41
2007-11-19,40
2007-11-20,40
2007-11-21,39
2007-11-22,39
2007-11-23,38
2007-11-24,38
2007-11-25,37
2007-11-26,37
2007-11-27,36
2007-11-28,36
2007-11-29,35
2007-11-30,35
2007-12-01,35
2007-12-02,35
2007-12-03,36
2007-12-04,37
2007-12-05,38
2007-12-06,39
2007-12-07,39
2007-12-08,40
2007-12-09,41
2007-12-10,42
2007-12-11,43
2007-12-12,43
2007-12-13,44
2007-12-14,45
2007-12-15,46
2007-12-16,47
2007-12-17,47
2007-12-18,48
2007-12-19,49
2007-12-20,50
2007-12-21,51
2007-12-22,51
2007-12-23,52
2007-12-24,53
2007-12-25,54
2007-12-26,55
2007-12-27,55
2007-12-28,56
2007-12-29,57
2007-12-30,58
2007-12-31,59
2008-01-01,60
2008-01-02,59
2008-01-03,59
2008-01-04,59
2008-01-05,59
2008-01-06,59
2008-01-07,59
2008-01-08,59
2008-01-09,59
2008-01-10,59
2008-01-11,59
2008-01-12,58
2008-01-13,58
2008-01-14,58
2008-01-15,58
2008-01-16,58
2008-01-17,58
2008-01-18,58
2008-01-19,58
2008-01-20,58
2008-01-21,58
2008-01-22,57
2008-01-23,57
2008-01-24,57
2008-01-25,57
2008-01-26,57
2008-01-27,57
2008-01-28,57
2008-01-29,57
2008-01-30,57
2008-01-31,57
2008-02-01,57
2008-02-02,56
2008-02-03,56
2008-02-04,56
2008-02-05,56
2008-02-06,56
2008-02-07,56
2008-02-08,56
2008-02-09,56
2008-02-10,56
2008-02-11,56
2008-02-12,56
2008-02-13,56
2008-02-14,56
2008-02-15,56
2008-02-16,56
2008-02-17,56
2008-02-18,56
2008-02-19,56
2008-02-20,56
2008-02-21,56
2008-02-22,56
2008-02-23,56
2008-02-24,56
2008-02-25,56
2008-02-26,56
2008-02-27,56
2008-02-28,56
2008-02-29,56
2008-03-01,56
2008-03-02,55
2008-03-03,55
2008-03-04,55
2008-03-05,54
2008-03-06,54
2008-03-07,54
2008-03-08,53
2008-03-09,53
2008-03-10,53
2008-03-11,52
2008-03-12,52
2008-03-13,52
2008-03-14,51
2008-03-15,51
2008-03-16,51
2008-03-17,50
2008-03-18,50
2008-03-19,50
2008-03-20,49
2008-03-21,49
2008-03-22,49
2008-03-23,48
2008-03-24,48
2008-03-25,48
2008-03-26,47
2008-03-27,47
2008-03-28,47
2008-03-29,46
2008-03-30,46
2008-03-31,46
2008-04-01,46
2008-04-02,46
2008-04-03,47
2008-04-04,48
2008-04-05,49
2008-04-06,50
2008-04-07,51
2008-04-08,52
2008-04-09,53
2008-04-10,54
2008-04-11,55
2008-04-12,56
2008-04-13,57
2008-04-14,58
2008-04-15,59
2008-04-16,60
2008-04-17,60
2008-04-18,61
2008-04-19,62
2008-04-20,63
2008-04-21,64
2008-04-22,65
2008-04-23,66
2008-04-24,67
2008-04-25,68
2008-04-26,69
2008-04-27,70
2008-04-28,71
2008-04-29,72
2008-04-30,73
2008-05-01,74
2008-05-02,73
2008-05-03,72
2008-05-04,71
2008-05-05,71
2008-05-06,70
2008-05-07,69
2008-05-08,69
2008-05-09,68
2008-05-10,67
2008-05-11,67
2008-05-12,66
2008-05-13,65
2008-05-14,65
2008-05-15,64
2008-05-16,63
2008-05-17,63
2008-05-18,62
2008-05-19,61
2008-05-20,61
2008-05-21,60
2008-05-22,59
2008-05-23,59
2008-05-24,58
2008-05-25,57
2008-05-26,57
2008-05-27,56
2008-05-28,55
2008-05-29,55
2008-05-30,54
2008-05-31,53
2008-06-01,53
2008-06-02,53
2008-06-03,53
2008-06-04,53
2008-06-05,53
2008-06-06,53
2008-06-07,53
2008-06-08,53
2008-06-09,53
2008-06-10,53
2008-06-11,53
2008-06-12,53
2008-06-13,53
2008-06-14,53
2008-06-15,53
2008-06-16,53
2008-06-17,53
2008-06-18,53
2008-06-19,53
2008-06-20,53
2008-06-21,53
2008-06-22,53
2008-06-23,53
2008-06-24,53
2008-06-25,53
2008-06-26,53
2008-06-27,53
2008-06-28,53
2008-06-29,53
2008-06-30,53
2008-07-01,54
2008-07-02,54
2008-07-03,54
2008-07-04,54
2008-07-05,55
2008-07-06,55
2008-07-07,55
2008-07-08,56
2008-07-09,56
2008-07-10,56
2008-07-11,57
2008-07-12,57
2008-07-13,57
2008-07-14,58
2008-07-15,58
2008-07-16,58
2008-07-17,59
2008-07-18,59
