Date,BioForm Medical
2007-02-01,0
2007-02-02,2
2007-02-03,5
2007-02-04,7
2007-02-05,10
2007-02-06,12
2007-02-07,15
2007-02-08,18
2007-02-09,20
2007-02-10,23
2007-02-11,25
2007-02-12,28
2007-02-13,30
2007-02-14,33
2007-02-15,36
2007-02-16,38
2007-02-17,41
2007-02-18,43
2007-02-19,46
2007-02-20,48
2007-02-21,51
2007-02-22,54
2007-02-23,56
2007-02-24,59
2007-02-25,61
2007-02-26,64
2007-02-27,66
2007-02-28,69
2007-03-01,72
2007-03-02,72
2007-03-03,72
2007-03-04,72
2007-03-05,72
2007-03-06,72
2007-03-07,73
2007-03-08,73
2007-03-09,73
2007-03-10,73
2007-03-11,73
2007-03-12,74
2007-03-13,74
2007-03-14,74
2007-03-15,74
2007-03-16,74
2007-03-17,75
2007-03-18,75
2007-03-19,75
2007-03-20,75
2007-03-21,75
2007-03-22,76
2007-03-23,76
2007-03-24,76
2007-03-25,76
2007-03-26,76
2007-03-27,77
2007-03-28,77
2007-03-29,77
2007-03-30,77
2007-03-31,77
2007-04-01,78
2007-04-02,78
2007-04-03,78
2007-04-04,78
2007-04-05,78
2007-04-06,78
2007-04-07,79
2007-04-08,79
2007-04-09,79
2007-04-10,79
2007-04-11,79
2007-04-12,79
2007-04-13,80
2007-04-14,80
2007-04-15,80
2007-04-16,80
2007-04-17,80
2007-04-18,80
2007-04-19,81
2007-04-20,81
2007-04-21,81
2007-04-22,81
2007-04-23,81
2007-04-24,81
2007-04-25,82
2007-04-26,82
2007-04-27,82
2007-04-28,82
2007-04-29,82
2007-04-30,82
2007-05-01,83
2007-05-02,83
2007-05-03,83
2007-05-04,83
2007-05-05,83
2007-05-06,83
2007-05-07,84
2007-05-08,84
2007-05-09,84
2007-05-10,84
2007-05-11,84
2007-05-12,85
2007-05-13,85
2007-05-14,85
2007-05-15,85
2007-05-16,85
2007-05-17,86
2007-05-18,86
2007-05-19,86
2007-05-20,86
2007-05-21,86
2007-05-22,87
2007-05-23,87
2007-05-24,87
2007-05-25,87
2007-05-26,87
2007-05-27,88
2007-05-28,88
2007-05-29,88
2007-05-30,88
2007-05-31,88
2007-06-01,89
2007-06-02,89
2007-06-03,89
2007-06-04,89
2007-06-05,89
2007-06-06,89
2007-06-07,90
2007-06-08,90
2007-06-09,90
2007-06-10,90
2007-06-11,90
2007-06-12,90
2007-06-13,91
2007-06-14,91
2007-06-15,91
2007-06-16,91
2007-06-17,91
2007-06-18,91
2007-06-19,92
2007-06-20,92
2007-06-21,92
2007-06-22,92
2007-06-23,92
2007-06-24,92
2007-06-25,93
2007-06-26,93
2007-06-27,93
2007-06-28,93
