Date,NV5
2012-07-01,67
2012-07-02,68
2012-07-03,69
2012-07-04,70
2012-07-05,71
2012-07-06,72
2012-07-07,73
2012-07-08,74
2012-07-09,75
2012-07-10,76
2012-07-11,77
2012-07-12,78
2012-07-13,79
2012-07-14,80
2012-07-15,81
2012-07-16,82
2012-07-17,84
2012-07-18,85
2012-07-19,86
2012-07-20,87
2012-07-21,88
2012-07-22,89
2012-07-23,90
2012-07-24,91
2012-07-25,92
2012-07-26,93
2012-07-27,94
2012-07-28,95
2012-07-29,96
2012-07-30,97
2012-07-31,98
2012-08-01,100
2012-08-02,98
2012-08-03,97
2012-08-04,95
2012-08-05,94
2012-08-06,92
2012-08-07,91
2012-08-08,89
2012-08-09,88
2012-08-10,86
2012-08-11,85
2012-08-12,83
2012-08-13,82
2012-08-14,80
2012-08-15,79
2012-08-16,77
2012-08-17,76
2012-08-18,74
2012-08-19,73
2012-08-20,71
2012-08-21,70
2012-08-22,68
2012-08-23,67
2012-08-24,65
2012-08-25,64
2012-08-26,62
2012-08-27,61
2012-08-28,59
2012-08-29,58
2012-08-30,56
2012-08-31,55
2012-09-01,54
2012-09-02,55
2012-09-03,56
2012-09-04,57
2012-09-05,58
2012-09-06,59
2012-09-07,60
2012-09-08,61
2012-09-09,62
2012-09-10,63
2012-09-11,65
2012-09-12,66
2012-09-13,67
2012-09-14,68
2012-09-15,69
2012-09-16,70
2012-09-17,71
2012-09-18,72
2012-09-19,73
2012-09-20,74
2012-09-21,76
2012-09-22,77
2012-09-23,78
2012-09-24,79
2012-09-25,80
2012-09-26,81
2012-09-27,82
2012-09-28,83
2012-09-29,84
2012-09-30,85
2012-10-01,87
2012-10-02,86
2012-10-03,85
2012-10-04,84
2012-10-05,84
2012-10-06,83
2012-10-07,82
2012-10-08,81
2012-10-09,81
2012-10-10,80
2012-10-11,79
2012-10-12,78
2012-10-13,78
2012-10-14,77
2012-10-15,76
2012-10-16,75
2012-10-17,75
2012-10-18,74
2012-10-19,73
2012-10-20,72
2012-10-21,72
2012-10-22,71
2012-10-23,70
2012-10-24,69
2012-10-25,69
2012-10-26,68
2012-10-27,67
2012-10-28,66
2012-10-29,66
2012-10-30,65
2012-10-31,64
2012-11-01,64
2012-11-02,63
2012-11-03,62
2012-11-04,61
2012-11-05,61
2012-11-06,60
2012-11-07,59
2012-11-08,59
2012-11-09,58
2012-11-10,57
2012-11-11,57
2012-11-12,56
2012-11-13,55
2012-11-14,54
2012-11-15,54
2012-11-16,53
2012-11-17,52
2012-11-18,52
2012-11-19,51
