Date,CTPartners
2010-07-18,69
2010-07-19,69
2010-07-20,69
2010-07-21,69
2010-07-22,69
2010-07-23,69
2010-07-24,69
2010-07-25,69
2010-07-26,69
2010-07-27,69
2010-07-28,69
2010-07-29,69
2010-07-30,69
2010-07-31,69
2010-08-01,70
2010-08-02,71
2010-08-03,72
2010-08-04,73
2010-08-05,74
2010-08-06,76
2010-08-07,77
2010-08-08,77
2010-08-09,77
2010-08-10,77
2010-08-11,77
2010-08-12,77
2010-08-13,77
2010-08-14,78
2010-08-15,78
2010-08-16,80
2010-08-17,80
2010-08-18,81
2010-08-19,82
2010-08-20,84
2010-08-21,87
2010-08-22,79
2010-08-23,79
2010-08-24,79
2010-08-25,79
2010-08-26,79
2010-08-27,79
2010-08-28,80
2010-08-29,81
2010-09-05,91
2010-09-06,93
2010-09-07,94
2010-09-08,96
2010-09-09,97
2010-09-10,98
2010-09-11,100
2010-09-12,96
2010-09-13,90
2010-09-14,86
2010-09-15,82
2010-09-16,78
2010-09-17,74
2010-09-18,70
2010-09-19,70
2010-09-20,70
2010-09-21,70
2010-09-22,70
2010-09-23,70
2010-09-24,70
2010-09-25,70
2010-09-26,69
2010-09-27,67
2010-09-28,66
2010-09-29,65
2010-09-30,64
2010-10-01,63
2010-10-02,62
2010-10-03,62
2010-10-04,61
2010-10-05,61
2010-10-06,61
2010-10-07,61
2010-10-08,61
2010-10-09,61
2010-10-10,61
2010-10-11,61
2010-10-12,61
2010-10-13,61
2010-10-14,61
2010-10-15,61
2010-10-16,61
2010-10-17,61
2010-10-18,61
2010-10-19,61
2010-10-20,61
2010-10-21,61
2010-10-22,61
2010-10-23,61
2010-10-24,61
2010-10-25,62
2010-10-26,63
2010-10-27,64
2010-10-28,65
2010-10-29,66
2010-10-30,67
2010-10-31,67
2010-11-01,68
2010-11-02,69
2010-11-03,70
2010-11-04,71
2010-11-05,72
2010-11-06,73
2010-11-07,72
2010-11-08,71
2010-11-09,70
2010-11-10,69
2010-11-11,68
2010-11-12,67
2010-11-13,66
2010-11-14,66
2010-11-15,66
2010-11-16,66
2010-11-17,66
2010-11-18,66
2010-11-19,66
2010-11-20,66
2010-11-21,66
2010-11-22,66
2010-11-23,66
2010-11-24,66
2010-11-25,66
2010-11-26,66
2010-11-27,66
2010-11-28,66
2010-12-05,72
2010-12-06,76
2010-12-07,78
2010-12-08,81
2010-12-09,84
2010-12-10,87
2010-12-11,90
2010-12-12,88
2010-12-13,85
2010-12-14,83
2010-12-15,82
2010-12-16,80
2010-12-17,78
2010-12-18,77
2010-12-19,77
2010-12-20,77
2010-12-21,77
2010-12-22,77
2010-12-23,77
2010-12-24,77
2010-12-25,77
2010-12-26,77
2010-12-27,77
2010-12-28,77
2010-12-29,77
2010-12-30,77
2010-12-31,77
2011-01-01,77
2011-01-02,77
2011-01-03,77
2011-01-04,77
2011-01-05,77
2011-01-06,77
2011-01-07,77
2011-01-08,77
2011-01-09,75
2011-01-10,73
2011-01-11,72
2011-01-12,70
2011-01-13,69
2011-01-14,67
2011-01-15,66
2011-01-16,66
2011-01-17,66
2011-01-18,66
2011-01-19,66
2011-01-20,66
2011-01-21,66
2011-01-22,66
2011-01-23,70
2011-01-24,74
2011-01-25,78
2011-01-26,82
2011-01-27,86
2011-01-28,90
2011-01-29,94
2011-01-30,94
2011-01-31,95
2011-02-01,96
2011-02-02,97
2011-02-03,98
2011-02-04,99
2011-02-05,100
2011-02-06,98
2011-02-07,97
2011-02-08,95
2011-02-09,93
2011-02-10,91
2011-02-11,90
2011-02-12,88
2011-02-13,84
2011-02-14,79
2011-02-15,75
2011-02-16,71
2011-02-17,67
2011-02-18,63
2011-02-19,59
2011-02-20,59
2011-02-21,59
2011-02-22,59
2011-02-23,59
2011-02-24,59
2011-02-25,59
2011-02-26,59
2011-02-27,60
2011-03-06,70
2011-03-07,86
2011-03-08,72
2011-03-09,72
2011-03-10,73
2011-03-11,74
2011-03-12,75
2011-03-13,73
2011-03-14,72
2011-03-15,71
2011-03-16,69
2011-03-17,68
2011-03-18,67
2011-03-19,65
2011-03-20,66
2011-03-21,66
2011-03-22,67
2011-03-23,67
2011-03-24,68
2011-03-25,69
2011-03-26,69
2011-03-27,67
2011-03-28,64
2011-03-29,62
2011-03-30,60
2011-03-31,58
2011-04-01,56
2011-04-02,54
2011-04-03,54
2011-04-04,54
2011-04-05,54
2011-04-06,54
2011-04-07,54
2011-04-08,54
2011-04-09,55
2011-04-10,55
2011-04-11,56
2011-04-12,56
2011-04-13,57
2011-04-14,57
2011-04-15,58
2011-04-16,59
2011-04-17,59
2011-04-18,60
2011-04-19,60
2011-04-20,61
2011-04-21,61
2011-04-22,62
2011-04-23,63
2011-04-24,64
2011-04-25,65
2011-04-26,66
2011-04-27,68
2011-04-28,69
2011-04-29,70
2011-04-30,72
2011-05-01,73
2011-05-02,74
2011-05-03,76
2011-05-04,77
2011-05-05,78
2011-05-06,80
2011-05-07,81
2011-05-08,78
2011-05-09,75
2011-05-10,72
2011-05-11,69
2011-05-12,66
2011-05-13,63
2011-05-14,60
2011-05-15,62
2011-05-16,64
2011-05-17,67
2011-05-18,69
2011-05-19,71
2011-05-20,73
2011-05-21,76
2011-05-22,74
2011-05-23,71
2011-05-24,69
2011-05-25,67
2011-05-26,65
2011-05-27,63
2011-05-28,61
2011-05-29,61
2011-06-05,59
2011-06-06,58
2011-06-07,57
2011-06-08,56
2011-06-09,55
2011-06-10,54
2011-06-11,53
2011-06-12,54
2011-06-13,55
2011-06-14,56
2011-06-15,57
2011-06-16,58
2011-06-17,59
2011-06-18,61
2011-06-19,62
2011-06-20,63
2011-06-21,64
2011-06-22,65
2011-06-23,66
2011-06-24,67
2011-06-25,69
2011-06-26,70
2011-06-27,72
2011-06-28,74
2011-06-29,75
2011-06-30,77
2011-07-01,79
2011-07-02,81
2011-07-03,78
2011-07-04,76
2011-07-05,74
2011-07-06,71
2011-07-07,69
2011-07-08,67
2011-07-09,65
2011-07-10,65
2011-07-11,65
2011-07-12,65
2011-07-13,65
2011-07-14,65
2011-07-15,65
2011-07-16,65
2011-07-17,64
2011-07-18,63
2011-07-19,62
2011-07-20,61
2011-07-21,60
2011-07-22,59
2011-07-23,59
2011-07-24,59
2011-07-25,59
2011-07-26,59
2011-07-27,59
2011-07-28,59
2011-07-29,59
2011-07-30,59
2011-07-31,62
2011-08-01,65
2011-08-02,68
2011-08-03,71
2011-08-04,74
2011-08-05,77
2011-08-06,81
2011-08-07,80
2011-08-08,80
2011-08-09,80
2011-08-10,79
2011-08-11,79
2011-08-12,79
2011-08-13,79
2011-08-14,76
2011-08-15,74
2011-08-16,72
2011-08-17,70
2011-08-18,68
2011-08-19,65
2011-08-20,63
2011-08-21,63
2011-08-22,63
2011-08-23,63
2011-08-24,64
2011-08-25,64
2011-08-26,64
2011-08-27,65
2011-08-28,65
2011-09-04,67
2011-09-05,83
2011-09-06,67
2011-09-07,67
2011-09-08,67
2011-09-09,67
2011-09-10,68
2011-09-11,68
2011-09-12,68
2011-09-13,68
2011-09-14,68
2011-09-15,68
2011-09-16,68
2011-09-17,69
2011-09-18,66
2011-09-19,63
2011-09-20,60
2011-09-21,57
2011-09-22,54
2011-09-23,51
2011-09-24,48
2011-09-25,49
2011-09-26,50
2011-09-27,52
2011-09-28,53
2011-09-29,55
2011-09-30,56
2011-10-01,58
2011-10-02,59
2011-10-03,61
2011-10-04,62
2011-10-05,63
2011-10-06,65
2011-10-07,66
2011-10-08,67
2011-10-09,66
2011-10-10,63
2011-10-11,62
2011-10-12,60
2011-10-13,59
2011-10-14,57
2011-10-15,56
2011-10-16,57
2011-10-17,58
2011-10-18,60
2011-10-19,61
2011-10-20,63
2011-10-21,64
2011-10-22,66
2011-10-23,68
2011-10-24,71
2011-10-25,74
2011-10-26,77
2011-10-27,79
2011-10-28,82
2011-10-29,85
2011-10-30,81
2011-10-31,78
2011-11-01,74
2011-11-02,71
2011-11-03,67
2011-11-04,64
2011-11-05,61
2011-11-06,63
2011-11-07,65
2011-11-08,67
2011-11-09,69
2011-11-10,71
2011-11-11,73
2011-11-12,75
2011-11-13,71
2011-11-14,68
2011-11-15,64
2011-11-16,61
2011-11-17,57
2011-11-18,54
2011-11-19,51
2011-11-20,52
2011-11-21,54
2011-11-22,55
2011-11-23,57
2011-11-24,58
2011-11-25,60
2011-11-26,61
2011-11-27,62
2011-12-04,67
2011-12-05,66
2011-12-06,65
2011-12-07,65
2011-12-08,64
2011-12-09,63
2011-12-10,63
2011-12-11,61
2011-12-12,60
2011-12-13,59
2011-12-14,58
2011-12-15,57
2011-12-16,56
2011-12-17,55
2011-12-18,55
2011-12-19,55
2011-12-20,55
2011-12-21,55
2011-12-22,55
2011-12-23,55
2011-12-24,55
2011-12-25,55
2011-12-26,55
2011-12-27,55
2011-12-28,55
2011-12-29,55
2011-12-30,55
2011-12-31,55
2012-01-01,55
2012-01-02,55
2012-01-03,55
2012-01-04,55
2012-01-05,55
2012-01-06,55
2012-01-07,55
2012-01-08,57
2012-01-09,59
2012-01-10,61
2012-01-11,63
2012-01-12,65
2012-01-13,67
2012-01-14,70
2012-01-15,71
2012-01-16,72
2012-01-17,73
2012-01-18,74
2012-01-19,75
2012-01-20,76
2012-01-21,77
2012-01-22,79
2012-01-23,80
2012-01-24,82
2012-01-25,84
2012-01-26,86
2012-01-27,88
2012-01-28,90
2012-01-29,88
2012-01-30,87
2012-01-31,86
2012-02-01,85
2012-02-02,83
2012-02-03,82
2012-02-04,81
2012-02-05,76
2012-02-06,71
2012-02-07,66
2012-02-08,61
2012-02-09,56
2012-02-10,51
2012-02-11,46
2012-02-12,48
2012-02-13,51
2012-02-14,54
2012-02-15,56
2012-02-16,59
2012-02-17,61
2012-02-18,64
2012-02-19,64
2012-02-20,63
2012-02-21,63
2012-02-22,63
2012-02-23,63
2012-02-24,63
2012-02-25,63
2012-02-26,67
