Date,Dole Foods
2009-02-01,74
2009-02-02,74
2009-02-03,76
2009-02-04,74
2009-02-05,74
2009-02-06,77
2009-02-07,77
2009-02-08,74
2009-02-09,73
2009-02-10,72
2009-02-11,73
2009-02-12,71
2009-02-13,73
2009-02-14,72
2009-02-15,70
2009-02-16,71
2009-02-17,70
2009-02-18,71
2009-02-19,70
2009-02-20,70
2009-02-21,73
2009-02-22,71
2009-02-23,71
2009-02-24,71
2009-02-25,73
2009-02-26,72
2009-02-27,72
2009-02-28,76
2009-03-01,73
2009-03-02,73
2009-03-03,76
2009-03-04,73
2009-03-05,73
2009-03-06,73
2009-03-07,80
2009-03-08,73
2009-03-09,72
2009-03-10,74
2009-03-11,71
2009-03-12,73
2009-03-13,70
2009-03-14,75
2009-03-15,69
2009-03-16,69
2009-03-17,70
2009-03-18,69
2009-03-19,72
2009-03-20,69
2009-03-21,73
2009-03-22,70
2009-03-23,71
2009-03-24,73
2009-03-25,74
2009-03-26,77
2009-03-27,77
2009-03-28,79
2009-03-29,84
2009-03-30,79
2009-03-31,82
2009-05-01,75
2009-05-02,78
2009-05-03,74
2009-05-04,73
2009-05-05,72
2009-05-06,71
2009-05-07,70
2009-05-08,73
2009-05-09,68
2009-05-10,70
2009-05-11,68
2009-05-12,70
2009-05-13,69
2009-05-14,73
2009-05-15,70
2009-05-16,77
2009-05-17,70
2009-05-18,69
2009-05-19,72
2009-05-20,68
2009-05-21,68
2009-05-22,67
2009-05-23,71
2009-05-24,68
2009-05-25,68
2009-05-26,70
2009-05-27,70
2009-05-28,72
2009-05-29,72
2009-05-30,73
2009-05-31,73
2009-06-01,75
2009-06-02,73
2009-06-03,74
2009-06-04,76
2009-06-05,74
2009-06-06,79
2009-06-07,74
2009-06-08,74
2009-06-09,74
2009-06-10,76
2009-06-11,74
2009-06-12,77
2009-06-13,74
2009-06-14,74
2009-06-15,73
2009-06-16,72
2009-06-17,72
2009-06-18,71
2009-06-19,73
2009-06-20,74
2009-06-21,71
2009-06-22,71
2009-06-23,72
2009-06-24,71
2009-06-25,73
2009-06-26,71
2009-06-27,75
2009-06-28,73
2009-06-29,69
2009-06-30,68
2009-07-01,69
2009-07-02,68
2009-07-03,65
2009-07-04,64
2009-07-05,68
2009-07-06,66
2009-07-07,68
2009-07-08,71
2009-07-09,71
2009-07-10,72
2009-07-11,78
2009-07-12,73
2009-07-13,72
2009-07-14,72
2009-07-15,71
2009-07-16,73
2009-07-17,70
2009-07-18,75
2009-07-19,70
2009-07-20,73
2009-07-21,71
2009-07-22,74
2009-07-23,72
2009-07-24,72
2009-07-25,78
2009-07-26,72
2009-07-27,72
2009-07-28,72
2009-07-29,76
2009-07-30,71
2009-07-31,73
2009-08-01,71
2009-08-02,70
2009-08-03,69
2009-08-04,71
2009-08-05,70
2009-08-06,67
2009-08-07,66
2009-08-08,72
2009-08-09,67
2009-08-10,71
2009-08-11,70
2009-08-12,72
2009-08-13,73
2009-08-14,74
2009-08-15,76
2009-08-16,77
2009-08-17,74
2009-08-18,73
2009-08-19,74
2009-08-20,72
2009-08-21,74
2009-08-22,71
2009-08-23,71
2009-08-24,71
2009-08-25,73
2009-08-26,73
2009-08-27,73
2009-08-28,71
2009-08-29,74
2009-08-30,73
2009-08-31,70
2009-09-01,70
2009-09-02,68
2009-09-03,67
2009-09-04,66
2009-09-05,66
2009-09-06,65
2009-09-07,66
2009-09-08,66
2009-09-09,67
2009-09-10,68
2009-09-11,70
2009-09-12,69
2009-09-13,69
2009-09-14,68
2009-09-15,67
2009-09-16,67
2009-09-17,70
2009-09-18,66
2009-09-19,69
2009-09-20,67
2009-09-21,68
2009-09-22,70
2009-09-23,71
2009-09-24,73
2009-09-25,75
2009-09-26,78
2009-09-27,75
2009-09-28,77
2009-09-29,76
2009-09-30,74
2009-10-01,74
2009-10-02,77
2009-10-03,77
2009-10-04,74
2009-10-05,74
2009-10-06,75
2009-10-07,76
2009-10-08,76
2009-10-09,78
2009-10-10,80
2009-10-11,77
2009-10-12,78
2009-10-13,80
2009-10-14,79
2009-10-15,80
2009-10-16,85
2009-10-17,84
2009-10-18,86
2009-10-19,87
2009-10-20,89
2009-10-21,92
2009-10-22,97
2009-10-23,97
2009-10-24,115
2009-10-25,95
2009-10-26,91
2009-10-27,89
2009-10-28,83
2009-10-29,79
2009-10-30,77
2009-10-31,71
2009-11-01,71
2009-11-02,71
2009-11-03,71
2009-11-04,71
2009-11-05,74
2009-11-06,71
2009-11-07,71
2009-11-08,73
2009-11-09,73
2009-11-10,74
2009-11-11,79
2009-11-12,76
2009-11-13,80
2009-11-14,79
2009-11-15,78
2009-11-16,77
2009-11-17,76
2009-11-18,75
2009-11-19,74
2009-11-20,73
2009-11-21,72
2009-11-22,73
2009-11-23,71
2009-11-24,71
2009-11-25,71
2009-11-26,70
2009-11-27,69
2009-11-28,69
2009-11-29,68
2009-11-30,69
2009-12-01,67
2009-12-02,67
2009-12-03,66
2009-12-04,67
2009-12-05,66
2009-12-06,71
2009-12-07,66
2009-12-08,67
2009-12-09,69
2009-12-10,68
2009-12-11,69
2009-12-12,69
2009-12-13,70
2009-12-14,67
2009-12-15,66
2009-12-16,65
2009-12-17,65
2009-12-18,65
2009-12-19,63
2009-12-20,65
2009-12-21,61
2009-12-22,62
2009-12-23,60
2009-12-24,62
2009-12-25,59
2009-12-26,59
2009-12-27,62
2009-12-28,59
2009-12-29,60
2009-12-30,59
2009-12-31,59
2010-01-01,61
2010-01-02,60
2010-01-03,62
2010-01-04,65
2010-01-05,67
2010-01-06,71
2010-01-07,72
2010-01-08,77
2010-01-09,81
2010-01-10,78
2010-01-11,79
2010-01-12,83
2010-01-13,80
2010-01-14,80
2010-01-15,84
2010-01-16,82
2010-01-17,84
2010-01-18,80
2010-01-19,81
2010-01-20,78
2010-01-21,77
2010-01-22,79
2010-01-23,75
2010-01-24,74
2010-01-25,74
2010-01-26,74
2010-01-27,74
2010-01-28,73
2010-01-29,76
2010-01-30,73
2010-01-31,72
2010-02-01,71
2010-02-02,70
2010-02-03,73
2010-02-04,69
2010-02-05,70
2010-02-06,68
2010-02-07,68
2010-02-08,68
2010-02-09,68
2010-02-10,70
2010-02-11,69
2010-02-12,68
2010-02-13,70
2010-02-14,70
2010-02-15,69
2010-02-16,71
2010-02-17,70
2010-02-18,74
2010-02-19,70
2010-02-20,72
2010-02-21,74
2010-02-22,69
2010-02-23,69
2010-02-24,68
2010-02-25,67
2010-02-26,65
2010-02-27,65
2010-02-28,65
2010-03-01,66
2010-03-02,68
2010-03-03,68
2010-03-04,70
2010-03-05,70
2010-03-06,74
2010-03-07,71
2010-03-08,69
2010-03-09,68
2010-03-10,67
2010-03-11,68
2010-03-12,65
2010-03-13,67
2010-03-14,65
2010-03-15,65
2010-03-16,67
2010-03-17,65
2010-03-18,65
2010-03-19,67
2010-03-20,69
2010-03-21,67
2010-03-22,68
2010-03-23,69
2010-03-24,70
2010-03-25,71
2010-03-26,75
2010-03-27,78
2010-03-28,72
