Date,Diamond Resorts
2012-12-01,100
2012-12-02,114
2012-12-03,89
2012-12-04,81
2012-12-05,75
2012-12-06,69
2012-12-07,59
2012-12-08,53
2012-12-09,51
2012-12-10,50
2012-12-11,47
2012-12-12,49
2012-12-13,44
2012-12-14,42
2012-12-15,42
2012-12-16,39
2012-12-17,41
2012-12-18,37
2012-12-19,37
2012-12-20,35
2012-12-21,36
2012-12-22,33
2012-12-23,38
2012-12-24,53
2012-12-25,51
2012-12-26,55
2012-12-27,61
2012-12-28,68
2012-12-29,73
2012-12-30,73
2012-12-31,71
2013-01-01,70
2013-01-02,70
2013-01-03,69
2013-01-04,70
2013-01-05,68
2013-01-06,66
2013-01-07,65
2013-01-08,65
2013-01-09,62
2013-01-10,60
2013-01-11,59
2013-01-12,58
2013-01-13,56
2013-01-14,56
2013-01-15,53
2013-01-16,52
2013-01-17,50
2013-01-18,48
2013-01-19,47
2013-01-20,48
2013-01-21,49
2013-01-22,50
2013-01-23,53
2013-01-24,52
2013-01-25,57
2013-01-26,55
2013-01-27,55
2013-01-28,54
2013-01-29,53
2013-01-30,53
2013-01-31,52
2013-02-01,53
2013-02-02,51
2013-02-03,51
2013-02-04,53
2013-02-05,51
2013-02-06,51
2013-02-07,51
2013-02-08,51
2013-02-09,51
2013-02-10,51
2013-02-11,49
2013-02-12,49
2013-02-13,49
2013-02-14,49
2013-02-15,47
2013-02-16,49
2013-02-17,47
2013-02-18,47
2013-02-19,47
2013-02-20,48
2013-02-21,51
2013-02-22,48
2013-02-23,49
2013-02-24,49
2013-02-25,48
2013-02-26,49
2013-02-27,47
2013-02-28,48
2013-03-01,46
2013-03-02,46
2013-03-03,49
2013-03-04,52
2013-03-05,55
2013-03-06,68
2013-03-07,62
2013-03-08,67
2013-03-09,73
2013-03-10,66
2013-03-11,63
2013-03-12,61
2013-03-13,58
2013-03-14,56
2013-03-15,55
2013-03-16,51
2013-03-17,53
2013-03-18,49
2013-03-19,48
2013-03-20,48
2013-03-21,46
2013-03-22,45
2013-03-23,44
2013-03-24,44
2013-03-25,44
2013-03-26,45
2013-03-27,45
2013-03-28,47
2013-03-29,45
2013-03-30,47
2013-03-31,45
2013-04-01,45
2013-04-02,47
2013-04-03,44
2013-04-04,46
2013-04-05,44
2013-04-06,44
2013-04-07,45
2013-04-08,46
2013-04-09,49
2013-04-10,48
2013-04-11,49
2013-04-12,52
2013-04-13,52
2013-04-14,55
2013-04-15,49
2013-04-16,48
2013-04-17,47
2013-04-18,49
