Date,Transunion
2011-01-01,63
2011-01-02,65
2011-01-03,67
2011-01-04,69
2011-01-05,71
2011-01-06,73
2011-01-07,76
2011-01-08,80
2011-01-09,82
2011-01-10,77
2011-01-11,78
2011-01-12,79
2011-01-13,79
2011-01-14,80
2011-01-15,85
2011-01-16,83
2011-01-17,80
2011-01-18,80
2011-01-19,84
2011-01-20,80
2011-01-21,80
2011-01-22,90
2011-01-23,81
2011-01-24,80
2011-01-25,80
2011-01-26,81
2011-01-27,81
2011-01-28,80
2011-01-29,85
2011-01-30,78
2011-01-31,78
2011-02-01,78
2011-02-02,78
2011-02-03,81
2011-02-04,78
2011-02-05,85
2011-02-06,79
2011-02-07,76
2011-02-08,76
2011-02-09,75
2011-02-10,74
2011-02-11,73
2011-02-12,79
2011-02-13,74
2011-02-14,74
2011-02-15,74
2011-02-16,75
2011-02-17,76
2011-02-18,76
2011-02-19,81
2011-02-20,81
2011-02-21,76
2011-02-22,76
2011-02-23,78
2011-02-24,78
2011-02-25,77
2011-02-26,81
2011-02-27,77
2011-02-28,78
2011-03-01,79
2011-03-02,80
2011-03-03,82
2011-03-04,85
2011-03-05,86
2011-03-06,86
2011-03-07,82
2011-03-08,82
2011-03-09,81
2011-03-10,80
2011-03-11,83
2011-03-12,83
2011-03-13,83
2011-03-14,78
2011-03-15,77
2011-03-16,78
2011-03-17,77
2011-03-18,76
2011-03-19,84
2011-03-20,76
2011-03-21,76
2011-03-22,76
2011-03-23,76
2011-03-24,76
2011-03-25,79
2011-03-26,81
2011-03-27,77
2011-03-28,78
2011-03-29,79
2011-03-30,81
2011-03-31,86
2011-04-01,83
2011-04-02,88
2011-04-03,90
2011-04-04,84
2011-04-05,84
2011-04-06,84
2011-04-07,87
2011-04-08,85
2011-04-09,84
2011-04-10,92
2011-04-11,82
2011-04-12,81
2011-04-13,81
2011-04-14,83
2011-04-15,79
2011-04-16,84
2011-04-17,79
2011-04-18,79
2011-04-19,80
2011-04-20,81
