Date,Imperium Renewables
2006-11-01,51
2006-11-02,51
2006-11-03,51
2006-11-04,51
2006-11-05,51
2006-11-06,51
2006-11-07,51
2006-11-08,51
2006-11-09,51
2006-11-10,51
2006-11-11,51
2006-11-12,51
2006-11-13,51
2006-11-14,51
2006-11-15,51
2006-11-16,52
2006-11-17,52
2006-11-18,52
2006-11-19,52
2006-11-20,52
2006-11-21,52
2006-11-22,52
2006-11-23,52
2006-11-24,52
2006-11-25,52
2006-11-26,52
2006-11-27,52
2006-11-28,52
2006-11-29,52
2006-11-30,52
2006-12-01,53
2006-12-02,53
2006-12-03,53
2006-12-04,54
2006-12-05,54
2006-12-06,54
2006-12-07,55
2006-12-08,55
2006-12-09,56
2006-12-10,56
2006-12-11,56
2006-12-12,57
2006-12-13,57
2006-12-14,58
2006-12-15,58
2006-12-16,58
2006-12-17,59
2006-12-18,59
2006-12-19,59
2006-12-20,60
2006-12-21,60
2006-12-22,61
2006-12-23,61
2006-12-24,61
2006-12-25,62
2006-12-26,62
2006-12-27,63
2006-12-28,63
2006-12-29,63
2006-12-30,64
2006-12-31,64
2007-01-01,65
2007-01-02,66
2007-01-03,67
2007-01-04,68
2007-01-05,69
2007-01-06,70
2007-01-07,71
2007-01-08,72
2007-01-09,74
2007-01-10,75
2007-01-11,76
2007-01-12,77
2007-01-13,78
2007-01-14,79
2007-01-15,80
2007-01-16,81
2007-01-17,83
2007-01-18,84
2007-01-19,85
2007-01-20,86
2007-01-21,87
2007-01-22,88
2007-01-23,89
2007-01-24,90
2007-01-25,92
2007-01-26,93
2007-01-27,94
2007-01-28,95
2007-01-29,96
2007-01-30,97
2007-01-31,98
2007-02-01,100
2007-02-02,99
2007-02-03,99
2007-02-04,98
2007-02-05,98
2007-02-06,97
2007-02-07,97
2007-02-08,97
2007-02-09,96
2007-02-10,96
2007-02-11,95
2007-02-12,95
2007-02-13,94
2007-02-14,94
2007-02-15,94
2007-02-16,93
2007-02-17,93
2007-02-18,92
2007-02-19,92
2007-02-20,91
2007-02-21,91
2007-02-22,91
2007-02-23,90
2007-02-24,90
2007-02-25,89
2007-02-26,89
2007-02-27,88
2007-02-28,88
2007-03-01,88
2007-03-02,88
2007-03-03,88
2007-03-04,88
2007-03-05,89
2007-03-06,89
2007-03-07,89
2007-03-08,90
2007-03-09,90
2007-03-10,90
2007-03-11,90
2007-03-12,91
2007-03-13,91
2007-03-14,91
2007-03-15,92
2007-03-16,92
2007-03-17,92
2007-03-18,92
2007-03-19,93
2007-03-20,93
2007-03-21,93
2007-03-22,94
2007-03-23,94
2007-03-24,94
2007-03-25,94
2007-03-26,95
2007-03-27,95
2007-03-28,95
2007-03-29,96
2007-03-30,96
2007-03-31,96
2007-04-01,97
2007-04-02,96
2007-04-03,96
2007-04-04,96
2007-04-05,96
2007-04-06,96
2007-04-07,96
2007-04-08,96
2007-04-09,95
2007-04-10,95
2007-04-11,95
2007-04-12,95
2007-04-13,95
2007-04-14,95
2007-04-15,95
2007-04-16,95
2007-04-17,94
2007-04-18,94
2007-04-19,94
2007-04-20,94
2007-04-21,94
2007-04-22,94
2007-04-23,94
2007-04-24,93
2007-04-25,93
2007-04-26,93
2007-04-27,93
2007-04-28,93
2007-04-29,93
2007-04-30,93
2007-05-01,93
2007-05-02,92
2007-05-03,92
