Date,Zynga
2011-01-01,42
2011-01-02,42
2011-01-03,41
2011-01-04,41
2011-01-05,42
2011-01-06,41
2011-01-07,41
2011-01-08,41
2011-01-09,40
2011-01-10,42
2011-01-11,39
2011-01-12,38
2011-01-13,38
2011-01-14,37
2011-01-15,37
2011-01-16,37
2011-01-17,37
2011-01-18,35
2011-01-19,35
2011-01-20,35
2011-01-21,34
2011-01-22,34
2011-01-23,35
2011-01-24,34
2011-01-25,34
2011-01-26,34
2011-01-27,34
2011-01-28,34
2011-01-29,35
2011-01-30,36
2011-01-31,35
2011-02-01,35
2011-02-02,35
2011-02-03,35
2011-02-04,36
2011-02-05,36
2011-02-06,37
2011-02-07,36
2011-02-08,37
2011-02-09,36
2011-02-10,36
2011-02-11,37
2011-02-12,37
2011-02-13,38
2011-02-14,38
2011-02-15,40
2011-02-16,40
2011-02-17,41
2011-02-18,42
2011-02-19,44
2011-02-20,42
2011-02-21,42
2011-02-22,40
2011-02-23,39
2011-02-24,38
2011-02-25,38
2011-02-26,37
2011-02-27,37
2011-02-28,38
2011-03-01,37
2011-03-02,38
2011-03-03,39
2011-03-04,38
2011-03-05,39
2011-03-06,39
2011-03-07,39
2011-03-08,39
2011-03-09,39
2011-03-10,39
2011-03-11,41
2011-03-12,40
2011-03-13,40
2011-03-14,40
2011-03-15,39
2011-03-16,39
2011-03-17,39
2011-03-18,39
2011-03-19,40
2011-03-20,39
2011-03-21,40
2011-03-22,39
2011-03-23,39
2011-03-24,40
2011-03-25,39
2011-03-26,40
2011-03-27,39
2011-03-28,40
2011-03-29,39
2011-03-30,39
2011-03-31,39
2011-04-01,39
2011-04-02,39
2011-04-03,39
2011-04-04,40
2011-04-05,39
2011-04-06,39
2011-04-07,39
2011-04-08,39
2011-04-09,39
2011-04-10,38
2011-04-11,39
2011-04-12,38
2011-04-13,38
2011-04-14,39
2011-04-15,38
2011-04-16,38
2011-04-17,38
2011-04-18,38
2011-04-19,38
2011-04-20,38
2011-04-21,38
2011-04-22,39
2011-04-23,40
2011-04-24,38
2011-04-25,38
2011-04-26,36
2011-04-27,36
2011-04-28,36
2011-04-29,34
2011-04-30,34
2011-05-01,33
2011-05-02,34
2011-05-03,33
2011-05-04,33
2011-05-05,32
2011-05-06,32
2011-05-07,32
2011-05-08,32
2011-05-09,33
2011-05-10,33
2011-05-11,33
2011-05-12,35
2011-05-13,34
2011-05-14,35
2011-05-15,35
2011-05-16,35
2011-05-17,35
2011-05-18,36
2011-05-19,36
2011-05-20,36
2011-05-21,37
2011-05-22,37
2011-05-23,39
2011-05-24,38
2011-05-25,39
2011-05-26,42
2011-05-27,41
2011-05-28,41
2011-05-29,41
2011-05-30,40
2011-05-31,40
2011-06-01,40
2011-06-02,40
2011-06-03,41
2011-06-04,40
2011-06-05,40
2011-06-06,41
2011-06-07,43
2011-06-08,42
2011-06-09,42
2011-06-10,44
2011-06-11,44
2011-06-12,44
2011-06-13,45
2011-06-14,45
2011-06-15,45
2011-06-16,47
2011-06-17,46
2011-06-18,47
2011-06-19,46
2011-06-20,46
2011-06-21,44
2011-06-22,43
2011-06-23,42
2011-06-24,41
2011-06-25,40
2011-06-26,43
2011-06-27,46
2011-06-28,48
2011-06-29,51
2011-06-30,55
2011-07-01,57
2011-07-02,62
2011-07-03,61
2011-07-04,57
2011-07-05,54
2011-07-06,53
2011-07-07,53
2011-07-08,49
2011-07-09,48
2011-07-10,48
2011-07-11,46
2011-07-12,45
2011-07-13,44
2011-07-14,43
2011-07-15,42
2011-07-16,41
2011-07-17,41
2011-07-18,41
2011-07-19,41
2011-07-20,42
2011-07-21,41
2011-07-22,41
2011-07-23,41
2011-07-24,40
2011-07-25,39
2011-07-26,39
2011-07-27,38
2011-07-28,37
2011-07-29,36
2011-07-30,37
2011-07-31,35
2011-08-01,36
2011-08-02,35
2011-08-03,35
2011-08-04,35
2011-08-05,35
2011-08-06,35
2011-08-07,35
2011-08-08,37
2011-08-09,37
2011-08-10,38
2011-08-11,38
2011-08-12,39
2011-08-13,40
2011-08-14,40
2011-08-15,40
2011-08-16,40
2011-08-17,40
2011-08-18,41
2011-08-19,40
2011-08-20,40
2011-08-21,39
2011-08-22,39
2011-08-23,37
2011-08-24,36
2011-08-25,36
2011-08-26,34
2011-08-27,34
2011-08-28,34
2011-08-29,34
2011-08-30,34
2011-08-31,34
2011-09-01,36
2011-09-02,34
2011-09-03,35
2011-09-04,35
2011-09-05,36
2011-09-06,35
2011-09-07,35
2011-09-08,35
2011-09-09,35
2011-09-10,35
2011-09-11,36
2011-09-12,35
2011-09-13,35
2011-09-14,35
2011-09-15,35
2011-09-16,35
2011-09-17,35
2011-09-18,36
2011-09-19,37
2011-09-20,36
2011-09-21,37
2011-09-22,37
2011-09-23,37
2011-09-24,38
2011-09-25,38
2011-09-26,38
2011-09-27,38
2011-09-28,38
2011-09-29,38
2011-09-30,38
2011-10-01,38
2011-10-02,38
2011-10-03,37
2011-10-04,35
2011-10-05,35
2011-10-06,34
2011-10-07,34
2011-10-08,33
2011-10-09,33
2011-10-10,35
2011-10-11,35
2011-10-12,36
2011-10-13,38
2011-10-14,38
2011-10-15,39
2011-10-16,38
2011-10-17,38
2011-10-18,36
2011-10-19,35
2011-10-20,34
2011-10-21,33
2011-10-22,33
2011-10-23,33
2011-10-24,33
2011-10-25,33
2011-10-26,34
2011-10-27,34
2011-10-28,34
2011-10-29,35
2011-10-30,35
2011-10-31,36
2011-11-01,35
2011-11-02,36
2011-11-03,36
2011-11-04,36
2011-11-05,37
2011-11-06,38
2011-11-07,38
2011-11-08,38
2011-11-09,40
2011-11-10,39
2011-11-11,40
2011-11-12,42
2011-11-13,40
2011-11-14,40
2011-11-15,39
2011-11-16,39
2011-11-17,38
2011-11-18,37
2011-11-19,37
2011-11-20,36
2011-11-21,37
2011-11-22,36
2011-11-23,36
2011-11-24,37
2011-11-25,36
2011-11-26,36
2011-11-27,37
2011-11-28,39
2011-11-29,40
2011-11-30,42
2011-12-01,44
2011-12-02,45
2011-12-03,49
2011-12-04,47
2011-12-05,45
2011-12-06,44
2011-12-07,43
2011-12-08,42
2011-12-09,41
2011-12-10,41
2011-12-11,46
2011-12-12,51
2011-12-13,57
2011-12-14,62
2011-12-15,68
2011-12-16,73
2011-12-17,89
2011-12-18,82
2011-12-19,71
2011-12-20,70
2011-12-21,67
2011-12-22,61
2011-12-23,59
2011-12-24,54
2011-12-25,55
2011-12-26,50
2011-12-27,48
2011-12-28,46
2011-12-29,45
2011-12-30,43
2011-12-31,41
2012-01-01,40
2012-01-02,40
2012-01-03,38
2012-01-04,38
2012-01-05,37
2012-01-06,36
2012-01-07,36
2012-01-08,37
2012-01-09,36
2012-01-10,36
2012-01-11,36
2012-01-12,36
2012-01-13,36
2012-01-14,36
2012-01-15,37
2012-01-16,37
2012-01-17,38
2012-01-18,41
2012-01-19,40
2012-01-20,41
2012-01-21,42
2012-01-22,42
2012-01-23,43
2012-01-24,42
2012-01-25,42
2012-01-26,42
2012-01-27,43
2012-01-28,43
2012-01-29,44
2012-01-30,45
2012-01-31,46
2012-02-01,47
2012-02-02,48
2012-02-03,51
2012-02-04,53
2012-02-05,50
2012-02-06,49
2012-02-07,49
2012-02-08,47
2012-02-09,46
2012-02-10,45
2012-02-11,44
2012-02-12,45
2012-02-13,44
2012-02-14,44
2012-02-15,44
2012-02-16,45
2012-02-17,46
2012-02-18,45
2012-02-19,44
2012-02-20,42
2012-02-21,41
2012-02-22,40
2012-02-23,38
2012-02-24,37
2012-02-25,36
2012-02-26,37
2012-02-27,37
2012-02-28,37
2012-02-29,38
2012-03-01,38
2012-03-02,39
2012-03-03,41
2012-03-04,41
2012-03-05,41
2012-03-06,42
2012-03-07,42
2012-03-08,44
2012-03-09,44
2012-03-10,45
2012-03-11,46
2012-03-12,43
2012-03-13,42
2012-03-14,41
2012-03-15,41
2012-03-16,39
2012-03-17,38
2012-03-18,39
2012-03-19,41
2012-03-20,41
2012-03-21,42
2012-03-22,43
2012-03-23,46
2012-03-24,46
2012-03-25,46
2012-03-26,46
2012-03-27,46
2012-03-28,47
2012-03-29,47
2012-03-30,47
2012-03-31,50
2012-04-01,47
2012-04-02,47
2012-04-03,47
2012-04-04,47
2012-04-05,47
2012-04-06,47
2012-04-07,47
2012-04-08,47
2012-04-09,47
2012-04-10,47
2012-04-11,47
2012-04-12,47
2012-04-13,47
2012-04-14,47
2012-04-15,47
2012-04-16,48
2012-04-17,47
2012-04-18,47
2012-04-19,47
2012-04-20,47
2012-04-21,47
2012-04-22,47
2012-04-23,48
2012-04-24,47
2012-04-25,49
2012-04-26,48
2012-04-27,48
2012-04-28,50
2012-04-29,49
2012-04-30,50
2012-05-01,51
2012-05-02,52
2012-05-03,52
2012-05-04,53
2012-05-05,54
2012-05-06,54
2012-05-07,54
2012-05-08,54
2012-05-09,54
2012-05-10,54
2012-05-11,56
2012-05-12,55
2012-05-13,58
2012-05-14,59
2012-05-15,62
2012-05-16,64
2012-05-17,67
2012-05-18,69
2012-05-19,76
2012-05-20,73
2012-05-21,70
2012-05-22,71
2012-05-23,69
2012-05-24,68
2012-05-25,67
2012-05-26,67
2012-05-27,67
2012-05-28,68
2012-05-29,67
2012-05-30,67
2012-05-31,67
2012-06-01,67
2012-06-02,67
2012-06-03,66
2012-06-04,67
2012-06-05,66
2012-06-06,66
2012-06-07,65
2012-06-08,66
2012-06-09,65
2012-06-10,65
2012-06-11,66
2012-06-12,66
2012-06-13,67
2012-06-14,68
2012-06-15,68
2012-06-16,69
2012-06-17,69
2012-06-18,70
2012-06-19,69
2012-06-20,69
2012-06-21,69
2012-06-22,70
2012-06-23,70
2012-06-24,71
2012-06-25,72
2012-06-26,73
2012-06-27,74
2012-06-28,75
2012-06-29,76
2012-06-30,77
2012-07-01,75
2012-07-02,76
2012-07-03,73
2012-07-04,72
2012-07-05,71
