Date,A123 Systems
2008-02-01,28
2008-02-02,28
2008-02-03,30
2008-02-04,31
2008-02-05,32
2008-02-06,34
2008-02-07,35
2008-02-08,38
2008-02-09,38
2008-02-10,38
2008-02-11,39
2008-02-12,35
2008-02-13,35
2008-02-14,34
2008-02-15,33
2008-02-16,33
2008-02-17,34
2008-02-18,35
2008-02-19,35
2008-02-20,35
2008-02-21,35
2008-02-22,36
2008-02-23,37
2008-02-24,39
2008-02-25,37
2008-02-26,38
2008-02-27,40
2008-02-28,39
2008-02-29,39
2008-03-01,40
2008-03-02,41
2008-03-03,41
2008-03-04,43
2008-03-05,43
2008-03-06,43
2008-03-07,44
2008-03-08,45
2008-03-09,45
2008-03-10,48
2008-03-11,47
2008-03-12,48
2008-03-13,50
2008-03-14,49
2008-03-15,50
2008-03-16,50
2008-03-17,51
2008-03-18,52
2008-03-19,51
2008-03-20,52
2008-03-21,52
2008-03-22,53
2008-03-23,54
2008-03-24,53
2008-03-25,53
2008-03-26,51
2008-03-27,52
2008-03-28,51
2008-03-29,51
2008-03-30,53
2008-03-31,54
2008-04-01,50
2008-04-02,50
2008-04-03,50
2008-04-04,50
2008-04-05,50
2008-04-06,52
2008-04-07,52
2008-04-08,50
2008-04-09,50
2008-04-10,50
2008-04-11,50
2008-04-12,50
2008-04-13,51
2008-04-14,52
2008-04-15,52
2008-04-16,51
2008-04-17,52
2008-04-18,52
2008-04-19,53
2008-04-20,56
2008-04-21,57
2008-04-22,56
2008-04-23,57
2008-04-24,59
2008-04-25,59
2008-04-26,61
2008-04-27,63
2008-04-28,64
2008-04-29,64
2008-04-30,63
2008-05-01,64
2008-05-02,65
2008-05-03,66
2008-05-04,67
2008-05-05,71
2008-05-06,69
2008-05-07,70
2008-05-08,73
2008-05-09,72
2008-05-10,74
2008-05-11,77
2008-05-12,77
2008-05-13,74
2008-05-14,77
2008-05-15,74
2008-05-16,74
2008-05-17,75
2008-05-18,77
2008-05-19,83
2008-05-20,78
2008-05-21,79
2008-05-22,80
2008-05-23,84
2008-05-24,83
2008-05-25,86
2008-05-26,81
2008-05-27,79
2008-05-28,77
2008-05-29,75
2008-05-30,74
2008-05-31,72
2008-06-01,74
2008-06-02,77
2008-06-03,75
2008-06-04,77
2008-06-05,77
2008-06-06,78
2008-06-07,80
2008-06-08,81
2008-06-09,83
2008-06-10,81
2008-06-11,82
2008-06-12,86
2008-06-13,83
2008-06-14,84
2008-06-15,86
2008-06-16,89
2008-06-17,86
2008-06-18,87
2008-06-19,87
2008-06-20,88
2008-06-21,89
2008-06-22,93
2008-06-23,92
2008-06-24,91
2008-06-25,92
2008-06-26,93
2008-06-27,95
2008-06-28,95
2008-06-29,96
2008-06-30,95
2008-07-01,98
2008-07-02,93
2008-07-03,93
2008-07-04,93
2008-07-05,93
2008-07-06,93
2008-07-07,96
2008-07-08,91
2008-07-09,94
2008-07-10,90
2008-07-11,90
2008-07-12,90
2008-07-13,94
2008-07-14,91
2008-07-15,98
2008-07-16,92
2008-07-17,93
2008-07-18,94
2008-07-19,95
2008-07-20,94
2008-07-21,100
2008-07-22,92
2008-07-23,91
2008-07-24,93
2008-07-25,89
2008-07-26,88
2008-07-27,92
2008-07-28,88
2008-07-29,88
2008-07-30,92
2008-07-31,89
2008-08-01,89
2008-08-02,90
2008-08-03,93
2008-08-04,94
2008-08-05,92
2008-08-06,92
2008-08-07,95
2008-08-08,94
2008-08-09,95
2008-08-10,97
2008-08-11,101
2008-08-12,97
2008-08-13,97
2008-08-14,99
2008-08-15,99
2008-08-16,100
2008-08-17,99
2008-08-18,107
2008-08-19,102
2008-08-20,99
2008-08-21,99
2008-08-22,100
2008-08-23,99
2008-08-24,102
2008-08-25,102
2008-08-26,100
2008-08-27,99
2008-08-28,99
2008-08-29,101
2008-08-30,100
2008-08-31,103
2008-09-01,102
2008-09-02,100
2008-09-03,100
2008-09-04,100
2008-09-05,99
2008-09-06,99
2008-09-07,98
2008-09-08,104
2008-09-09,96
2008-09-10,97
2008-09-11,96
2008-09-12,94
2008-09-13,94
2008-09-14,92
2008-09-15,97
2008-09-16,85
2008-09-17,82
2008-09-18,79
2008-09-19,76
2008-09-20,74
2008-09-21,76
2008-09-22,78
2008-09-23,73
2008-09-24,73
2008-09-25,74
2008-09-26,73
2008-09-27,73
2008-09-28,74
2008-09-29,78
2008-09-30,72
2008-10-01,72
2008-10-02,72
2008-10-03,72
2008-10-04,72
2008-10-05,74
2008-10-06,74
2008-10-07,71
2008-10-08,71
2008-10-09,72
2008-10-10,71
2008-10-11,71
2008-10-12,72
2008-10-13,73
2008-10-14,71
2008-10-15,68
2008-10-16,68
2008-10-17,67
2008-10-18,67
2008-10-19,68
2008-10-20,71
2008-10-21,64
2008-10-22,64
2008-10-23,63
2008-10-24,64
2008-10-25,62
2008-10-26,63
2008-10-27,63
2008-10-28,61
2008-10-29,60
2008-10-30,60
2008-10-31,61
2008-11-01,60
2008-11-02,60
2008-11-03,64
2008-11-04,64
2008-11-05,62
2008-11-06,62
2008-11-07,63
2008-11-08,64
2008-11-09,66
2008-11-10,65
2008-11-11,63
2008-11-12,62
2008-11-13,63
2008-11-14,61
2008-11-15,61
2008-11-16,61
2008-11-17,65
2008-11-18,60
2008-11-19,59
2008-11-20,58
2008-11-21,59
2008-11-22,58
2008-11-23,60
2008-11-24,62
2008-11-25,59
2008-11-26,60
2008-11-27,60
2008-11-28,61
2008-11-29,63
2008-11-30,62
2008-12-01,65
2008-12-02,63
2008-12-03,62
2008-12-04,65
2008-12-05,62
2008-12-06,63
2008-12-07,64
2008-12-08,63
2008-12-09,63
2008-12-10,61
2008-12-11,65
2008-12-12,60
2008-12-13,60
2008-12-14,63
2008-12-15,62
2008-12-16,60
2008-12-17,60
2008-12-18,60
2008-12-19,60
2008-12-20,60
2008-12-21,62
2008-12-22,66
2008-12-23,65
2008-12-24,66
2008-12-25,67
2008-12-26,72
2008-12-27,72
2008-12-28,69
2008-12-29,70
2008-12-30,67
2008-12-31,65
2009-01-01,63
2009-01-02,67
2009-01-03,61
2009-01-04,59
2009-01-05,60
2009-01-06,58
2009-01-07,55
2009-01-08,53
2009-01-09,55
2009-01-10,51
2009-01-11,54
2009-01-12,52
2009-01-13,53
2009-01-14,54
2009-01-15,55
2009-01-16,55
2009-01-17,56
2009-01-18,58
2009-01-19,55
2009-01-20,53
2009-01-21,52
2009-01-22,54
2009-01-23,50
2009-01-24,49
2009-01-25,51
2009-01-26,52
2009-01-27,50
2009-01-28,50
2009-01-29,50
2009-01-30,50
2009-01-31,51
2009-02-01,50
2009-02-02,53
2009-02-03,49
2009-02-04,50
2009-02-05,48
2009-02-06,47
2009-02-07,47
2009-02-08,49
2009-02-09,49
2009-02-10,46
2009-02-11,47
2009-02-12,46
2009-02-13,47
2009-02-14,46
2009-02-15,46
2009-02-16,47
2009-02-17,48
2009-02-18,45
2009-02-19,45
2009-02-20,46
2009-02-21,45
2009-02-22,48
2009-02-23,45
2009-02-24,48
2009-02-25,45
2009-02-26,45
2009-02-27,45
2009-02-28,46
2009-03-01,47
2009-03-02,47
2009-03-03,46
2009-03-04,44
2009-03-05,43
2009-03-06,43
2009-03-07,43
2009-03-08,47
2009-03-09,45
2009-03-10,44
2009-03-11,46
2009-03-12,45
2009-03-13,45
2009-03-14,46
2009-03-15,46
2009-03-16,48
2009-03-17,43
2009-03-18,43
2009-03-19,42
2009-03-20,41
2009-03-21,41
2009-03-22,43
2009-03-23,42
2009-03-24,41
2009-03-25,41
2009-03-26,41
2009-03-27,41
2009-03-28,42
2009-03-29,42
2009-03-30,43
2009-03-31,42
2009-05-01,37
2009-05-02,37
2009-05-03,36
2009-05-04,39
2009-05-05,36
2009-05-06,37
2009-05-07,36
2009-05-08,37
2009-05-09,36
2009-05-10,36
2009-05-11,37
2009-05-12,38
2009-05-13,37
2009-05-14,38
2009-05-15,38
2009-05-16,39
2009-05-17,40
2009-05-18,40
2009-05-19,40
2009-05-20,42
2009-05-21,41
2009-05-22,41
2009-05-23,42
2009-05-24,41
2009-05-25,44
2009-05-26,40
2009-05-27,42
2009-05-28,39
2009-05-29,38
2009-05-30,38
2009-05-31,38
2009-06-01,39
2009-06-02,39
2009-06-03,39
2009-06-04,40
2009-06-05,40
2009-06-06,41
2009-06-07,41
2009-06-08,42
2009-06-09,40
2009-06-10,41
2009-06-11,40
2009-06-12,40
2009-06-13,40
2009-06-14,39
2009-06-15,39
2009-06-16,38
2009-06-17,37
2009-06-18,35
2009-06-19,34
2009-06-20,33
2009-06-21,33
2009-06-22,35
2009-06-23,35
2009-06-24,36
2009-06-25,36
2009-06-26,38
2009-06-27,38
2009-06-28,38
2009-06-29,41
2009-06-30,38
2009-07-01,38
2009-07-02,38
2009-07-03,38
2009-07-04,38
2009-07-05,39
2009-07-06,37
2009-07-07,37
2009-07-08,38
2009-07-09,36
2009-07-10,36
2009-07-11,36
2009-07-12,36
2009-07-13,38
2009-07-14,36
2009-07-15,36
2009-07-16,36
2009-07-17,36
2009-07-18,36
2009-07-19,36
2009-07-20,36
2009-07-21,33
2009-07-22,33
2009-07-23,32
2009-07-24,31
2009-07-25,31
2009-07-26,31
2009-07-27,31
2009-07-28,32
2009-07-29,31
2009-07-30,31
2009-07-31,31
2009-08-01,32
2009-08-02,33
2009-08-03,36
2009-08-04,37
2009-08-05,38
2009-08-06,39
2009-08-07,42
2009-08-08,43
2009-08-09,44
2009-08-10,45
2009-08-11,42
2009-08-12,42
2009-08-13,42
2009-08-14,44
2009-08-15,42
2009-08-16,40
2009-08-17,42
2009-08-18,38
2009-08-19,37
2009-08-20,36
2009-08-21,35
2009-08-22,34
2009-08-23,34
2009-08-24,34
2009-08-25,33
2009-08-26,33
2009-08-27,34
2009-08-28,33
2009-08-29,33
2009-08-30,33
2009-08-31,34
2009-09-01,33
2009-09-02,33
2009-09-03,35
2009-09-04,33
2009-09-05,34
2009-09-06,35
2009-09-07,35
2009-09-08,35
2009-09-09,35
2009-09-10,37
2009-09-11,36
2009-09-12,37
2009-09-13,38
2009-09-14,40
2009-09-15,37
2009-09-16,37
2009-09-17,38
2009-09-18,37
2009-09-19,38
2009-09-20,46
2009-09-21,52
2009-09-22,59
2009-09-23,67
2009-09-24,74
2009-09-25,88
2009-09-26,99
2009-09-27,83
2009-09-28,74
2009-09-29,69
2009-09-30,60
2009-10-01,54
2009-10-02,46
2009-10-03,39
2009-10-04,38
