Date,OpenTable
2008-07-12,56
2008-07-13,58
2008-07-14,55
2008-07-15,55
2008-07-16,57
2008-07-17,55
2008-07-18,55
2008-07-19,56
2008-07-20,58
2008-07-21,56
2008-07-22,57
2008-07-23,58
2008-07-24,59
2008-07-25,60
2008-07-26,62
2008-07-27,65
2008-07-28,60
2008-07-29,59
2008-07-30,59
2008-07-31,59
2008-08-01,58
2008-08-02,59
2008-08-03,61
2008-08-04,57
2008-08-05,57
2008-08-06,57
2008-08-07,57
2008-08-08,58
2008-08-09,58
2008-08-10,57
2008-08-11,57
2008-08-12,58
2008-08-13,58
2008-08-14,59
2008-08-15,58
2008-08-16,60
2008-08-17,60
2008-08-18,59
2008-08-19,58
2008-08-20,58
2008-08-21,58
2008-08-22,58
2008-08-23,58
2008-08-24,61
2008-08-25,55
2008-08-26,53
2008-08-27,52
2008-08-28,50
2008-08-29,49
2008-08-30,49
2008-08-31,50
2008-09-01,49
2008-09-02,47
2008-09-03,47
2008-09-04,46
2008-09-05,46
2008-09-06,47
2008-09-07,50
2008-09-08,46
2008-09-09,47
2008-09-10,47
2008-09-11,49
2008-09-12,48
2008-09-13,49
2008-09-14,54
2008-09-15,49
2008-09-16,49
2008-09-17,49
2008-09-18,49
2008-09-19,49
2008-09-20,51
2008-09-21,53
2008-09-22,49
2008-09-23,49
2008-09-24,49
2008-09-25,49
2008-09-26,49
2008-09-27,49
2008-09-28,54
2008-09-29,48
2008-09-30,47
2008-10-01,47
2008-10-02,46
2008-10-03,46
2008-10-04,46
2008-10-05,49
2008-10-06,47
2008-10-07,47
2008-10-08,48
2008-10-09,48
2008-10-10,49
2008-10-11,50
2008-10-12,52
2008-10-13,52
2008-10-14,50
2008-10-15,52
2008-10-16,50
2008-10-17,50
2008-10-18,50
2008-10-19,54
2008-10-20,49
2008-10-21,49
2008-10-22,49
2008-10-23,49
2008-10-24,49
2008-10-25,49
2008-10-26,52
2008-10-27,47
2008-10-28,47
2008-10-29,46
2008-10-30,48
2008-10-31,45
2008-11-01,45
2008-11-02,48
2008-11-03,47
2008-11-04,47
2008-11-05,48
2008-11-06,49
2008-11-07,50
2008-11-08,51
2008-11-09,57
2008-11-10,52
2008-11-11,53
2008-11-12,53
2008-11-13,55
2008-11-14,55
2008-11-15,56
2008-11-16,60
2008-11-17,57
2008-11-18,58
2008-11-19,59
2008-11-20,61
2008-11-21,60
2008-11-22,61
2008-11-23,63
2008-11-24,57
2008-11-25,56
2008-11-26,54
2008-11-27,55
2008-11-28,51
2008-11-29,50
2008-11-30,55
2008-12-01,52
2008-12-02,53
2008-12-03,56
2008-12-04,55
2008-12-05,57
2008-12-06,58
2008-12-07,62
2008-12-08,58
2008-12-09,60
2008-12-10,58
2008-12-11,60
2008-12-12,58
2008-12-13,58
2008-12-14,62
2008-12-15,57
2008-12-16,59
2008-12-17,57
2008-12-18,57
2008-12-19,57
2008-12-20,57
2008-12-21,59
2008-12-22,58
2008-12-23,58
2008-12-24,59
2008-12-25,61
2008-12-26,61
2008-12-27,61
2008-12-28,63
2008-12-29,65
2008-12-30,64
2008-12-31,65
2009-01-01,66
2009-01-02,67
2009-01-03,68
2009-01-04,71
2009-01-05,64
2009-01-06,62
2009-01-07,60
2009-01-08,58
2009-01-09,56
2009-01-10,55
2009-01-11,56
2009-01-12,54
2009-01-13,54
2009-01-14,54
2009-01-15,56
2009-01-16,54
2009-01-17,55
2009-01-18,59
2009-01-19,58
2009-01-20,58
2009-01-21,59
2009-01-22,61
2009-01-23,61
2009-01-24,64
2009-01-25,67
2009-01-26,63
2009-01-27,63
2009-01-28,64
2009-01-29,64
2009-01-30,65
2009-01-31,65
2009-02-01,70
2009-02-02,67
2009-02-03,68
2009-02-04,69
2009-02-05,73
2009-02-06,71
2009-02-07,73
2009-02-08,82
2009-02-09,80
