Date,TriMas
2006-02-01,90
2006-02-02,90
2006-02-03,90
2006-02-04,90
2006-02-05,90
2006-02-06,90
2006-02-07,91
2006-02-08,91
2006-02-09,91
2006-02-10,91
2006-02-11,91
2006-02-12,91
2006-02-13,92
2006-02-14,92
2006-02-15,92
2006-02-16,92
2006-02-17,92
2006-02-18,93
2006-02-19,93
2006-02-20,93
2006-02-21,93
2006-02-22,93
2006-02-23,93
2006-02-24,94
2006-02-25,94
2006-02-26,94
2006-02-27,94
2006-02-28,94
2006-03-01,95
2006-03-02,94
2006-03-03,93
2006-03-04,92
2006-03-05,91
2006-03-06,90
2006-03-07,90
2006-03-08,89
2006-03-09,88
2006-03-10,87
2006-03-11,86
2006-03-12,86
2006-03-13,85
2006-03-14,84
2006-03-15,83
2006-03-16,82
2006-03-17,82
2006-03-18,81
2006-03-19,80
2006-03-20,79
2006-03-21,78
2006-03-22,78
2006-03-23,77
2006-03-24,76
2006-03-25,75
2006-03-26,74
2006-03-27,74
2006-03-28,73
2006-03-29,72
2006-03-30,71
2006-03-31,70
2006-04-01,70
2006-04-02,70
2006-04-03,70
2006-04-04,70
2006-04-05,70
2006-04-06,71
2006-04-07,71
2006-04-08,71
2006-04-09,71
2006-04-10,71
2006-04-11,72
2006-04-12,72
2006-04-13,72
2006-04-14,72
2006-04-15,72
2006-04-16,73
2006-04-17,73
2006-04-18,73
2006-04-19,73
2006-04-20,73
2006-04-21,74
2006-04-22,74
2006-04-23,74
2006-04-24,74
2006-04-25,74
2006-04-26,75
2006-04-27,75
2006-04-28,75
2006-04-29,75
2006-04-30,75
2006-05-01,76
2006-05-02,75
2006-05-03,75
2006-05-04,75
2006-05-05,74
2006-05-06,74
2006-05-07,74
2006-05-08,73
2006-05-09,73
2006-05-10,73
2006-05-11,73
2006-05-12,72
2006-05-13,72
2006-05-14,72
2006-05-15,71
2006-05-16,71
2006-05-17,71
2006-05-18,71
2006-05-19,70
2006-05-20,70
2006-05-21,70
2006-05-22,69
2006-05-23,69
2006-05-24,69
2006-05-25,69
2006-05-26,68
2006-05-27,68
2006-05-28,68
2006-05-29,67
2006-05-30,67
2006-05-31,67
2006-06-01,67
2006-06-02,67
2006-06-03,68
2006-06-04,69
2006-06-05,70
2006-06-06,71
2006-06-07,71
2006-06-08,72
2006-06-09,73
2006-06-10,74
2006-06-11,75
2006-06-12,75
2006-06-13,76
2006-06-14,77
2006-06-15,78
2006-06-16,79
2006-06-17,79
2006-06-18,80
2006-06-19,81
2006-06-20,82
2006-06-21,83
2006-06-22,83
2006-06-23,84
2006-06-24,85
2006-06-25,86
2006-06-26,87
2006-06-27,87
2006-06-28,88
