Date,Molycorp
2009-10-10,6
2009-10-11,6
2009-10-12,7
2009-10-13,7
2009-10-14,8
2009-10-15,9
2009-10-16,9
2009-10-17,10
2009-10-18,9
2009-10-19,8
2009-10-20,8
2009-10-21,7
2009-10-22,6
2009-10-23,6
2009-10-24,5
2009-10-25,4
2009-10-26,3
2009-10-27,2
2009-10-28,2
2009-10-29,1
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,1
2009-12-01,2
2009-12-02,2
2009-12-03,3
2009-12-04,4
2009-12-05,5
2009-12-06,5
2009-12-07,5
2009-12-08,5
2009-12-09,5
2009-12-10,5
2009-12-11,5
2009-12-12,5
2009-12-13,5
2009-12-14,5
2009-12-15,5
2009-12-16,5
2009-12-17,5
2009-12-18,5
2009-12-19,5
2009-12-20,5
2009-12-21,5
2009-12-22,5
2009-12-23,5
2009-12-24,5
2009-12-25,5
2009-12-26,6
2009-12-27,6
2010-01-03,6
2010-01-04,6
2010-01-05,6
2010-01-06,6
2010-01-07,6
2010-01-08,6
2010-01-09,7
2010-01-10,6
2010-01-11,6
2010-01-12,5
2010-01-13,5
2010-01-14,4
2010-01-15,4
2010-01-16,4
2010-01-17,4
2010-01-18,4
2010-01-19,4
2010-01-20,4
2010-01-21,4
2010-01-22,4
2010-01-23,4
2010-01-24,4
2010-01-25,4
2010-01-26,4
2010-01-27,4
2010-01-28,4
2010-01-29,4
2010-01-30,4
2010-01-31,4
2010-02-01,4
2010-02-02,4
2010-02-03,4
2010-02-04,4
2010-02-05,4
2010-02-06,4
2010-02-07,4
2010-02-08,4
2010-02-09,4
2010-02-10,4
2010-02-11,4
2010-02-12,4
2010-02-13,4
2010-02-14,4
2010-02-15,4
2010-02-16,4
2010-02-17,4
2010-02-18,4
2010-02-19,4
2010-02-20,4
2010-02-21,4
2010-02-22,4
2010-02-23,4
2010-02-24,4
2010-02-25,4
2010-02-26,4
2010-02-27,4
2010-02-28,4
2010-03-01,4
2010-03-02,4
2010-03-03,4
2010-03-04,4
2010-03-05,4
2010-03-06,4
2010-03-07,5
2010-03-08,7
2010-03-09,8
2010-03-10,9
2010-03-11,11
2010-03-12,13
2010-03-13,14
2010-03-14,13
2010-03-15,11
2010-03-16,10
2010-03-17,8
2010-03-18,7
2010-03-19,6
2010-03-20,5
2010-03-21,5
2010-03-22,5
2010-03-23,5
2010-03-24,5
2010-03-25,5
2010-03-26,5
2010-03-27,5
2010-03-28,5
2010-04-04,5
2010-04-05,6
2010-04-06,5
2010-04-07,5
2010-04-08,5
2010-04-09,5
2010-04-10,5
2010-04-11,5
2010-04-12,5
2010-04-13,5
2010-04-14,5
2010-04-15,5
2010-04-16,5
2010-04-17,5
2010-04-18,6
2010-04-19,7
2010-04-20,8
2010-04-21,9
2010-04-22,10
2010-04-23,11
2010-04-24,13
2010-04-25,12
2010-04-26,12
2010-04-27,11
2010-04-28,11
2010-04-29,10
2010-04-30,10
2010-05-01,10
2010-05-02,9
2010-05-03,8
2010-05-04,7
2010-05-05,7
2010-05-06,6
2010-05-07,5
2010-05-08,5
2010-05-09,5
2010-05-10,5
2010-05-11,5
2010-05-12,5
2010-05-13,5
2010-05-14,5
2010-05-15,5
2010-05-16,5
2010-05-17,5
2010-05-18,5
2010-05-19,5
2010-05-20,5
2010-05-21,5
2010-05-22,5
2010-05-23,5
2010-05-24,5
2010-05-25,5
2010-05-26,5
2010-05-27,5
2010-05-28,5
2010-05-29,5
2010-05-30,5
2010-05-31,5
2010-06-01,5
2010-06-02,5
2010-06-03,5
2010-06-04,5
2010-06-05,5
2010-06-06,5
2010-06-07,6
2010-06-08,6
2010-06-09,7
2010-06-10,7
2010-06-11,8
2010-06-12,9
2010-06-13,9
2010-06-14,10
2010-06-15,10
2010-06-16,11
2010-06-17,11
2010-06-18,12
2010-06-19,13
2010-06-20,12
2010-06-21,11
2010-06-22,10
2010-06-23,10
2010-06-24,9
2010-06-25,8
2010-06-26,8
2010-06-27,8
2010-07-04,7
2010-07-05,8
2010-07-06,6
2010-07-07,5
2010-07-08,5
2010-07-09,4
2010-07-10,4
2010-07-11,4
2010-07-12,5
2010-07-13,6
2010-07-14,6
2010-07-15,7
2010-07-16,8
2010-07-17,9
2010-07-18,9
2010-07-19,8
2010-07-20,8
2010-07-21,8
2010-07-22,8
2010-07-23,8
2010-07-24,8
2010-07-25,11
2010-07-26,14
2010-07-27,17
2010-07-28,20
2010-07-29,23
2010-07-30,26
2010-07-31,29
2010-08-01,28
2010-08-02,26
2010-08-03,24
2010-08-04,23
2010-08-05,21
2010-08-06,20
2010-08-07,18
2010-08-08,16
2010-08-09,14
2010-08-10,13
2010-08-11,11
2010-08-12,10
2010-08-13,8
2010-08-14,7
2010-08-15,7
2010-08-16,7
2010-08-17,7
2010-08-18,7
2010-08-19,7
2010-08-20,7
2010-08-21,7
2010-08-22,7
2010-08-23,7
2010-08-24,8
2010-08-25,8
2010-08-26,9
2010-08-27,9
2010-08-28,10
2010-08-29,9
2010-08-30,9
2010-08-31,9
2010-09-01,8
2010-09-02,8
2010-09-03,8
2010-09-04,8
2010-09-05,8
2010-09-06,9
2010-09-07,10
2010-09-08,10
2010-09-09,11
2010-09-10,12
2010-09-11,13
2010-09-12,13
2010-09-13,13
2010-09-14,13
2010-09-15,13
2010-09-16,13
2010-09-17,13
2010-09-18,14
2010-09-19,14
2010-09-20,14
2010-09-21,14
2010-09-22,15
2010-09-23,15
2010-09-24,15
2010-09-25,16
2010-09-26,18
2010-10-01,28
2010-10-02,31
2010-10-03,30
2010-10-04,29
2010-10-05,30
2010-10-06,27
2010-10-07,26
2010-10-08,25
2010-10-09,25
2010-10-10,23
2010-10-11,21
2010-10-12,20
2010-10-13,18
2010-10-14,17
2010-10-15,15
2010-10-16,14
2010-10-17,19
2010-10-18,24
2010-10-19,29
