Date,Cloud Peak Energy
2010-02-14,16
2010-02-15,16
2010-02-16,16
2010-02-17,16
2010-02-18,16
2010-02-19,16
2010-02-20,17
2010-02-21,17
2010-02-22,17
2010-02-23,17
2010-02-24,17
2010-02-25,17
2010-02-26,17
2010-02-27,17
2010-02-28,17
2010-03-01,18
2010-03-02,17
2010-03-03,17
2010-03-04,17
2010-03-05,17
2010-03-06,17
2010-03-07,17
2010-03-08,17
2010-03-09,17
2010-03-10,17
2010-03-11,17
2010-03-12,16
2010-03-13,16
2010-03-14,16
2010-03-15,16
2010-03-16,16
2010-03-17,16
2010-03-18,16
2010-03-19,16
2010-03-20,16
2010-03-21,16
2010-03-22,15
2010-03-23,15
2010-03-24,15
2010-03-25,15
2010-03-26,15
2010-03-27,15
2010-03-28,15
2010-03-29,15
2010-03-30,15
2010-03-31,15
2010-04-01,15
2010-04-02,14
2010-04-03,14
2010-04-04,14
2010-04-05,14
2010-04-06,14
2010-04-07,14
2010-04-08,13
2010-04-09,13
2010-04-10,13
2010-04-11,13
2010-04-12,13
2010-04-13,13
2010-04-14,12
2010-04-15,12
2010-04-16,12
2010-04-17,12
2010-04-18,12
2010-04-19,12
2010-04-20,11
2010-04-21,11
2010-04-22,11
2010-04-23,11
2010-04-24,11
2010-04-25,11
2010-04-26,10
2010-04-27,10
2010-04-28,10
2010-04-29,10
2010-04-30,10
2010-05-01,10
2010-05-02,9
2010-05-03,9
2010-05-04,9
2010-05-05,9
2010-05-06,9
2010-05-07,9
2010-05-08,9
2010-05-09,9
2010-05-10,9
2010-05-11,9
2010-05-12,9
2010-05-13,9
2010-05-14,9
2010-05-15,9
2010-05-16,9
2010-05-17,9
2010-05-18,9
2010-05-19,9
2010-05-20,9
2010-05-21,9
2010-05-22,9
2010-05-23,9
2010-05-24,9
2010-05-25,9
2010-05-26,9
2010-05-27,9
2010-05-28,9
2010-05-29,9
2010-05-30,9
2010-05-31,9
2010-06-01,9
2010-06-02,9
2010-06-03,9
2010-06-04,10
2010-06-05,10
2010-06-06,10
2010-06-07,11
2010-06-08,11
2010-06-09,11
2010-06-10,12
2010-06-11,12
2010-06-12,12
2010-06-13,13
2010-06-14,13
2010-06-15,13
2010-06-16,14
2010-06-17,14
2010-06-18,14
2010-06-19,15
2010-06-20,15
2010-06-21,15
2010-06-22,16
2010-06-23,16
2010-06-24,16
2010-06-25,17
2010-06-26,17
2010-06-27,17
2010-06-28,18
2010-06-29,18
2010-06-30,18
2010-07-01,19
2010-07-02,18
2010-07-03,18
2010-07-04,18
2010-07-05,18
2010-07-06,17
2010-07-07,17
2010-07-08,17
2010-07-09,17
2010-07-10,16
2010-07-11,16
2010-07-12,16
2010-07-13,16
2010-07-14,16
2010-07-15,15
2010-07-16,15
2010-07-17,15
2010-07-18,15
2010-07-19,14
2010-07-20,14
2010-07-21,14
2010-07-22,14
2010-07-23,14
2010-07-24,13
2010-07-25,13
2010-07-26,13
2010-07-27,13
2010-07-28,12
2010-07-29,12
2010-07-30,12
2010-07-31,12
2010-08-01,12
2010-08-02,12
2010-08-03,12
2010-08-04,12
2010-08-05,12
2010-08-06,12
2010-08-07,12
2010-08-08,12
2010-08-09,12
2010-08-10,12
2010-08-11,12
2010-08-12,13
2010-08-13,13
2010-08-14,13
2010-08-15,13
2010-08-16,13
2010-08-17,13
2010-08-18,13
2010-08-19,13
2010-08-20,13
2010-08-21,13
2010-08-22,14
2010-08-23,14
2010-08-24,14
2010-08-25,14
2010-08-26,14
2010-08-27,14
2010-08-28,14
2010-08-29,14
2010-08-30,14
2010-08-31,14
2010-09-01,15
2010-09-02,14
2010-09-03,14
2010-09-04,14
2010-09-05,14
2010-09-06,14
2010-09-07,14
2010-09-08,14
2010-09-09,14
2010-09-10,14
2010-09-11,14
2010-09-12,14
2010-09-13,14
2010-09-14,14
2010-09-15,14
2010-09-16,14
2010-09-17,13
2010-09-18,13
2010-09-19,13
2010-09-20,13
2010-09-21,13
2010-09-22,13
2010-09-23,13
2010-09-24,13
2010-09-25,13
2010-09-26,13
2010-09-27,13
2010-09-28,13
2010-09-29,13
2010-09-30,13
2010-10-01,13
2010-10-02,13
2010-10-03,13
2010-10-04,13
2010-10-05,13
2010-10-06,13
2010-10-07,13
2010-10-08,13
2010-10-09,14
2010-10-10,14
2010-10-11,14
2010-10-12,14
2010-10-13,14
2010-10-14,14
2010-10-15,14
2010-10-16,14
2010-10-17,15
2010-10-18,15
2010-10-19,15
2010-10-20,15
2010-10-21,15
2010-10-22,15
2010-10-23,15
2010-10-24,15
2010-10-25,16
2010-10-26,16
2010-10-27,16
2010-10-28,16
2010-10-29,16
2010-10-30,16
2010-10-31,16
2010-11-07,16
2010-11-08,21
2010-11-09,16
2010-11-10,16
2010-11-11,16
2010-11-12,16
2010-11-13,16
2010-11-14,16
2010-11-15,16
2010-11-16,16
2010-11-17,16
2010-11-18,16
2010-11-19,16
2010-11-20,16
2010-11-21,16
2010-11-22,16
2010-11-23,16
2010-11-24,16
2010-11-25,16
2010-11-26,16
2010-11-27,16
2010-11-28,16
2010-11-29,16
2010-11-30,16
2010-12-01,16
2010-12-02,16
2010-12-03,16
2010-12-04,16
2010-12-05,16
2010-12-06,16
2010-12-07,16
2010-12-08,16
2010-12-09,16
2010-12-10,16
2010-12-11,16
2010-12-12,16
2010-12-13,16
2010-12-14,16
2010-12-15,16
2010-12-16,16
2010-12-17,16
2010-12-18,16
2010-12-19,16
2010-12-20,16
2010-12-21,16
2010-12-22,16
2010-12-23,16
2010-12-24,16
2010-12-25,16
2010-12-26,16
2010-12-27,16
2010-12-28,16
2010-12-29,16
2010-12-30,16
2010-12-31,16
2011-01-01,16
