Date,Ironplanet
2012-02-01,75
2012-02-02,76
2012-02-03,79
2012-02-04,78
2012-02-05,77
2012-02-06,77
2012-02-07,77
2012-02-08,76
2012-02-09,76
2012-02-10,80
2012-02-11,77
2012-02-12,77
2012-02-13,75
2012-02-14,75
2012-02-15,75
2012-02-16,75
2012-02-17,75
2012-02-18,79
2012-02-19,78
2012-02-20,82
2012-02-21,85
2012-02-22,94
2012-02-23,92
2012-02-24,101
2012-02-25,102
2012-02-26,96
2012-02-27,96
2012-02-28,90
2012-02-29,92
2012-03-01,83
2012-03-02,87
2012-03-03,77
2012-03-04,77
2012-03-05,77
2012-03-06,77
2012-03-07,78
2012-03-08,80
2012-03-09,81
2012-03-10,79
2012-03-11,77
2012-03-12,75
2012-03-13,73
2012-03-14,71
2012-03-15,69
2012-03-16,70
2012-03-17,66
2012-03-18,67
2012-03-19,72
2012-03-20,69
2012-03-21,71
2012-03-22,72
2012-03-23,78
2012-03-24,75
2012-03-25,77
2012-03-26,75
2012-03-27,76
2012-03-28,77
2012-03-29,79
2012-03-30,77
2012-03-31,82
2012-04-01,77
2012-04-02,77
2012-04-03,81
2012-04-04,76
2012-04-05,75
2012-04-06,83
2012-04-07,75
2012-04-08,72
2012-04-09,69
2012-04-10,70
2012-04-11,63
2012-04-12,60
2012-04-13,57
2012-04-14,54
2012-04-15,58
2012-04-16,57
2012-04-17,58
2012-04-18,60
2012-04-19,61
2012-04-20,70
2012-04-21,65
2012-04-22,64
2012-04-23,64
2012-04-24,64
2012-04-25,64
2012-04-26,64
2012-04-27,71
2012-04-28,64
2012-04-29,62
2012-04-30,60
2012-05-01,59
2012-05-02,59
2012-05-03,56
2012-05-04,59
2012-05-05,53
2012-05-06,54
2012-05-07,55
2012-05-08,57
2012-05-09,58
2012-05-10,60
2012-05-11,68
2012-05-12,63
2012-05-13,62
2012-05-14,62
2012-05-15,62
2012-05-16,66
2012-05-17,61
2012-05-18,62
2012-05-19,61
2012-05-20,60
2012-05-21,60
2012-05-22,60
2012-05-23,61
2012-05-24,60
2012-05-25,60
2012-05-26,60
2012-05-27,59
2012-05-28,58
2012-05-29,57
2012-05-30,56
2012-05-31,55
2012-06-01,54
2012-06-02,57
2012-06-03,55
2012-06-04,57
2012-06-05,59
2012-06-06,61
2012-06-07,63
2012-06-08,67
2012-06-09,68
2012-06-10,66
2012-06-11,62
2012-06-12,59
2012-06-13,56
2012-06-14,53
2012-06-15,50
2012-06-16,47
2012-06-17,48
2012-06-18,49
2012-06-19,50
2012-06-20,53
2012-06-21,54
2012-06-22,54
2012-06-23,56
2012-06-24,57
2012-06-25,58
2012-06-26,59
2012-06-27,60
2012-06-28,61
2012-06-29,64
2012-06-30,64
2012-07-01,61
2012-07-02,58
2012-07-03,55
2012-07-04,52
2012-07-05,53
2012-07-06,47
2012-07-07,44
2012-07-08,45
2012-07-09,46
2012-07-10,47
2012-07-11,49
2012-07-12,50
2012-07-13,55
2012-07-14,53
2012-07-15,54
2012-07-16,56
2012-07-17,58
2012-07-18,62
2012-07-19,61
2012-07-20,63
2012-07-21,73
2012-07-22,64
2012-07-23,63
2012-07-24,62
2012-07-25,62
2012-07-26,62
2012-07-27,60
2012-07-28,60
2012-07-29,59
2012-07-30,58
2012-07-31,58
2012-08-01,57
2012-08-02,58
2012-08-03,56
2012-08-04,56
2012-08-05,55
2012-08-06,55
2012-08-07,55
2012-08-08,58
2012-08-09,55
2012-08-10,56
2012-08-11,55
2012-08-12,57
2012-08-13,59
2012-08-14,61
2012-08-15,64
2012-08-16,65
2012-08-17,70
2012-08-18,72
2012-08-19,67
2012-08-20,65
2012-08-21,63
2012-08-22,61
2012-08-23,59
2012-08-24,60
2012-08-25,55
2012-08-26,57
2012-08-27,61
2012-08-28,61
2012-08-29,64
2012-08-30,66
2012-08-31,69
2012-09-01,74
2012-09-02,67
2012-09-03,64
2012-09-04,61
2012-09-05,58
2012-09-06,55
2012-09-07,52
2012-09-08,49
2012-09-09,49
2012-09-10,49
2012-09-11,51
2012-09-12,49
2012-09-13,49
2012-09-14,50
2012-09-15,50
2012-09-16,54
2012-09-17,58
2012-09-18,62
2012-09-19,66
2012-09-20,70
2012-09-21,80
2012-09-22,79
2012-09-23,76
2012-09-24,77
2012-09-25,73
2012-09-26,72
2012-09-27,70
2012-09-28,76
2012-09-29,67
2012-09-30,65
2012-10-01,63
2012-10-02,61
2012-10-03,59
2012-10-04,58
2012-10-05,58
2012-10-06,54
2012-10-07,56
2012-10-08,58
2012-10-09,60
2012-10-10,62
2012-10-11,64
2012-10-12,71
2012-10-13,68
2012-10-14,68
2012-10-15,68
2012-10-16,68
2012-10-17,68
2012-10-18,68
2012-10-19,68
2012-10-20,72
2012-10-21,68
2012-10-22,68
2012-10-23,68
2012-10-24,68
2012-10-25,71
2012-10-26,73
2012-10-27,70
2012-10-28,68
2012-10-29,68
2012-10-30,66
2012-10-31,66
2012-11-01,65
2012-11-02,64
2012-11-03,64
2012-11-04,63
2012-11-05,62
2012-11-06,63
2012-11-07,61
2012-11-08,61
2012-11-09,61
2012-11-10,60
2012-11-11,61
2012-11-12,58
2012-11-13,57
2012-11-14,57
2012-11-15,58
2012-11-16,55
2012-11-17,55
2012-11-18,54
2012-11-19,53
2012-11-20,53
2012-11-21,52
2012-11-22,56
2012-11-23,51
2012-11-24,51
2012-11-25,54
2012-11-26,57
2012-11-27,62
2012-11-28,63
2012-11-29,69
2012-11-30,73
2012-12-01,73
2012-12-02,72
2012-12-03,70
2012-12-04,69
2012-12-05,69
2012-12-06,68
2012-12-07,75
2012-12-08,67
2012-12-09,67
2012-12-10,67
2012-12-11,71
2012-12-12,68
2012-12-13,74
2012-12-14,68
2012-12-15,69
2012-12-16,72
2012-12-17,66
2012-12-18,65
2012-12-19,65
2012-12-20,63
2012-12-21,62
2012-12-22,61
2012-12-23,58
2012-12-24,55
2012-12-25,52
2012-12-26,49
2012-12-27,49
2012-12-28,43
2012-12-29,41
2012-12-30,41
2012-12-31,41
2013-01-01,42
2013-01-02,42
2013-01-03,43
2013-01-04,43
2013-01-05,45
2013-01-06,47
2013-01-07,50
2013-01-08,53
2013-01-09,56
2013-01-10,59
2013-01-11,65
2013-01-12,69
2013-01-13,64
2013-01-14,63
2013-01-15,62
2013-01-16,63
2013-01-17,58
2013-01-18,60
2013-01-19,60
2013-01-20,56
2013-01-21,57
2013-01-22,58
2013-01-23,61
2013-01-24,60
2013-01-25,61
2013-01-26,62
2013-01-27,63
2013-01-28,64
2013-01-29,65
2013-01-30,66
2013-01-31,67
2013-02-01,68
2013-02-02,70
2013-02-03,70
2013-02-04,73
2013-02-05,71
2013-02-06,71
2013-02-07,72
2013-02-08,72
2013-02-09,82
2013-02-10,73
2013-02-11,74
2013-02-12,78
2013-02-13,76
2013-02-14,77
