Date,Imperial Capital Group
2009-10-10,34
2009-10-11,37
2009-10-12,40
2009-10-13,43
2009-10-14,47
2009-10-15,50
2009-10-16,53
2009-10-17,57
2009-10-18,58
2009-10-19,60
2009-10-20,61
2009-10-21,63
2009-10-22,64
2009-10-23,66
2009-10-24,67
2009-10-25,68
2009-10-26,67
2009-10-27,67
2009-10-28,67
2009-10-29,67
2009-10-30,67
2009-10-31,68
2009-11-01,66
2009-11-02,65
2009-11-03,64
2009-11-04,63
2009-11-05,61
2009-11-06,60
2009-11-07,58
2009-11-08,54
2009-11-09,49
2009-11-10,44
2009-11-11,40
2009-11-12,35
2009-11-13,31
2009-11-14,27
2009-11-15,31
2009-11-16,35
2009-11-17,40
2009-11-18,44
2009-11-19,49
2009-11-20,53
2009-11-21,57
2009-11-22,54
2009-11-23,50
2009-11-24,46
2009-11-25,43
2009-11-26,39
2009-11-27,36
2009-11-28,33
2009-11-29,33
2009-11-30,34
2009-12-01,35
2009-12-02,35
2009-12-03,36
2009-12-04,37
2009-12-05,38
2009-12-06,38
2009-12-07,39
2009-12-08,40
2009-12-09,40
2009-12-10,41
2009-12-11,42
2009-12-12,43
2009-12-13,48
2009-12-14,54
2009-12-15,60
2009-12-16,66
2009-12-17,71
2009-12-18,77
2009-12-19,83
2009-12-20,78
2009-12-21,73
2009-12-22,68
2009-12-23,64
2009-12-24,59
2009-12-25,55
2009-12-26,51
2009-12-27,52
2010-01-03,60
2010-01-04,57
2010-01-05,53
2010-01-06,50
2010-01-07,46
2010-01-08,43
2010-01-09,40
2010-01-10,40
2010-01-11,41
2010-01-12,41
2010-01-13,42
2010-01-14,42
2010-01-15,43
2010-01-16,44
2010-01-17,45
2010-01-18,46
2010-01-19,47
2010-01-20,48
2010-01-21,49
2010-01-22,50
2010-01-23,51
2010-01-24,50
2010-01-25,50
2010-01-26,50
2010-01-27,49
2010-01-28,49
2010-01-29,49
2010-01-30,49
2010-01-31,56
2010-02-01,64
2010-02-02,72
2010-02-03,79
2010-02-04,87
2010-02-05,94
2010-02-06,102
2010-02-07,94
2010-02-08,85
2010-02-09,77
2010-02-10,69
2010-02-11,61
2010-02-12,53
2010-02-13,45
2010-02-14,44
2010-02-15,42
2010-02-16,40
2010-02-17,39
2010-02-18,37
2010-02-19,36
2010-02-20,35
2010-02-21,36
2010-02-22,38
2010-02-23,39
2010-02-24,41
2010-02-25,43
2010-02-26,44
2010-02-27,46
2010-02-28,43
2010-03-01,41
2010-03-02,39
2010-03-03,37
2010-03-04,34
2010-03-05,32
2010-03-06,30
2010-03-07,32
2010-03-08,34
2010-03-09,36
2010-03-10,39
2010-03-11,41
2010-03-12,43
2010-03-13,46
2010-03-14,43
2010-03-15,41
2010-03-16,38
2010-03-17,36
2010-03-18,33
2010-03-19,31
2010-03-20,29
2010-03-21,29
2010-03-22,29
2010-03-23,30
2010-03-24,30
2010-03-25,31
2010-03-26,31
2010-03-27,32
2010-03-28,32
2010-04-04,33
2010-04-05,33
2010-04-06,32
2010-04-07,32
2010-04-08,31
2010-04-09,31
2010-04-10,31
2010-04-11,34
2010-04-12,37
2010-04-13,41
2010-04-14,44
2010-04-15,47
2010-04-16,51
2010-04-17,54
2010-04-18,51
2010-04-19,48
2010-04-20,45
2010-04-21,42
2010-04-22,39
2010-04-23,36
2010-04-24,34
2010-04-25,34
2010-04-26,34
2010-04-27,34
2010-04-28,34
2010-04-29,34
2010-04-30,34
2010-05-01,35
2010-05-02,35
2010-05-03,35
2010-05-04,35
2010-05-05,35
2010-05-06,35
2010-05-07,35
2010-05-08,35
2010-05-09,36
2010-05-10,38
2010-05-11,40
2010-05-12,41
2010-05-13,43
2010-05-14,45
2010-05-15,46
2010-05-16,44
2010-05-17,41
2010-05-18,39
2010-05-19,36
2010-05-20,34
2010-05-21,32
2010-05-22,30
2010-05-23,30
2010-05-24,30
2010-05-25,30
2010-05-26,30
2010-05-27,30
2010-05-28,30
2010-05-29,31
2010-05-30,31
2010-05-31,31
2010-06-01,31
2010-06-02,31
2010-06-03,31
2010-06-04,31
2010-06-05,31
2010-06-06,32
2010-06-07,33
2010-06-08,34
2010-06-09,35
2010-06-10,36
2010-06-11,37
2010-06-12,38
2010-06-13,36
2010-06-14,35
2010-06-15,33
2010-06-16,32
2010-06-17,30
2010-06-18,29
2010-06-19,28
2010-06-20,28
2010-06-21,28
2010-06-22,29
2010-06-23,29
2010-06-24,29
2010-06-25,30
2010-06-26,30
2010-06-27,29
2010-07-04,26
2010-07-05,27
2010-07-06,28
2010-07-07,30
2010-07-08,31
2010-07-09,32
2010-07-10,34
2010-07-11,35
2010-07-12,36
2010-07-13,38
2010-07-14,39
2010-07-15,40
2010-07-16,42
2010-07-17,43
2010-07-18,41
2010-07-19,39
2010-07-20,38
2010-07-21,36
2010-07-22,34
2010-07-23,32
2010-07-24,31
2010-07-25,30
2010-07-26,30
2010-07-27,30
2010-07-28,29
2010-07-29,29
2010-07-30,29
2010-07-31,29
2010-08-01,30
2010-08-02,31
2010-08-03,32
2010-08-04,33
2010-08-05,34
2010-08-06,35
2010-08-07,36
2010-08-08,35
2010-08-09,34
2010-08-10,33
2010-08-11,32
2010-08-12,31
2010-08-13,30
2010-08-14,29
2010-08-15,28
2010-08-16,27
2010-08-17,26
2010-08-18,25
2010-08-19,24
2010-08-20,23
2010-08-21,23
2010-08-22,23
2010-08-23,23
2010-08-24,23
2010-08-25,23
2010-08-26,23
2010-08-27,23
2010-08-28,23
2010-08-29,23
2010-08-30,24
2010-08-31,24
2010-09-01,25
2010-09-02,25
2010-09-03,26
2010-09-04,27
2010-09-05,27
2010-09-06,28
2010-09-07,29
2010-09-08,30
2010-09-09,31
2010-09-10,32
2010-09-11,33
2010-09-12,34
2010-09-13,35
2010-09-14,36
2010-09-15,37
2010-09-16,38
2010-09-17,39
2010-09-18,40
2010-09-19,38
2010-09-20,36
2010-09-21,34
2010-09-22,33
2010-09-23,31
2010-09-24,29
2010-09-25,28
2010-09-26,30
2010-10-03,44
2010-10-04,42
2010-10-05,40
2010-10-06,38
2010-10-07,36
2010-10-08,34
2010-10-09,32
2010-10-10,31
2010-10-11,31
2010-10-12,31
2010-10-13,30
2010-10-14,30
2010-10-15,30
2010-10-16,30
2010-10-17,36
2010-10-18,42
2010-10-19,48
2010-10-20,55
2010-10-21,61
2010-10-22,67
2010-10-23,74
2010-10-24,68
2010-10-25,61
2010-10-26,56
2010-10-27,50
2010-10-28,45
2010-10-29,39
