Date,Masimo
2006-10-07,82
2006-10-08,83
2006-10-09,85
2006-10-10,87
2006-10-11,88
2006-10-12,90
2006-10-13,91
2006-10-14,93
2006-10-15,87
2006-10-16,81
2006-10-17,75
2006-10-18,69
2006-10-19,63
2006-10-20,57
2006-10-21,52
2006-10-22,57
2006-10-23,62
2006-10-24,68
2006-10-25,73
2006-10-26,79
2006-10-27,84
2006-10-28,90
2006-10-29,90
2006-10-30,90
2006-10-31,90
2006-11-01,90
2006-11-02,90
2006-11-03,90
2006-11-04,90
2006-11-05,88
2006-11-06,85
2006-11-07,83
2006-11-08,80
2006-11-09,78
2006-11-10,75
2006-11-11,73
2006-11-12,69
2006-11-13,66
2006-11-14,62
2006-11-15,59
2006-11-16,55
2006-11-17,52
2006-11-18,49
2006-11-19,50
2006-11-20,52
2006-11-21,54
2006-11-22,56
2006-11-23,58
2006-11-24,59
2006-11-25,61
2006-11-26,62
2006-11-27,63
2006-11-28,64
2006-11-29,65
2006-11-30,66
2006-12-01,67
2006-12-02,68
2006-12-03,67
2006-12-04,66
2006-12-05,65
2006-12-06,64
2006-12-07,63
2006-12-08,62
2006-12-09,61
2006-12-10,63
2006-12-11,65
2006-12-12,68
2006-12-13,70
2006-12-14,72
2006-12-15,75
2006-12-16,77
2006-12-17,74
2006-12-18,71
2006-12-19,68
2006-12-20,66
2006-12-21,63
2006-12-22,60
2006-12-23,58
2006-12-24,60
2006-12-25,62
2006-12-26,65
2006-12-27,67
2006-12-28,69
2006-12-29,72
2006-12-30,74
2006-12-31,71
2007-01-07,51
2007-01-08,52
2007-01-09,52
2007-01-10,53
2007-01-11,53
2007-01-12,54
2007-01-13,55
2007-01-14,56
2007-01-15,58
2007-01-16,59
2007-01-17,61
2007-01-18,62
2007-01-19,64
2007-01-20,66
2007-01-21,69
2007-01-22,72
2007-01-23,76
2007-01-24,79
2007-01-25,82
2007-01-26,85
2007-01-27,88
2007-01-28,84
2007-01-29,79
2007-01-30,74
2007-01-31,70
2007-02-01,66
2007-02-02,62
2007-02-03,58
2007-02-04,57
2007-02-05,56
2007-02-06,55
2007-02-07,54
2007-02-08,53
2007-02-09,52
2007-02-10,52
2007-02-11,53
2007-02-12,55
2007-02-13,57
2007-02-14,58
2007-02-15,60
2007-02-16,62
2007-02-17,64
2007-02-18,63
2007-02-19,63
2007-02-20,62
2007-02-21,62
2007-02-22,61
2007-02-23,61
2007-02-24,61
2007-02-25,58
2007-02-26,55
2007-02-27,52
2007-02-28,50
2007-03-01,47
2007-03-02,44
2007-03-03,42
2007-03-04,45
2007-03-05,48
2007-03-06,51
2007-03-07,54
2007-03-08,57
2007-03-09,60
2007-03-10,63
2007-03-11,64
2007-03-12,66
2007-03-13,67
2007-03-14,69
2007-03-15,70
2007-03-16,72
2007-03-17,73
2007-03-18,74
2007-03-19,75
2007-03-20,76
2007-03-21,77
2007-03-22,78
2007-03-23,79
2007-03-24,81
2007-03-25,79
2007-04-01,68
2007-04-02,66
2007-04-03,63
2007-04-04,61
2007-04-05,58
2007-04-06,56
2007-04-07,54
2007-04-08,54
2007-04-09,54
2007-04-10,54
2007-04-11,55
2007-04-12,55
2007-04-13,55
2007-04-14,56
2007-04-15,62
2007-04-16,69
2007-04-17,76
2007-04-18,82
2007-04-19,89
2007-04-20,95
2007-04-21,102
2007-04-22,94
2007-04-23,84
2007-04-24,76
2007-04-25,68
2007-04-26,60
2007-04-27,52
2007-04-28,45
2007-04-29,49
2007-04-30,54
2007-05-01,58
2007-05-02,63
2007-05-03,67
2007-05-04,72
2007-05-05,77
2007-05-06,76
2007-05-07,75
2007-05-08,74
2007-05-09,74
2007-05-10,73
2007-05-11,72
2007-05-12,72
2007-05-13,71
2007-05-14,71
2007-05-15,71
2007-05-16,70
2007-05-17,70
2007-05-18,70
2007-05-19,70
2007-05-20,71
2007-05-21,73
2007-05-22,75
2007-05-23,76
2007-05-24,78
2007-05-25,79
2007-05-26,81
2007-05-27,78
2007-05-28,75
2007-05-29,72
2007-05-30,70
2007-05-31,67
2007-06-01,64
2007-06-02,62
2007-06-03,63
2007-06-04,65
2007-06-05,67
2007-06-06,68
2007-06-07,70
2007-06-08,71
2007-06-09,73
2007-06-10,72
2007-06-11,71
2007-06-12,70
2007-06-13,69
2007-06-14,68
2007-06-15,67
2007-06-16,67
2007-06-17,68
2007-06-18,70
2007-06-19,72
2007-06-20,74
2007-06-21,75
2007-06-22,77
2007-06-23,79
2007-06-24,78
2007-07-01,74
2007-07-02,73
2007-07-03,72
2007-07-04,71
2007-07-05,70
2007-07-06,69
2007-07-07,68
2007-07-08,70
2007-07-09,73
2007-07-10,76
2007-07-11,78
2007-07-12,81
2007-07-13,84
2007-07-14,87
2007-07-15,84
2007-07-16,81
2007-07-17,78
2007-07-18,76
2007-07-19,73
2007-07-20,70
2007-07-21,68
2007-07-22,71
2007-07-23,74
2007-07-24,78
2007-07-25,81
2007-07-26,85
2007-07-27,88
2007-07-28,92
2007-07-29,90
2007-07-30,88
2007-07-31,87
2007-08-01,85
2007-08-02,84
2007-08-03,82
2007-08-04,81
2007-08-05,81
2007-08-06,82
2007-08-07,83
2007-08-08,84
2007-08-09,84
2007-08-10,85
2007-08-11,86
2007-08-12,82
2007-08-13,77
2007-08-14,73
