Date,Workday Inc
2012-02-11,23
2012-02-12,23
2012-02-13,23
2012-02-14,24
2012-02-15,24
2012-02-16,25
2012-02-17,25
2012-02-18,30
2012-02-19,25
2012-02-20,24
2012-02-21,24
2012-02-22,23
2012-02-23,23
2012-02-24,24
2012-02-25,23
2012-02-26,23
2012-02-27,22
2012-02-28,22
2012-02-29,23
2012-03-01,22
2012-03-02,22
2012-03-03,24
2012-03-04,21
2012-03-05,20
2012-03-06,20
2012-03-07,19
2012-03-08,19
2012-03-09,18
2012-03-10,20
2012-03-11,18
2012-03-12,18
2012-03-13,19
2012-03-14,19
2012-03-15,20
2012-03-16,21
2012-03-17,23
2012-03-18,21
2012-03-19,21
2012-03-20,21
2012-03-21,21
2012-03-22,21
2012-03-23,21
2012-03-24,22
2012-03-25,22
2012-03-26,20
2012-03-27,19
2012-03-28,19
2012-03-29,18
2012-03-30,18
2012-03-31,20
2012-04-01,18
2012-04-02,18
2012-04-03,19
2012-04-04,18
2012-04-05,18
2012-04-06,21
2012-04-07,20
2012-04-08,19
2012-04-09,19
2012-04-10,20
2012-04-11,20
2012-04-12,21
2012-04-13,20
2012-04-14,24
2012-04-15,21
2012-04-16,21
2012-04-17,23
2012-04-18,22
2012-04-19,22
2012-04-20,22
2012-04-21,26
2012-04-22,23
2012-04-23,23
2012-04-24,23
2012-04-25,23
2012-04-26,23
2012-04-27,23
2012-04-28,26
2012-04-29,23
2012-04-30,23
2012-05-01,24
2012-05-02,25
2012-05-03,25
2012-05-04,25
2012-05-05,29
2012-05-06,26
2012-05-07,25
2012-05-08,24
2012-05-09,24
2012-05-10,24
2012-05-11,23
2012-05-12,27
2012-05-13,23
2012-05-14,23
2012-05-15,23
2012-05-16,25
2012-05-17,24
2012-05-18,24
2012-05-19,27
2012-05-20,25
2012-05-21,23
2012-05-22,22
2012-05-23,22
2012-05-24,20
2012-05-25,20
2012-05-26,21
2012-05-27,19
2012-05-28,19
2012-05-29,19
2012-05-30,19
2012-05-31,20
2012-06-01,20
2012-06-02,20
2012-06-03,20
2012-06-04,20
2012-06-05,20
2012-06-06,20
2012-06-07,20
2012-06-08,20
2012-06-09,23
2012-06-10,20
2012-06-11,21
2012-06-12,22
2012-06-13,23
2012-06-14,25
2012-06-15,25
2012-06-16,28
2012-06-17,27
2012-06-18,26
2012-06-19,26
2012-06-20,26
2012-06-21,26
2012-06-22,26
2012-06-23,26
2012-06-24,26
2012-06-25,25
2012-06-26,25
2012-06-27,25
2012-06-28,24
2012-06-29,24
2012-06-30,27
2012-07-01,23
2012-07-02,22
2012-07-03,22
2012-07-04,23
2012-07-05,21
2012-07-06,21
2012-07-07,20
2012-07-08,20
2012-07-09,21
2012-07-10,23
2012-07-11,22
2012-07-12,24
2012-07-13,24
2012-07-14,26
2012-07-15,27
2012-07-16,24
2012-07-17,25
2012-07-18,24
2012-07-19,27
2012-07-20,24
2012-07-21,28
2012-07-22,23
2012-07-23,23
2012-07-24,23
2012-07-25,22
2012-07-26,23
2012-07-27,23
2012-07-28,23
2012-07-29,21
2012-07-30,21
2012-07-31,21
2012-08-01,20
2012-08-02,21
2012-08-03,20
2012-08-04,22
2012-08-05,20
2012-08-06,21
2012-08-07,23
2012-08-08,23
2012-08-09,25
2012-08-10,25
2012-08-11,28
2012-08-12,28
2012-08-13,26
2012-08-14,26
2012-08-15,29
2012-08-16,27
2012-08-17,27
2012-08-18,32
2012-08-19,27
2012-08-20,27
2012-08-21,27
2012-08-22,27
2012-08-23,27
2012-08-24,28
2012-08-25,30
2012-08-26,28
2012-08-27,29
2012-08-28,30
2012-08-29,31
2012-08-30,32
2012-08-31,33
2012-09-01,39
2012-09-02,38
2012-09-03,33
2012-09-04,33
2012-09-05,33
2012-09-06,32
2012-09-07,31
2012-09-08,35
2012-09-09,31
2012-09-10,30
2012-09-11,31
2012-09-12,30
2012-09-13,31
2012-09-14,31
2012-09-15,32
2012-09-16,29
2012-09-17,29
2012-09-18,29
2012-09-19,29
2012-09-20,29
2012-09-21,29
2012-09-22,33
2012-09-23,29
2012-09-24,29
2012-09-25,29
2012-09-26,29
2012-09-27,29
2012-09-28,30
2012-09-29,31
2012-09-30,31
2012-10-01,32
2012-10-02,34
2012-10-03,35
2012-10-04,38
2012-10-05,40
2012-10-06,45
2012-10-07,50
2012-10-08,57
2012-10-09,66
2012-10-10,76
2012-10-11,83
2012-10-12,91
2012-10-13,118
2012-10-14,103
2012-10-15,87
2012-10-16,82
2012-10-17,79
2012-10-18,68
2012-10-19,62
2012-10-20,63
2012-10-21,52
2012-10-22,49
2012-10-23,47
2012-10-24,43
2012-10-25,39
2012-10-26,36
2012-10-27,37
2012-10-28,32
2012-10-29,31
2012-10-30,32
2012-10-31,30
2012-11-01,30
2012-11-02,29
2012-11-03,34
2012-11-04,29
2012-11-05,30
2012-11-06,31
2012-11-07,33
2012-11-08,32
2012-11-09,33
2012-11-10,39
2012-11-11,33
2012-11-12,32
2012-11-13,31
2012-11-14,30
2012-11-15,30
2012-11-16,28
2012-11-17,32
2012-11-18,28
2012-11-19,26
2012-11-20,26
2012-11-21,28
2012-11-22,25
2012-11-23,24
2012-11-24,25
2012-11-25,26
2012-11-26,25
2012-11-27,26
2012-11-28,27
2012-11-29,29
2012-11-30,29
2012-12-01,35
2012-12-02,29
2012-12-03,29
2012-12-04,29
2012-12-05,29
2012-12-06,29
2012-12-07,31
2012-12-08,30
2012-12-09,31
2012-12-10,29
2012-12-11,29
2012-12-12,29
2012-12-13,30
2012-12-14,29
2012-12-15,32
2012-12-16,29
2012-12-17,27
2012-12-18,27
2012-12-19,26
2012-12-20,27
2012-12-21,25
2012-12-22,27
2012-12-23,24
2012-12-24,23
2012-12-25,24
2012-12-26,21
2012-12-27,20
2012-12-28,19
2012-12-29,19
2012-12-30,19
2012-12-31,20
2013-01-01,22
2013-01-02,23
2013-01-03,25
2013-01-04,26
2013-01-05,32
2013-01-06,28
2013-01-07,28
2013-01-08,28
2013-01-09,28
2013-01-10,28
2013-01-11,29
2013-01-12,33
2013-01-13,29
2013-01-14,30
2013-01-15,31
2013-01-16,32
2013-01-17,31
2013-01-18,32
2013-01-19,37
2013-01-20,33
2013-01-21,31
2013-01-22,30
2013-01-23,30
2013-01-24,29
2013-01-25,28
2013-01-26,30
2013-01-27,30
2013-01-28,29
2013-01-29,29
2013-01-30,31
2013-01-31,30
2013-02-01,31
2013-02-02,37
2013-02-03,31
2013-02-04,31
2013-02-05,32
2013-02-06,30
2013-02-07,31
2013-02-08,30
2013-02-09,33
2013-02-10,31
2013-02-11,29
2013-02-12,28
2013-02-13,28
