Date,Surgivision
2010-04-01,0
2010-04-02,1
2010-04-03,2
2010-04-04,3
2010-04-05,4
2010-04-06,6
2010-04-07,7
2010-04-08,8
2010-04-09,9
2010-04-10,10
2010-04-11,12
2010-04-12,13
2010-04-13,14
2010-04-14,15
2010-04-15,16
2010-04-16,18
2010-04-17,19
2010-04-18,20
2010-04-19,21
2010-04-20,22
2010-04-21,24
2010-04-22,25
2010-04-23,26
2010-04-24,27
2010-04-25,28
2010-04-26,30
2010-04-27,31
2010-04-28,32
2010-04-29,33
2010-04-30,34
2010-05-01,36
2010-05-02,36
2010-05-03,37
2010-05-04,38
2010-05-05,39
2010-05-06,40
2010-05-07,41
2010-05-08,41
2010-05-09,42
2010-05-10,43
2010-05-11,44
2010-05-12,45
2010-05-13,46
2010-05-14,46
2010-05-15,47
2010-05-16,48
2010-05-17,49
2010-05-18,50
2010-05-19,51
2010-05-20,51
2010-05-21,52
2010-05-22,53
2010-05-23,54
2010-05-24,55
2010-05-25,56
2010-05-26,56
2010-05-27,57
2010-05-28,58
2010-05-29,59
2010-05-30,60
2010-05-31,61
2010-06-01,62
2010-06-02,63
2010-06-03,64
2010-06-04,65
2010-06-05,67
2010-06-06,68
2010-06-07,69
2010-06-08,70
2010-06-09,72
2010-06-10,73
2010-06-11,74
2010-06-12,75
2010-06-13,77
2010-06-14,78
2010-06-15,79
2010-06-16,81
2010-06-17,82
2010-06-18,83
2010-06-19,84
2010-06-20,86
2010-06-21,87
2010-06-22,88
2010-06-23,89
2010-06-24,91
2010-06-25,92
2010-06-26,93
2010-06-27,94
2010-06-28,96
2010-06-29,97
2010-06-30,98
2010-07-01,100
2010-07-02,99
2010-07-03,99
2010-07-04,99
2010-07-05,98
2010-07-06,98
2010-07-07,98
2010-07-08,97
2010-07-09,97
2010-07-10,97
2010-07-11,96
2010-07-12,96
2010-07-13,96
2010-07-14,95
2010-07-15,95
2010-07-16,95
2010-07-17,94
2010-07-18,94
2010-07-19,94
2010-07-20,93
2010-07-21,93
2010-07-22,93
2010-07-23,92
2010-07-24,92
2010-07-25,92
2010-07-26,91
2010-07-27,91
2010-07-28,91
2010-07-29,90
2010-07-30,90
2010-07-31,90
2010-08-01,90
2010-08-02,88
2010-08-03,86
2010-08-04,84
2010-08-05,82
2010-08-06,81
2010-08-07,79
2010-08-08,77
2010-08-09,75
2010-08-10,74
2010-08-11,72
2010-08-12,70
2010-08-13,68
2010-08-14,66
2010-08-15,65
2010-08-16,63
2010-08-17,61
2010-08-18,59
2010-08-19,58
2010-08-20,56
2010-08-21,54
2010-08-22,52
2010-08-23,50
2010-08-24,49
2010-08-25,47
2010-08-26,45
2010-08-27,43
2010-08-28,42
2010-08-29,40
2010-08-30,38
2010-08-31,36
2010-09-01,35
2010-09-02,35
2010-09-03,35
2010-09-04,35
2010-09-05,35
2010-09-06,35
2010-09-07,36
2010-09-08,36
2010-09-09,36
2010-09-10,36
2010-09-11,36
2010-09-12,36
2010-09-13,37
2010-09-14,37
2010-09-15,37
2010-09-16,37
2010-09-17,37
2010-09-18,37
2010-09-19,38
2010-09-20,38
2010-09-21,38
2010-09-22,38
2010-09-23,38
2010-09-24,38
2010-09-25,39
2010-09-26,39
2010-09-27,39
2010-09-28,39
2010-09-29,39
2010-09-30,39
2010-10-01,40
2010-10-02,39
2010-10-03,39
2010-10-04,39
2010-10-05,39
2010-10-06,39
2010-10-07,38
2010-10-08,38
2010-10-09,38
2010-10-10,38
2010-10-11,38
2010-10-12,37
2010-10-13,37
2010-10-14,37
2010-10-15,37
2010-10-16,37
2010-10-17,36
2010-10-18,36
2010-10-19,36
2010-10-20,36
2010-10-21,36
2010-10-22,35
2010-10-23,35
2010-10-24,35
2010-10-25,35
2010-10-26,35
2010-10-27,34
2010-10-28,34
2010-10-29,34
2010-10-30,34
2010-10-31,34
2010-11-01,34
2010-11-02,34
2010-11-03,34
2010-11-04,34
2010-11-05,34
2010-11-06,34
2010-11-07,34
2010-11-08,34
2010-11-09,34
2010-11-10,34
2010-11-11,34
2010-11-12,34
2010-11-13,34
2010-11-14,34
2010-11-15,34
2010-11-16,34
2010-11-17,34
2010-11-18,34
2010-11-19,34
2010-11-20,34
2010-11-21,34
2010-11-22,34
2010-11-23,34
2010-11-24,34
2010-11-25,34
2010-11-26,34
2010-11-27,34
2010-11-28,34
2010-11-29,34
