Date,DynaVox
2009-07-01,61
2009-07-02,62
2009-07-03,65
2009-07-04,63
2009-07-05,62
2009-07-06,61
2009-07-07,60
2009-07-08,60
2009-07-09,58
2009-07-10,58
2009-07-11,57
2009-07-12,56
2009-07-13,55
2009-07-14,54
2009-07-15,54
2009-07-16,53
2009-07-17,52
2009-07-18,52
2009-07-19,51
2009-07-20,51
2009-07-21,50
2009-07-22,50
2009-07-23,49
2009-07-24,49
2009-07-25,49
2009-07-26,50
2009-07-27,55
2009-07-28,55
2009-07-29,56
2009-07-30,58
2009-07-31,60
2009-08-01,62
2009-08-02,59
2009-08-03,57
2009-08-04,57
2009-08-05,53
2009-08-06,51
2009-08-07,49
2009-08-08,47
2009-08-09,51
2009-08-10,55
2009-08-11,62
2009-08-12,63
2009-08-13,67
2009-08-14,71
2009-08-15,75
2009-08-16,74
2009-08-17,74
2009-08-18,80
2009-08-19,74
2009-08-20,74
2009-08-21,74
2009-08-22,74
2009-08-23,70
2009-08-24,67
2009-08-25,64
2009-08-26,61
2009-08-27,58
2009-08-28,56
2009-08-29,52
2009-08-30,54
2009-08-31,56
2009-09-01,59
2009-09-02,68
2009-09-03,64
2009-09-04,66
2009-09-05,69
2009-09-06,68
2009-09-07,68
2009-09-08,68
2009-09-09,68
2009-09-10,69
2009-09-11,74
2009-09-12,68
2009-09-13,71
2009-09-14,75
2009-09-15,79
2009-09-16,83
2009-09-17,89
2009-09-18,91
2009-09-19,99
2009-09-20,93
2009-09-21,92
2009-09-22,97
2009-09-23,91
2009-09-24,94
2009-09-25,88
2009-09-26,87
2009-09-27,83
2009-09-28,79
2009-09-29,75
2009-09-30,72
2009-10-01,68
2009-10-02,65
2009-10-03,61
2009-10-04,64
2009-10-05,67
2009-10-06,70
2009-10-07,82
2009-10-08,76
2009-10-09,79
2009-10-10,89
2009-10-11,79
2009-10-12,76
2009-10-13,76
2009-10-14,71
2009-10-15,69
2009-10-16,66
2009-10-17,64
2009-10-18,65
2009-10-19,67
2009-10-20,75
2009-10-21,70
2009-10-22,75
2009-10-23,77
2009-10-24,76
2009-10-25,75
2009-10-26,75
2009-10-27,80
2009-10-28,74
2009-10-29,76
2009-10-30,79
2009-10-31,74
2009-11-01,75
2009-11-02,77
2009-11-03,80
2009-11-04,84
2009-11-05,83
2009-11-06,85
2009-11-07,92
2009-11-08,85
2009-11-09,83
2009-11-10,81
2009-11-11,84
2009-11-12,80
2009-11-13,76
2009-11-14,75
2009-11-15,78
2009-11-16,81
2009-11-17,84
2009-11-18,87
2009-11-19,90
2009-11-20,95
2009-11-21,108
2009-11-22,91
2009-11-23,85
2009-11-24,79
2009-11-25,74
2009-11-26,69
2009-11-27,62
2009-11-28,57
2009-11-29,61
2009-11-30,66
2009-12-01,76
2009-12-02,75
2009-12-03,87
2009-12-04,85
2009-12-05,90
2009-12-06,91
