Date,Virtusa
2007-10-14,29
2007-10-15,28
2007-10-16,27
2007-10-17,25
2007-10-18,24
2007-10-19,23
2007-10-20,22
2007-10-21,24
2007-10-22,27
2007-10-23,30
2007-10-24,33
2007-10-25,35
2007-10-26,38
2007-10-27,41
2007-10-28,40
2007-10-29,38
2007-10-30,37
2007-10-31,35
2007-11-01,34
2007-11-02,33
2007-11-03,32
2007-11-04,31
2007-11-05,30
2007-11-06,29
2007-11-07,29
2007-11-08,28
2007-11-09,27
2007-11-10,27
2007-11-11,30
2007-11-12,33
2007-11-13,36
2007-11-14,39
2007-11-15,42
2007-11-16,45
2007-11-17,48
2007-11-18,49
2007-11-19,50
2007-11-20,51
2007-11-21,52
2007-11-22,53
2007-11-23,54
2007-11-24,55
2007-11-25,53
2007-11-26,50
2007-11-27,48
2007-11-28,45
2007-11-29,43
2007-11-30,41
2007-12-01,39
2007-12-02,42
2007-12-03,46
2007-12-04,49
2007-12-05,53
2007-12-06,56
2007-12-07,59
2007-12-08,63
2007-12-09,60
2007-12-10,57
2007-12-11,54
2007-12-12,51
2007-12-13,48
2007-12-14,45
2007-12-15,42
2007-12-16,42
2007-12-17,43
2007-12-18,44
2007-12-19,45
2007-12-20,46
2007-12-21,46
2007-12-22,47
2007-12-23,44
2007-12-24,40
2007-12-25,36
2007-12-26,33
2007-12-27,29
2007-12-28,26
2007-12-29,23
2007-12-30,23
2008-01-06,24
2008-01-07,25
2008-01-08,25
2008-01-09,26
2008-01-10,26
2008-01-11,27
2008-01-12,28
2008-01-13,29
2008-01-14,30
2008-01-15,31
2008-01-16,32
2008-01-17,33
2008-01-18,34
2008-01-19,35
2008-01-20,35
2008-01-21,36
2008-01-22,37
2008-01-23,38
2008-01-24,38
2008-01-25,39
2008-01-26,40
2008-01-27,40
2008-01-28,40
2008-01-29,41
2008-01-30,41
2008-01-31,42
2008-02-01,42
2008-02-02,43
2008-02-03,43
2008-02-04,45
2008-02-05,45
2008-02-06,46
2008-02-07,47
2008-02-08,48
2008-02-09,49
2008-02-10,46
2008-02-11,44
2008-02-12,41
2008-02-13,38
2008-02-14,36
2008-02-15,33
2008-02-16,31
2008-02-17,29
2008-02-18,27
2008-02-19,26
2008-02-20,24
2008-02-21,23
2008-02-22,21
2008-02-23,20
2008-02-24,22
2008-02-25,24
2008-02-26,26
2008-02-27,28
2008-02-28,30
2008-02-29,32
2008-03-01,34
2008-03-02,34
2008-03-03,33
2008-03-04,33
2008-03-05,33
2008-03-06,33
2008-03-07,33
2008-03-08,33
2008-03-09,35
2008-03-10,37
2008-03-11,39
2008-03-12,41
