Date,Aspen Aerogels
2010-12-01,62
2010-12-02,62
2010-12-03,62
2010-12-04,63
2010-12-05,63
2010-12-06,64
2010-12-07,64
2010-12-08,65
2010-12-09,65
2010-12-10,66
2010-12-11,66
2010-12-12,66
2010-12-13,67
2010-12-14,67
2010-12-15,68
2010-12-16,68
2010-12-17,69
2010-12-18,69
2010-12-19,70
2010-12-20,70
2010-12-21,71
2010-12-22,71
2010-12-23,71
2010-12-24,72
2010-12-25,72
2010-12-26,73
2010-12-27,73
2010-12-28,74
2010-12-29,74
2010-12-30,75
2010-12-31,75
2011-01-01,76
2011-01-02,74
2011-01-03,73
2011-01-04,72
2011-01-05,71
2011-01-06,70
2011-01-07,69
2011-01-08,68
2011-01-09,66
2011-01-10,65
2011-01-11,64
2011-01-12,63
2011-01-13,62
2011-01-14,61
2011-01-15,60
2011-01-16,59
2011-01-17,57
2011-01-18,56
2011-01-19,55
2011-01-20,54
2011-01-21,53
2011-01-22,52
2011-01-23,51
2011-01-24,50
2011-01-25,48
2011-01-26,47
2011-01-27,46
2011-01-28,45
2011-01-29,44
2011-01-30,43
2011-01-31,42
2011-02-01,41
2011-02-02,40
2011-02-03,40
2011-02-04,40
2011-02-05,40
2011-02-06,40
2011-02-07,40
2011-02-08,40
2011-02-09,39
2011-02-10,39
2011-02-11,39
2011-02-12,39
2011-02-13,39
2011-02-14,39
2011-02-15,39
2011-02-16,38
2011-02-17,38
2011-02-18,38
2011-02-19,38
2011-02-20,38
2011-02-21,38
2011-02-22,38
2011-02-23,37
2011-02-24,37
2011-02-25,37
2011-02-26,37
2011-02-27,37
2011-02-28,37
2011-03-01,37
2011-03-02,38
2011-03-03,39
2011-03-04,40
2011-03-05,41
2011-03-06,42
2011-03-07,43
2011-03-08,44
2011-03-09,45
2011-03-10,46
2011-03-11,47
2011-03-12,49
2011-03-13,50
2011-03-14,51
2011-03-15,52
2011-03-16,53
2011-03-17,54
2011-03-18,55
2011-03-19,56
2011-03-20,57
2011-03-21,58
2011-03-22,60
2011-03-23,61
2011-03-24,62
2011-03-25,63
2011-03-26,64
2011-03-27,65
2011-03-28,66
2011-03-29,67
2011-03-30,68
2011-03-31,69
2011-04-01,71
2011-04-02,70
2011-04-03,69
2011-04-04,69
2011-04-05,68
2011-04-06,68
2011-04-07,67
2011-04-08,67
2011-04-09,66
2011-04-10,65
2011-04-11,65
2011-04-12,64
2011-04-13,64
2011-04-14,63
2011-04-15,63
2011-04-16,62
2011-04-17,61
2011-04-18,61
2011-04-19,60
2011-04-20,60
2011-04-21,59
2011-04-22,59
2011-04-23,58
2011-04-24,57
2011-04-25,57
2011-04-26,56
2011-04-27,56
2011-04-28,55
2011-04-29,55
2011-04-30,54
